playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,substituteOn,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,oboxTarget,unsuccessfulDribbles,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,clearancesOffTheLine,backwardPasses,handballsConceded,expectedGoals,goals,awayGoals,homeGoals,headedGoals,blockedShots,throughBalls,unsuccessfulCrossesOpenPlay,ownGoalScored,shotsBlockedInBox,rightFootGoals,unsuccessfulCrossesAndCorners,iboxBlocked,hitWoodwork,successfulCrossesOpenPlay,successfulCrossesAndCorners,leftFootGoals,substituteOff,successfulLayoffs,offsides,oboxBlocked,shotsBlockedOutsideBox,goalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulLayoffs,secondGoalAssists,unsuccessfulCornersIntoBox,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,penaltiesTaken,penaltyGoals,otherGoals
192290,Connor Roberts,Midfielder,Burnley U21,19587,Wales,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Seoul,1992,South Korea,2016-17,51.0,,0.4459,0.0,,25.0,,52.0,23.0,13.0,72.0,686.0,,,13.0,1.0,,1287.0,59.0,3.0,,26.0,52.0,563.0,,,2.0,29.0385,1.0,19.0,28.0,45.0,216.0,,21.0,0.0,110.0,,152.0,90.0,23.0,,,7.0,330.0,25.0,97.0,7.0,0.0,,670.0,107.0,18.0,,,188.0,18.0,21.0,51.0,867.0,1.0,6.0,287.0,12.0,,3.0,20.0,20.0,1.0,0.1202,7.0,10.0,,1.0,1.0,6.0,15.0,1.0,11.0,23.0,,2.0,19.0,6.0,3.0,7.0,3.0,,130.0,,0.4182,,,,,2.0,,6.0,,,,6.0,,,2.0,3.0,,6.0,29.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
15114,Leon Britton,Midfielder,Swansea City U23,8950,England,2016-17,39.0,,0.2374,0.0,,23.0,,63.0,16.0,16.0,77.0,725.0,,,9.0,2.0,,1176.0,45.0,2.0,,17.0,38.0,628.0,,,3.0,21.6517,,19.0,24.0,37.0,206.0,,9.0,0.0,84.0,,217.0,90.0,16.0,,,10.0,280.0,22.0,75.0,7.0,0.0,,711.0,97.0,13.0,,,204.0,6.0,20.0,20.0,854.0,,4.0,368.0,4.0,,3.0,14.0,22.0,,,,,,,,2.0,4.0,,2.0,7.0,,3.0,13.0,,,6.0,5.0,,98.0,,,,,,,,,,,,,,,,,,,13.0,20.0,,,,,,,1.0,,,,,,,,,,
49277,Leroy Fer,Midfielder,Alanyaspor,3324,Netherlands,2016-17,177.0,,2.022,0.0,,55.0,,165.0,34.0,27.0,218.0,1227.0,,,120.0,3.0,,2403.0,219.0,2.0,,53.0,143.0,914.0,,,3.0,46.5859,,49.0,49.0,133.0,262.0,,50.0,1.0,396.0,,340.0,180.0,34.0,,,14.0,534.0,47.0,276.0,76.0,0.0,,1196.0,324.0,41.0,,,401.0,48.0,23.0,95.0,1667.0,8.0,9.0,479.0,33.0,,9.0,53.0,48.0,11.0,5.7407,28.0,7.0,2.0,3.0,3.0,44.0,48.0,4.0,16.0,22.0,2.0,9.0,55.0,17.0,13.0,39.0,8.0,,224.0,1.0,5.0852,6.0,2.0,4.0,1.0,8.0,5.0,9.0,,2.0,1.0,9.0,2.0,,4.0,4.0,4.0,7.0,55.0,1.0,6.0,6.0,2.0,,,1.0,,,,,,,,,,
21083,Nathan Dyer,Midfielder,Swansea City,80,England,2016-17,20.0,,0.246,0.0,,3.0,,11.0,8.0,3.0,13.0,102.0,,,3.0,,,211.0,16.0,1.0,,9.0,15.0,88.0,,,,9.2068,,1.0,11.0,18.0,16.0,,7.0,0.0,36.0,,29.0,16.0,8.0,,,1.0,63.0,10.0,33.0,1.0,0.0,,101.0,35.0,2.0,,,30.0,4.0,3.0,1.0,153.0,,1.0,28.0,3.0,,0.0,2.0,7.0,1.0,0.0557,2.0,5.0,,1.0,1.0,2.0,8.0,,2.0,3.0,,3.0,11.0,1.0,,5.0,,,27.0,,0.1039,,,,,1.0,,4.0,,1.0,,4.0,1.0,,2.0,2.0,,2.0,7.0,,,,1.0,,,,,,,,,,,,,
93464,Tom Carroll,Midfielder,Reading,108,England,2016-17,70.0,,1.2704,0.0,,30.0,,110.0,18.0,16.0,149.0,796.0,,,15.0,5.0,,1389.0,56.0,2.0,,36.0,51.0,592.0,,,2.0,18.0686,1.0,8.0,18.0,60.0,190.0,,9.0,0.0,126.0,,311.0,81.0,18.0,,,7.0,402.0,16.0,111.0,5.0,0.0,,774.0,226.0,23.0,,,165.0,13.0,20.0,55.0,1009.0,2.0,9.0,257.0,8.0,,1.0,39.0,33.0,2.0,0.5081,6.0,2.0,1.0,,,10.0,14.0,,14.0,12.0,1.0,7.0,29.0,4.0,8.0,12.0,3.0,,130.0,,0.2823,1.0,0.0,1.0,,3.0,,26.0,,2.0,,26.0,2.0,1.0,12.0,12.0,1.0,4.0,21.0,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,
11829,Wayne Routledge,Midfielder,Swansea City,80,England,2016-17,156.0,,2.5418,0.0,,22.0,,162.0,27.0,24.0,198.0,560.0,,,56.0,1.0,,1927.0,72.0,4.0,,50.0,60.0,340.0,,,2.0,36.0295,3.0,19.0,42.0,112.0,114.0,,14.0,0.0,228.0,,183.0,100.0,27.0,,,7.0,266.0,38.0,172.0,12.0,0.0,,557.0,390.0,15.0,,,140.0,28.0,14.0,22.0,946.0,4.0,17.0,119.0,16.0,,1.0,36.0,53.0,9.0,4.1422,16.0,3.0,1.0,5.0,5.0,44.0,58.0,2.0,24.0,13.0,1.0,27.0,66.0,7.0,19.0,25.0,,,123.0,2.0,3.7374,3.0,2.0,1.0,1.0,3.0,,58.0,,3.0,2.0,59.0,3.0,,22.0,23.0,,17.0,42.0,9.0,,,1.0,3.0,1.0,5.0,,1.0,,,,,,,,
49195,Jefferson Montero,Midfielder,Swansea City,80,Ecuador,2016-17,35.0,,0.9086,0.0,,7.0,,29.0,13.0,2.0,33.0,94.0,,,4.0,,,375.0,38.0,,,9.0,37.0,59.0,,,1.0,9.2884,1.0,2.0,9.0,32.0,42.0,,9.0,0.0,73.0,,29.0,19.0,13.0,,,2.0,47.0,9.0,69.0,1.0,0.0,,91.0,105.0,5.0,,,2.0,1.0,1.0,2.0,227.0,4.0,2.0,23.0,,,0.0,4.0,7.0,1.0,0.0513,1.0,11.0,,1.0,1.0,3.0,26.0,1.0,9.0,3.0,,16.0,26.0,,10.0,21.0,,,21.0,,0.1681,,,,,3.0,,27.0,,1.0,,29.0,1.0,,8.0,9.0,,4.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,,,2.0,,,,,,,,
55422,Gylfi Sigurdsson,Midfielder,Vikingur Reykjavík,2452,Iceland,2016-17,142.0,,6.8515,0.0,,45.0,,198.0,38.0,37.0,239.0,1041.0,,,24.0,7.0,,3328.0,117.0,5.0,,94.0,110.0,769.0,,,6.0,67.0651,1.0,23.0,70.0,125.0,242.0,,33.0,3.0,259.0,,323.0,122.0,38.0,,,17.0,620.0,65.0,235.0,7.0,0.0,,954.0,623.0,28.0,,,208.0,18.0,35.0,33.0,1908.0,9.0,6.0,268.0,5.0,,2.0,41.0,43.0,50.0,13.4246,86.0,1.0,31.0,10.0,10.0,17.0,99.0,,67.0,55.0,31.0,36.0,78.0,36.0,52.0,32.0,2.0,,268.0,1.0,8.8873,9.0,5.0,4.0,,30.0,6.0,57.0,,14.0,5.0,217.0,14.0,3.0,12.0,86.0,4.0,2.0,96.0,1.0,16.0,16.0,13.0,183.0,59.0,9.0,2.0,110.0,2.0,21.0,21.0,1.4656,2.0,3.0,3.0,
200617,Daniel James,Midfielder,Leeds United,2,Wales,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
