playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,expectedGoalsFreekick,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,penaltiesTaken,oboxTarget,penaltyGoals,shotsBlockedOutsideBox,penaltiesConceded,setPiecesGoals,leftFootGoals,secondGoalAssists,foulWonPenalty,clearancesOffTheLine,gkUnsuccessfulDistribution,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,drops,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,goalkeeperSmother,redCards2ndYellow
37339,Ahmed El Mohamady,Defender,A Villa,7,Egypt,2019-20,51.0,19.0,2.1401,0.0,1.0,1.0,0.4759,19.0,4.0,74.0,18.0,1.0,11.0,101.0,39.0,499.0,1.0,2.0,1.0,7.0,51.0,2.0,19.0,1026.0,21.0,60.0,6.0,19.0,30.0,365.0,15.0,18.0,3.0,21.3738,21.0,5.0,22.0,28.0,1.0,30.0,38.0,5.0,0.0,111.0,6.0,0.0,191.0,73.0,18.0,10.0,4.0,239.0,22.0,1.0,39.0,6.0,1.0,60.0,30.0,0.0,493.0,3.0,5.0,179.0,9.0,7.0,5.0,188.0,13.0,12.0,33.0,82.0,776.0,80.0,2.0,9.0,178.0,9.0,0.2301,1.0,27.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193488,Anwar El Ghazi,Forward,A Villa,7,Netherlands,2019-20,151.0,18.0,1.9349,0.0,11.0,20.0,5.8051,20.0,41.0,113.0,34.0,4.0,26.0,132.0,75.0,479.0,4.0,12.0,0.0,8.0,88.0,2.0,26.0,2061.0,57.0,97.0,8.0,44.0,66.0,332.0,68.0,,4.0,36.475,26.0,2.0,12.0,48.0,4.0,94.0,106.0,17.0,0.0,248.0,9.0,4.0,114.0,75.0,34.0,9.0,23.0,282.0,40.0,,81.0,58.0,4.0,160.0,31.0,0.0,470.0,21.0,19.0,335.0,11.0,29.0,1.0,113.0,20.0,13.0,15.0,146.0,917.0,17.0,17.0,9.0,91.0,8.0,6.221,3.0,19.0,32.0,1.0,7.0,7.0,7.0,7.0,4.0,5.0,5.0,5.0,2.0,2.0,0.3277,23.0,18.0,9.0,6.0,1.0,9.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
108156,Björn Engels,Defender,A Villa,7,Belgium,2019-20,39.0,1.0,0.2974,0.0,,1.0,0.2811,11.0,8.0,53.0,17.0,,15.0,101.0,1.0,645.0,1.0,1.0,0.0,2.0,83.0,2.0,1.0,1447.0,27.0,72.0,5.0,3.0,16.0,495.0,15.0,,3.0,22.6567,3.0,3.0,86.0,32.0,,12.0,145.0,5.0,0.0,111.0,1.0,1.0,232.0,53.0,17.0,5.0,,146.0,27.0,1.0,1.0,2.0,,28.0,56.0,0.0,623.0,7.0,,113.0,6.0,1.0,17.0,239.0,5.0,28.0,49.0,29.0,834.0,2.0,1.0,11.0,399.0,3.0,1.0836,1.0,48.0,36.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
85242,Conor Hourihane,Midfielder,A Villa,7,Ireland,2019-20,48.0,4.0,4.3126,0.0,13.0,10.0,2.5092,16.0,16.0,80.0,27.0,5.0,18.0,106.0,33.0,610.0,3.0,4.0,1.0,9.0,22.0,1.0,28.0,1538.0,9.0,53.0,4.0,32.0,40.0,484.0,28.0,1.0,2.0,20.7354,33.0,3.0,26.0,29.0,6.0,39.0,149.0,21.0,2.0,101.0,15.0,2.0,190.0,72.0,27.0,6.0,3.0,354.0,25.0,,84.0,11.0,6.0,79.0,13.0,0.0,533.0,6.0,21.0,214.0,10.0,4.0,4.0,165.0,14.0,9.0,20.0,106.0,908.0,14.0,14.0,10.0,178.0,5.0,1.7265,4.0,26.0,20.0,1.0,7.0,2.0,2.0,16.0,,6.0,6.0,25.0,1.0,,0.4245,7.0,55.0,5.0,,,5.0,,7.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
61603,Danny Drinkwater,Midfielder,A Villa,7,England,2019-20,36.0,,0.0125,0.0,,,,7.0,2.0,29.0,5.0,,5.0,40.0,1.0,192.0,,,,,6.0,,,322.0,6.0,9.0,1.0,11.0,9.0,142.0,2.0,,,3.0344,1.0,1.0,5.0,11.0,,30.0,46.0,1.0,,45.0,5.0,,60.0,36.0,5.0,3.0,3.0,68.0,10.0,,1.0,,,39.0,,0.0,184.0,2.0,1.0,51.0,4.0,1.0,,50.0,8.0,6.0,10.0,36.0,238.0,,5.0,4.0,84.0,7.0,,1.0,11.0,10.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230046,Douglas Luiz,Midfielder,A Villa,7,Brazil,2019-20,161.0,5.0,1.5853,0.0,16.0,12.0,2.8997,47.0,22.0,148.0,36.0,2.0,28.0,210.0,17.0,1207.0,3.0,,1.0,8.0,66.0,6.0,6.0,2608.0,36.0,148.0,9.0,38.0,118.0,905.0,29.0,1.0,4.0,40.3385,15.0,3.0,47.0,51.0,4.0,125.0,333.0,36.0,0.0,309.0,27.0,2.0,327.0,205.0,36.0,22.0,10.0,513.0,42.0,,18.0,31.0,4.0,243.0,30.0,0.0,1150.0,10.0,12.0,305.0,25.0,35.0,15.0,361.0,51.0,36.0,92.0,186.0,1659.0,6.0,4.0,20.0,490.0,28.0,2.5684,8.0,62.0,54.0,4.0,12.0,5.0,5.0,,2.0,3.0,3.0,1.0,,2.0,0.2081,21.0,3.0,4.0,3.0,,4.0,,12.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,A Villa,7,England,2019-20,79.0,6.0,0.2947,0.0,3.0,4.0,1.5849,18.0,8.0,89.0,25.0,2.0,24.0,169.0,7.0,773.0,1.0,1.0,1.0,1.0,95.0,4.0,6.0,2042.0,46.0,104.0,5.0,18.0,55.0,570.0,21.0,23.0,2.0,33.8136,9.0,11.0,66.0,39.0,3.0,33.0,108.0,32.0,0.0,183.0,10.0,0.0,334.0,100.0,25.0,9.0,3.0,219.0,34.0,,7.0,8.0,3.0,88.0,49.0,0.0,756.0,4.0,3.0,216.0,9.0,7.0,24.0,252.0,17.0,25.0,34.0,79.0,1133.0,67.0,5.0,40.0,391.0,8.0,1.4513,3.0,80.0,57.0,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
203368,Frédéric Guilbert,Defender,A Villa,7,France,2019-20,173.0,15.0,0.9197,0.0,2.0,3.0,0.3264,74.0,6.0,152.0,25.0,2.0,22.0,233.0,76.0,749.0,,2.0,0.0,3.0,115.0,2.0,15.0,2041.0,69.0,162.0,4.0,59.0,116.0,476.0,10.0,52.0,3.0,28.9607,12.0,4.0,61.0,36.0,1.0,104.0,43.0,21.0,0.0,335.0,24.0,0.0,366.0,104.0,25.0,31.0,25.0,270.0,32.0,,76.0,39.0,1.0,220.0,46.0,0.0,733.0,3.0,18.0,439.0,43.0,23.0,10.0,195.0,36.0,49.0,40.0,145.0,1462.0,148.0,3.0,35.0,261.0,25.0,0.3458,7.0,81.0,72.0,,1.0,1.0,1.0,,,,,,,2.0,,2.0,1.0,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
40564,Henri Lansbury,Midfielder,A Villa,7,England,2019-20,15.0,,0.1643,0.0,,,,6.0,2.0,16.0,10.0,,2.0,18.0,1.0,82.0,,,0.0,8.0,8.0,,,191.0,6.0,9.0,,4.0,7.0,57.0,4.0,,1.0,4.9242,2.0,,2.0,6.0,,9.0,21.0,1.0,0.0,24.0,4.0,0.0,28.0,10.0,10.0,4.0,,31.0,6.0,,1.0,,,16.0,2.0,0.0,78.0,2.0,,26.0,2.0,,,18.0,4.0,,7.0,15.0,111.0,,2.0,1.0,33.0,2.0,0.0787,0.0,2.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223349,Indiana Vassilev,Midfielder,A Villa,7,United States,2019-20,2.0,,0.0122,0.0,,,,,1.0,4.0,4.0,,,4.0,,11.0,,2.0,0.0,4.0,,,,47.0,,2.0,,1.0,2.0,7.0,3.0,,,1.2441,,,,1.0,,2.0,5.0,1.0,0.0,4.0,,0.0,2.0,1.0,4.0,,,7.0,1.0,,,2.0,,4.0,,0.0,11.0,1.0,,7.0,,1.0,,2.0,,,,2.0,19.0,1.0,,,,,0.0329,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114283,Jack Grealish,Midfielder,A Villa,7,England,2019-20,182.0,9.0,6.4795,0.0,18.0,23.0,6.7278,29.0,55.0,175.0,36.0,5.0,36.0,206.0,43.0,1370.0,8.0,4.0,5.0,,49.0,7.0,28.0,3234.0,27.0,289.0,10.0,64.0,267.0,1082.0,138.0,2.0,5.0,48.449,85.0,,10.0,63.0,9.0,155.0,514.0,167.0,1.0,471.0,22.0,3.0,389.0,188.0,36.0,10.0,44.0,820.0,53.0,,113.0,103.0,9.0,422.0,22.0,0.0,1273.0,32.0,37.0,519.0,19.0,73.0,12.0,168.0,34.0,22.0,82.0,299.0,2224.0,27.0,1.0,11.0,372.0,18.0,6.8298,8.0,31.0,40.0,2.0,9.0,8.0,8.0,16.0,5.0,1.0,1.0,46.0,2.0,1.0,0.0644,17.0,77.0,7.0,1.0,1.0,7.0,,9.0,,,3.0,,,,,,,,,,,,,,,,,,,
43252,James Chester,Defender,A Villa,7,Wales,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79852,Jed Steer,Goalkeeper,A Villa,7,England,2019-20,,,,0.0,,,,,,,1.0,,1.0,1.0,,2.0,,,0.0,,,,,8.0,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,,0.0,1.0,,1.0,,,,,,,,,,,0.0,1.0,,,1.0,,,,,,,,,2.0,,1.0,,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
