playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,shotsOnTargetIncGoals,throughBalls,starts,offsides,oboxBlocked,cleanSheets,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,penaltiesConceded,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,tacklesLost,redCards2ndYellow,aerialDuelsWon,blocks,interceptions,shotsBlockedOutsideBox,unsuccessfulLaunches,unsuccessfulPassesOwnHalf,expectedGoalsOnTarget,shotsOnTargetOutsideBox,oboxTarget,handballsConceded,secondGoalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,goals,awayGoals,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,expectedGoalsFreekick,unsuccessfulLayoffs,homeGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,headedGoals,hitWoodwork,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty,foulWonPenalty
60551,Ashley Westwood,Midfielder,A Villa,7,England,2015-16,122.0,5.0,3.1483,0.0,11.0,3.0,62.0,27.0,172.0,32.0,2.0,43.0,259.0,24.0,1512.0,1.0,26.0,34.0,2682.0,20.0,87.0,34.0,81.0,1138.0,21.0,44.1352,61.0,3.0,102.0,484.0,11.0,0.0,209.0,19.0,466.0,207.0,32.0,9.0,813.0,53.0,60.0,34.0,3.0,183.0,0.0,1487.0,18.0,18.0,379.0,43.0,8.0,388.0,30.0,115.0,174.0,1931.0,4.0,3.0,474.0,17.0,1.8572,6.0,87.0,9.0,1.0,31.0,,8.0,5.0,3.0,3.0,8.0,1.0,,2.0,,39.0,9.0,23.0,19.0,,6.0,12.0,58.0,8.0,29.0,74.0,1.6382,4.0,4.0,,,53.0,28.0,2.0,0.0,2.0,1.0,1.0,24.0,1.0,0.1035,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
88554,Carles Gil,Midfielder,A Villa,7,Spain,2015-16,89.0,1.0,1.6346,0.0,4.0,8.0,22.0,13.0,84.0,23.0,,31.0,95.0,32.0,730.0,6.0,5.0,18.0,1440.0,4.0,79.0,37.0,78.0,613.0,28.0,26.0963,30.0,3.0,85.0,117.0,27.0,0.0,168.0,21.0,150.0,76.0,23.0,34.0,486.0,26.0,59.0,61.0,3.0,163.0,0.0,710.0,8.0,8.0,260.0,18.0,29.0,287.0,3.0,22.0,176.0,1056.0,3.0,12.0,167.0,1.0,0.8226,3.0,11.0,5.0,,17.0,2.0,1.0,2.0,1.0,1.0,4.0,,,2.0,,25.0,,5.0,4.0,,1.0,2.0,10.0,1.0,4.0,16.0,0.7807,2.0,2.0,,,32.0,11.0,2.0,2.0,,3.0,3.0,19.0,1.0,0.207,6.0,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,
42824,Carlos Sánchez,Midfielder,A Villa,7,Colombia,2015-16,81.0,1.0,0.2492,0.0,4.0,,54.0,9.0,116.0,20.0,,6.0,154.0,2.0,793.0,4.0,47.0,1.0,1281.0,20.0,103.0,33.0,76.0,556.0,4.0,24.3406,31.0,2.0,61.0,244.0,6.0,0.0,184.0,22.0,240.0,118.0,20.0,5.0,304.0,29.0,2.0,12.0,2.0,137.0,0.0,781.0,5.0,,188.0,39.0,17.0,236.0,25.0,83.0,73.0,1032.0,1.0,7.0,336.0,20.0,0.4884,3.0,38.0,4.0,,16.0,,2.0,2.0,,,2.0,,,2.0,,4.0,5.0,25.0,15.0,,27.0,5.0,45.0,2.0,22.0,56.0,0.4594,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18737,Charles N'Zogbia,Midfielder,A Villa,7,France,2015-16,2.0,,0.0045,0.0,,,1.0,,,2.0,,2.0,,3.0,9.0,2.0,,,41.0,,2.0,,2.0,9.0,2.0,0.1094,,,2.0,3.0,,0.0,4.0,,,1.0,2.0,1.0,8.0,,4.0,1.0,,4.0,0.0,9.0,,2.0,7.0,1.0,1.0,2.0,1.0,,4.0,19.0,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80801,Idrissa Gueye,Midfielder,A Villa,7,Senegal,2015-16,199.0,3.0,1.1055,0.0,10.0,6.0,144.0,20.0,220.0,35.0,1.0,68.0,270.0,12.0,1869.0,,58.0,3.0,3075.0,27.0,295.0,73.0,264.0,1505.0,19.0,49.4811,65.0,3.0,172.0,533.0,51.0,0.0,494.0,46.0,524.0,344.0,35.0,40.0,881.0,56.0,12.0,76.0,3.0,436.0,0.0,1830.0,16.0,5.0,430.0,108.0,69.0,504.0,68.0,94.0,308.0,2581.0,2.0,5.0,721.0,45.0,1.0668,10.0,50.0,4.0,3.0,35.0,1.0,7.0,6.0,1.0,1.0,9.0,,,3.0,,27.0,6.0,30.0,36.0,,31.0,6.0,141.0,7.0,23.0,83.0,0.391,3.0,3.0,3.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
114283,Jack Grealish,Midfielder,A Villa,7,England,2015-16,54.0,1.0,0.369,0.0,8.0,6.0,6.0,8.0,38.0,16.0,,21.0,45.0,14.0,316.0,7.0,12.0,2.0,768.0,11.0,48.0,16.0,47.0,260.0,26.0,17.1576,26.0,1.0,43.0,101.0,17.0,0.0,102.0,6.0,69.0,55.0,16.0,21.0,187.0,23.0,18.0,37.0,1.0,90.0,0.0,308.0,4.0,8.0,121.0,6.0,24.0,58.0,6.0,11.0,88.0,489.0,1.0,5.0,86.0,3.0,0.6656,1.0,7.0,4.0,,9.0,,7.0,,3.0,3.0,3.0,,,,,12.0,1.0,1.0,,,1.0,,14.0,7.0,4.0,12.0,0.8695,,,1.0,,6.0,1.0,1.0,1.0,1.0,,,4.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
160220,Jordan Lyden,Midfielder,A Villa,7,Australia,2015-16,8.0,,0.0303,0.0,,,2.0,1.0,12.0,4.0,,1.0,14.0,1.0,67.0,2.0,2.0,,152.0,2.0,4.0,,4.0,51.0,3.0,0.9266,3.0,,6.0,10.0,2.0,0.0,12.0,,19.0,9.0,4.0,1.0,28.0,3.0,1.0,3.0,,10.0,0.0,67.0,1.0,,19.0,2.0,,24.0,1.0,2.0,14.0,88.0,,2.0,25.0,,0.0814,0.0,2.0,,,2.0,,,,,,,,,,,1.0,,6.0,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96740,Jordan Veretout,Midfielder,A Villa,7,France,2015-16,103.0,8.0,3.0893,0.0,7.0,4.0,32.0,12.0,124.0,25.0,5.0,29.0,169.0,32.0,991.0,4.0,38.0,34.0,1824.0,27.0,80.0,50.0,69.0,772.0,19.0,32.1958,37.0,1.0,76.0,281.0,26.0,0.0,183.0,34.0,274.0,105.0,25.0,14.0,585.0,33.0,75.0,27.0,1.0,145.0,0.0,960.0,6.0,11.0,309.0,23.0,11.0,284.0,19.0,50.0,152.0,1348.0,11.0,8.0,271.0,13.0,0.675,4.0,45.0,6.0,2.0,21.0,1.0,6.0,3.0,2.0,2.0,4.0,,,2.0,,34.0,5.0,15.0,9.0,,11.0,,27.0,6.0,26.0,33.0,1.3423,4.0,4.0,,,56.0,22.0,,,,1.0,1.0,31.0,,0.0671,2.0,,,,,,,,,,,,,,,,,,,,,,,,
74297,Leandro Bacuna,Midfielder,A Villa,7,Curacao,2015-16,124.0,13.0,1.4292,0.0,7.0,7.0,48.0,25.0,148.0,31.0,,17.0,256.0,53.0,1133.0,4.0,50.0,21.0,2329.0,24.0,110.0,50.0,84.0,784.0,29.0,35.0767,48.0,1.0,100.0,211.0,12.0,0.0,234.0,23.0,429.0,157.0,31.0,23.0,496.0,40.0,71.0,42.0,1.0,184.0,0.0,1098.0,16.0,16.0,434.0,43.0,25.0,327.0,36.0,93.0,166.0,1735.0,121.0,5.0,402.0,20.0,1.868,8.0,108.0,9.0,2.0,27.0,2.0,6.0,5.0,2.0,2.0,8.0,,33.0,2.0,,16.0,18.0,53.0,5.0,,26.0,3.0,56.0,6.0,45.0,72.0,2.0592,6.0,6.0,3.0,,18.0,6.0,1.0,1.0,1.0,4.0,4.0,11.0,,0.2998,,0.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
19688,Scott Sinclair,Midfielder,A Villa,7,England,2015-16,109.0,2.0,1.0354,0.0,4.0,11.0,13.0,13.0,49.0,27.0,,26.0,53.0,22.0,345.0,8.0,29.0,2.0,1507.0,22.0,66.0,26.0,59.0,283.0,52.0,28.5773,40.0,2.0,87.0,88.0,21.0,0.0,175.0,18.0,69.0,61.0,27.0,42.0,195.0,35.0,22.0,78.0,2.0,146.0,0.0,331.0,6.0,7.0,210.0,13.0,26.0,77.0,5.0,9.0,111.0,630.0,4.0,10.0,99.0,2.0,2.7595,0.0,4.0,7.0,1.0,19.0,9.0,2.0,,2.0,2.0,5.0,,,1.0,,5.0,1.0,4.0,,,7.0,,9.0,2.0,3.0,15.0,2.5354,3.0,3.0,2.0,,,,2.0,0.0,2.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0
