season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089879,1,57,Watford,Away,642,16045,Ben Watson,ben-watson,M,True,,,,1.0,2.0,3.0,,,1.0,,,,,,,,1.0,1.0,,,2.0,,,,,2.0,,12.0,,,,,,,,1.0,,5.8,,,,,,,,,,,1.0,3.0,4.0,0,1.0,7.0,,,,1.0
2016-17,7089879,1,57,Watford,Away,11654,21123,Valon Behrami,valon-behrami,M,False,,,,8.0,1.0,9.0,,,2.0,,,,2.0,,,,3.0,6.0,,,1.0,,,,,3.0,,64.0,,,,,,,,3.0,,7.1,,,,,1.0,,,,,,8.0,3.0,11.0,0,6.0,24.0,1.0,,,4.0
2016-17,7089879,1,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,1.0,,3.0,23.0,5.0,27.0,,1.0,7.0,,,,2.0,,,2.0,6.0,11.0,,,2.0,,1.0,,,3.0,1.0,90.0,1.0,,,,,,,9.0,,8.1,,,1.0,,1.0,3.0,1.0,,5.0,,30.0,5.0,34.0,2,6.0,57.0,,1.0,3.0,3.0
2016-17,7089879,1,57,Watford,Away,20364,19342,Ikechi Anya,ikechi-anya,M,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,3.0,,6.4,,,,,,,,,2.0,,1.0,2.0,3.0,0,,3.0,,,,
2016-17,7089879,1,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,2.0,1.0,3.0,,,3.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,17.0,,,,,,,,6.0,,6.6,,,,,,,,,2.0,,5.0,3.0,8.0,0,2.0,14.0,,1.0,,1.0
2016-17,7089879,1,57,Watford,Away,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,1.0,,3.0,13.0,10.0,22.0,1.0,,8.0,,,,1.0,,,2.0,6.0,2.0,,,2.0,,,,,2.0,1.0,90.0,,1.0,,,,,,17.0,,6.7,,,1.0,,1.0,,7.0,,6.0,,24.0,11.0,28.0,1,1.0,51.0,1.0,1.0,,1.0
2016-17,7089879,1,57,Watford,Away,45989,44302,Adlène Guédioura,adlene-guedioura,M,False,,,3.0,21.0,12.0,33.0,,4.0,4.0,,,,2.0,,,1.0,7.0,10.0,,,3.0,,,,,1.0,1.0,73.0,,,,,,,,12.0,,6.9,,,1.0,,,5.0,1.0,,5.0,,27.0,14.0,40.0,1,2.0,56.0,1.0,,4.0,2.0
2016-17,7090019,2,57,Watford,Home,11654,21123,Valon Behrami,valon-behrami,M,False,,,2.0,12.0,32.0,44.0,1.0,,6.0,,,,,,,,3.0,5.0,,,3.0,,,,,2.0,,90.0,,,,,,,,5.0,,7.0,,,,,1.0,,,,5.0,,15.0,34.0,49.0,0,4.0,59.0,,1.0,,3.0
2016-17,7090019,2,57,Watford,Home,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,3.0,11.0,19.0,30.0,,,4.0,,,,,,,2.0,5.0,3.0,,,2.0,,1.0,,,4.0,,84.0,1.0,,,,,,,14.0,,7.3,,,,,,2.0,1.0,,6.0,,20.0,20.0,39.0,1,1.0,59.0,1.0,1.0,1.0,
2016-17,7090019,2,57,Watford,Home,20364,19342,Ikechi Anya,ikechi-anya,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090019,2,57,Watford,Home,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,,3.0,1.0,3.0,0,,4.0,,,,
