playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,keyPassesAttemptAssists,handballsConceded,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,oboxTarget,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,foulWonPenalty,goals,iboxTarget,shotsOnTargetInBox,leftFootGoals,headedGoals,clearancesOffTheLine,ownGoalScored,hitWoodwork,expectedGoalsFreekick,rightFootGoals,freekickTotal,attemptsFromSetPieces,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,offsides,successfulCornersIntoBox,redCards2ndYellow,secondGoalAssists,setPiecesGoals,penaltiesTaken,penaltyGoals
39942,Daniel Pudil,Defender,Sheffield Wednesday U21,8944,Czech Republic,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67527,Allan Nyom,Defender,Getafe,1450,Cameroon,2015-16,111.0,,0.7292,0.0,,84.0,,103.0,32.0,29.0,277.0,860.0,,33.0,9.0,,2474.0,1.0,147.0,4.0,1.0,45.0,134.0,525.0,,,2.0,38.0207,46.0,70.0,34.0,91.0,26.0,,23.0,258.0,21.0,,458.0,187.0,32.0,,,9.0,360.0,30.0,225.0,13.0,0.0,,850.0,11.0,494.0,75.0,,,270.0,36.0,60.0,58.0,1620.0,9.0,145.0,234.0,19.0,,8.0,174.0,74.0,6.0,,3.0,11.0,3.0,1.0,0.0386,4.0,1.0,1.0,5.0,74.0,2.0,1.0,11.0,20.0,1.0,58.0,1.0,1.0,15.0,74.0,1.0,3.0,27.0,7.0,106.0,209.0,2.0,0.3332,,,,,,,,,,,,,,,,,,,,,,
52153,Miguel Britos,Defender,Watford,57,Uruguay,2015-16,68.0,,0.1528,0.0,,25.0,,95.0,24.0,24.0,266.0,786.0,,98.0,7.0,,2076.0,,109.0,6.0,,20.0,47.0,417.0,,,1.0,24.344,51.0,126.0,28.0,32.0,196.0,,18.0,177.0,6.0,,418.0,81.0,24.0,,,11.0,161.0,22.0,79.0,62.0,0.0,,755.0,,317.0,14.0,,,137.0,19.0,60.0,103.0,1085.0,3.0,141.0,361.0,9.0,,7.0,171.0,81.0,,,,2.0,,,,6.0,,,1.0,,,,2.0,36.0,,,,,,,,6.0,7.0,15.0,35.0,,,0.4377,,,,,,,,,,,,,,,,,,,,,,
52800,Gabriele Angella,Defender,Perugia,132,Italy,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41945,Sebastian Prödl,Defender,Watford,57,Austria,2015-16,59.0,,0.5841,0.0,,23.0,,43.0,21.0,19.0,134.0,509.0,,53.0,5.0,,1776.0,,57.0,3.0,,9.0,28.0,317.0,,,3.0,31.9439,37.0,93.0,28.0,35.0,62.0,,6.0,116.0,6.0,,255.0,56.0,21.0,,,2.0,102.0,25.0,63.0,29.0,0.0,,492.0,2.0,157.0,21.0,,,146.0,23.0,64.0,58.0,749.0,,75.0,274.0,16.0,,5.0,91.0,34.0,2.0,,2.0,1.0,2.0,5.0,0.5022,11.0,,,6.0,,,,1.0,24.0,,,2.0,,,,2.0,6.0,,14.0,46.0,,,1.0742,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
98780,Juan Carlos Paredes,Defender,Watford,57,Ecuador,2015-16,43.0,,0.6212,0.0,,15.0,,41.0,17.0,7.0,77.0,264.0,,5.0,1.0,,766.0,,35.0,2.0,,29.0,33.0,169.0,,,2.0,12.3676,12.0,13.0,12.0,40.0,5.0,,9.0,78.0,13.0,,134.0,51.0,17.0,,,4.0,124.0,10.0,73.0,2.0,0.0,,261.0,3.0,160.0,11.0,,,83.0,10.0,16.0,18.0,503.0,4.0,29.0,70.0,6.0,,1.0,36.0,17.0,4.0,,10.0,7.0,,1.0,0.0531,5.0,,,8.0,22.0,,1.0,7.0,3.0,,25.0,,1.0,9.0,22.0,,4.0,9.0,1.0,42.0,65.0,,0.1329,1.0,,,,,,,,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2015-16,67.0,,0.5103,0.0,,45.0,,106.0,35.0,34.0,309.0,1032.0,,110.0,10.0,,3033.0,,132.0,6.0,,23.0,64.0,607.0,,,4.0,45.3598,64.0,171.0,46.0,25.0,192.0,,12.0,199.0,10.0,,535.0,121.0,35.0,,,11.0,225.0,40.0,89.0,68.0,0.0,,992.0,3.0,364.0,34.0,,,245.0,9.0,63.0,116.0,1432.0,1.0,160.0,499.0,7.0,,3.0,203.0,72.0,3.0,,1.0,1.0,2.0,2.0,0.4464,3.0,,,2.0,2.0,1.0,1.0,1.0,42.0,,3.0,1.0,1.0,,2.0,1.0,1.0,8.0,25.0,60.0,14.0,1.0,0.4121,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
126184,Nathan Aké,Defender,Manchester City,43,Netherlands,2015-16,73.0,,,1.0,,79.0,,107.0,24.0,20.0,166.0,609.0,,59.0,7.0,,1874.0,,135.0,3.0,,48.0,101.0,413.0,,,,,18.0,72.0,24.0,48.0,160.0,,12.0,208.0,26.0,,315.0,80.0,24.0,,,26.0,230.0,21.0,149.0,34.0,1.0,,602.0,8.0,339.0,53.0,,,46.0,28.0,76.0,30.0,1274.0,1.0,47.0,218.0,16.0,,4.0,59.0,67.0,9.0,1.0,4.0,5.0,3.0,5.0,,13.0,,,4.0,37.0,,,5.0,25.0,,86.0,,,6.0,37.0,,8.0,10.0,8.0,88.0,154.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
73698,Miguel Layún,Defender,Club América,1292,Mexico,2015-16,11.0,,0.2262,0.0,,2.0,,9.0,3.0,2.0,10.0,52.0,,1.0,,,132.0,1.0,4.0,,,3.0,4.0,40.0,,,,0.3461,,2.0,,10.0,7.0,,1.0,15.0,1.0,,8.0,5.0,3.0,,,,28.0,,14.0,,0.0,,52.0,,26.0,2.0,,,19.0,1.0,2.0,2.0,83.0,2.0,,15.0,1.0,,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,0.3665,3.0,,,7.0,6.0,1.0,,1.0,1.0,,,,,1.0,6.0,,2.0,1.0,,18.0,1.0,1.0,0.2294,,1.0,,,,,,,,0.0717,1.0,1.0,1.0,,,,,,,,,
40868,José Holebas,Defender,Olympiakos,202,Greece,2015-16,54.0,,0.405,0.0,,25.0,,67.0,11.0,11.0,108.0,413.0,,32.0,1.0,,945.0,1.0,76.0,2.0,1.0,22.0,52.0,279.0,,,2.0,16.1675,15.0,34.0,16.0,46.0,120.0,,5.0,130.0,6.0,,213.0,83.0,11.0,,,6.0,156.0,14.0,98.0,24.0,0.0,,407.0,7.0,223.0,19.0,,,21.0,8.0,30.0,26.0,747.0,1.0,29.0,152.0,2.0,,2.0,41.0,53.0,6.0,,,3.0,8.0,1.0,0.1318,5.0,,,6.0,22.0,6.0,1.0,3.0,8.0,,23.0,2.0,1.0,15.0,23.0,2.0,4.0,22.0,1.0,59.0,77.0,6.0,0.6621,,,,,,,,,,0.1183,,2.0,2.0,2.0,1.0,,,,,,,
