playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,setPiecesGoals,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,ownGoalScored,homeGoals,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,attemptsFromSetPieces,interceptions,backwardPasses,substituteOff,overruns,unsuccessfulLayoffs,leftFootGoals,lastPlayerTackle,redCards2ndYellow,headedGoals,clearancesOffTheLine,throughBalls,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,handballsConceded,hitWoodwork,putthroughBlockedDistribution,secondGoalAssists,penaltiesTaken,penaltyGoals
9089,Ben Foster,Goalkeeper,Wrexham,England,2011-12,3.0,2.0,0.0,57.0,1.0,48.0,12.0,37.0,37.0,510.0,1020.0,363.0,37.0,3.0,10.0,9.0,3330.0,9.0,5.0,1.0,6.0,160.0,2.0,1.0,17.0,7.0,2.0,147.0,35.0,49.0,3.0,74.0,117.0,2.0,0.0,12.0,1.0,892.0,438.0,37.0,3.0,1.0,282.0,44.0,9.0,3.0,0.0,350.0,469.0,530.0,1.0,2.0,204.0,33.0,54.0,1.0,350.0,1447.0,1.0,246.0,228.0,68.0,0.0,498.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18151,Marton Fülöp,Goalkeeper,West Bromwich Albion,Hungary,2011-12,1.0,,0.0,,,,,1.0,1.0,10.0,22.0,7.0,,,,,90.0,,1.0,,,5.0,,,2.0,,1.0,3.0,2.0,3.0,1.0,,,,0.0,1.0,,20.0,6.0,1.0,,,8.0,2.0,1.0,,0.0,7.0,10.0,11.0,,,3.0,,2.0,,7.0,28.0,,4.0,4.0,,0.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38219,Luke Daniels,Goalkeeper,Barrow,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,Steven Reid,Defender,Burnley,Ireland,2011-12,46.0,,0.0,,40.0,,129.0,22.0,21.0,193.0,807.0,,,30.0,4.0,,1770.0,89.0,1.0,1.0,68.0,551.0,,13.0,,5.0,15.0,17.0,62.0,27.0,37.0,53.0,,22.0,0.0,135.0,,373.0,103.0,22.0,,,335.0,26.0,105.0,21.0,0.0,,797.0,307.0,29.0,6.0,,,306.0,13.0,63.0,1291.0,139.0,51.0,290.0,,4.0,64.0,49.0,10.0,6.0,3.0,6.0,1.0,2.0,4.0,1.0,37.0,1.0,1.0,0.0,1.0,11.0,9.0,48.0,1.0,1.0,1.0,11.0,2.0,37.0,9.0,3.0,8.0,12.0,3.0,18.0,75.0,3.0,,,,,,,,,,,,,,,,,
39253,Jonas Olsson,Defender,Wigan Athletic,Sweden,2011-12,118.0,,1.0,,33.0,,221.0,33.0,33.0,311.0,1123.0,,,140.0,9.0,,2946.0,131.0,6.0,,60.0,722.0,,65.0,,6.0,18.0,29.0,224.0,46.0,49.0,279.0,,26.0,2.0,249.0,,640.0,106.0,33.0,,,327.0,40.0,109.0,71.0,0.0,,1088.0,336.0,19.0,1.0,,,157.0,36.0,90.0,1569.0,2.0,77.0,486.0,,3.0,90.0,111.0,1.0,9.0,6.0,21.0,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,,1.0,69.0,,,0.0,,14.0,3.0,1.0,5.0,15.0,9.0,41.0,,30.0,47.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
14278,Liam Ridgewell,Defender,Southend United,England,2011-12,34.0,,0.0,,35.0,,85.0,13.0,13.0,111.0,427.0,,,18.0,6.0,,1170.0,62.0,3.0,,51.0,297.0,,25.0,,2.0,7.0,7.0,33.0,14.0,27.0,131.0,,14.0,0.0,96.0,,221.0,60.0,13.0,,,171.0,11.0,78.0,11.0,0.0,,414.0,184.0,26.0,2.0,,,13.0,9.0,19.0,753.0,99.0,27.0,154.0,,2.0,26.0,24.0,9.0,3.0,4.0,9.0,,1.0,4.0,,26.0,1.0,,0.0,,9.0,7.0,26.0,,1.0,,9.0,5.0,26.0,11.0,5.0,12.0,10.0,,14.0,62.0,,,,,,,1.0,,,,,,,,,,,
37269,Gonzalo Jara,Defender,West Bromwich Albion,Chile,2011-12,6.0,,0.0,,11.0,,14.0,4.0,1.0,20.0,99.0,,,,,,159.0,14.0,,,14.0,70.0,,,,,4.0,,4.0,3.0,6.0,2.0,,,0.0,20.0,,40.0,18.0,4.0,,,47.0,3.0,20.0,,0.0,,97.0,24.0,10.0,3.0,,,54.0,1.0,9.0,143.0,7.0,2.0,33.0,,0.0,6.0,7.0,1.0,,,1.0,,,1.0,,,,,,3.0,1.0,,,,,,1.0,2.0,,3.0,1.0,1.0,,,8.0,3.0,,,,,,,,,1.0,,,,,,,,,
5750,Nicky Shorey,Defender,Colchester United,England,2011-12,34.0,,0.0,,20.0,,184.0,25.0,22.0,228.0,957.0,,,10.0,3.0,,2016.0,42.0,3.0,1.0,36.0,677.0,,12.0,,3.0,24.0,13.0,54.0,33.0,30.0,377.0,,6.0,0.0,76.0,,475.0,115.0,25.0,,,448.0,30.0,66.0,6.0,0.0,,939.0,337.0,16.0,10.0,,,26.0,10.0,52.0,1421.0,180.0,34.0,298.0,,1.0,44.0,66.0,12.0,2.0,,1.0,,1.0,6.0,,27.0,,,,3.0,17.0,4.0,26.0,,,,4.0,6.0,37.0,13.0,1.0,5.0,4.0,,30.0,79.0,,2.0,,,1.0,,,,2.0,12.0,4.0,8.0,3.0,,,,,
19272,Gareth McAuley,Defender,Rangers,Northern Ireland,2011-12,74.0,,0.0,,63.0,,188.0,32.0,32.0,228.0,915.0,,,127.0,9.0,,2880.0,173.0,5.0,1.0,84.0,654.0,,45.0,,6.0,5.0,13.0,205.0,40.0,36.0,191.0,,18.0,2.0,247.0,,479.0,89.0,32.0,,,192.0,35.0,120.0,89.0,0.0,,893.0,259.0,50.0,3.0,,,189.0,20.0,33.0,1346.0,5.0,29.0,495.0,,0.0,40.0,110.0,,3.0,7.0,15.0,,,3.0,,,2.0,,1.0,,,38.0,3.0,,1.0,,13.0,1.0,,10.0,8.0,2.0,31.0,,24.0,56.0,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,
60232,Craig Dawson,Defender,Wolverhampton Wanderers,England,2011-12,8.0,,0.0,,7.0,,30.0,8.0,6.0,41.0,169.0,,,13.0,1.0,,542.0,20.0,1.0,,12.0,119.0,,6.0,,1.0,,,31.0,11.0,3.0,41.0,,5.0,0.0,28.0,,62.0,19.0,8.0,,,28.0,10.0,15.0,8.0,0.0,,166.0,43.0,5.0,,,,56.0,3.0,9.0,257.0,1.0,11.0,100.0,,0.0,11.0,15.0,,,2.0,3.0,,,1.0,,,,,,2.0,,5.0,,,,,2.0,,,,1.0,,12.0,,18.0,10.0,,,,,,,,1.0,1.0,,,,1.0,,,,,
