playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,overruns,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,substituteOn,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,putthroughBlockedDistribution,throwInsToOppositionPlayer,ownGoalScored,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,interceptions,backwardPasses,substituteOff,hitWoodwork,shotsOnTargetIncGoals,throughBalls,goals,awayGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,homeGoals,penaltiesTaken,leftFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,handballsConceded,secondGoalAssists,lastPlayerTackle,headedGoals,setPiecesGoals,rightFootGoals,foulWonPenalty,redCards2ndYellow,penaltyGoals
11467,Billy Jones,Defender,West Brom,35,England,2011-12,42.0,,0.0,,33.0,,122.0,18.0,17.0,166.0,554.0,,,29.0,5.0,,1608.0,66.0,5.0,,51.0,369.0,,16.0,,3.0,12.0,12.0,45.0,25.0,28.0,41.0,,13.0,0.0,108.0,,317.0,61.0,18.0,,,246.0,20.0,79.0,15.0,0.0,,546.0,278.0,20.0,5.0,,,147.0,14.0,19.0,948.0,120.0,44.0,152.0,,4.0,44.0,51.0,10.0,2.0,2.0,2.0,1.0,2.0,31.0,2.0,1.0,10.0,1.0,14.0,1.0,47.0,1.0,13.0,6.0,31.0,10.0,2.0,7.0,6.0,19.0,49.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
60232,Craig Dawson,Defender,West Brom,35,England,2011-12,8.0,,0.0,,7.0,,30.0,8.0,6.0,41.0,169.0,,,13.0,1.0,,542.0,20.0,1.0,,12.0,119.0,,6.0,,1.0,,,31.0,11.0,3.0,41.0,,5.0,0.0,28.0,,62.0,19.0,8.0,,,28.0,10.0,15.0,8.0,0.0,,166.0,43.0,5.0,,,,56.0,3.0,9.0,257.0,1.0,11.0,100.0,,0.0,11.0,15.0,,,,3.0,,1.0,,,2.0,,,5.0,,,,2.0,,,,1.0,,12.0,18.0,10.0,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
27348,Gabriel Tamas,Defender,West Brom,35,Romania,2011-12,22.0,,0.0,,12.0,,34.0,8.0,7.0,60.0,227.0,,,16.0,1.0,,663.0,27.0,,,19.0,149.0,,3.0,,1.0,,7.0,57.0,9.0,14.0,25.0,,3.0,0.0,49.0,,121.0,28.0,8.0,,,64.0,9.0,33.0,8.0,0.0,,220.0,76.0,11.0,4.0,,,61.0,5.0,18.0,357.0,18.0,21.0,104.0,,1.0,26.0,19.0,1.0,,,3.0,,,1.0,,1.0,1.0,,8.0,,5.0,,1.0,1.0,1.0,2.0,2.0,,4.0,7.0,20.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
19272,Gareth McAuley,Defender,West Brom,35,Northern Ireland,2011-12,74.0,,0.0,,63.0,,188.0,32.0,32.0,228.0,915.0,,,127.0,9.0,,2880.0,173.0,5.0,1.0,84.0,654.0,,45.0,,6.0,5.0,13.0,205.0,40.0,36.0,191.0,,18.0,2.0,247.0,,479.0,89.0,32.0,,,192.0,35.0,120.0,89.0,0.0,,893.0,259.0,50.0,3.0,,,189.0,20.0,33.0,1346.0,5.0,29.0,495.0,,0.0,40.0,110.0,,3.0,,15.0,,3.0,,,,,,38.0,,3.0,,13.0,1.0,,10.0,8.0,2.0,31.0,24.0,56.0,,1.0,7.0,,2.0,1.0,,,1.0,,1.0,,,,1.0,,2.0,1.0,,,,,
37269,Gonzalo Jara,Defender,West Brom,35,Chile,2011-12,6.0,,0.0,,11.0,,14.0,4.0,1.0,20.0,99.0,,,,,,159.0,14.0,,,14.0,70.0,,,,,4.0,,4.0,3.0,6.0,2.0,,,0.0,20.0,,40.0,18.0,4.0,,,47.0,3.0,20.0,,0.0,,97.0,24.0,10.0,3.0,,,54.0,1.0,9.0,143.0,7.0,2.0,33.0,,0.0,6.0,7.0,1.0,,,1.0,,1.0,,,3.0,1.0,,,,,,1.0,2.0,,3.0,1.0,1.0,,8.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,
39253,Jonas Olsson,Defender,West Brom,35,Sweden,2011-12,118.0,,1.0,,33.0,,221.0,33.0,33.0,311.0,1123.0,,,140.0,9.0,,2946.0,131.0,6.0,,60.0,722.0,,65.0,,6.0,18.0,29.0,224.0,46.0,49.0,279.0,,26.0,2.0,249.0,,640.0,106.0,33.0,,,327.0,40.0,109.0,71.0,0.0,,1088.0,336.0,19.0,1.0,,,157.0,36.0,90.0,1569.0,2.0,77.0,486.0,,3.0,90.0,111.0,1.0,9.0,1.0,21.0,2.0,2.0,1.0,3.0,,1.0,1.0,69.0,,,,14.0,3.0,1.0,5.0,15.0,9.0,41.0,30.0,47.0,,,6.0,,2.0,2.0,,,0.0,,1.0,,,2.0,,,1.0,1.0,,,1.0,1.0,
14278,Liam Ridgewell,Defender,West Brom,35,England,2011-12,34.0,,0.0,,35.0,,85.0,13.0,13.0,111.0,427.0,,,18.0,6.0,,1170.0,62.0,3.0,,51.0,297.0,,25.0,,2.0,7.0,7.0,33.0,14.0,27.0,131.0,,14.0,0.0,96.0,,221.0,60.0,13.0,,,171.0,11.0,78.0,11.0,0.0,,414.0,184.0,26.0,2.0,,,13.0,9.0,19.0,753.0,99.0,27.0,154.0,,2.0,26.0,24.0,9.0,3.0,,9.0,1.0,4.0,26.0,,,9.0,,7.0,,26.0,,9.0,5.0,26.0,11.0,5.0,12.0,10.0,14.0,62.0,,,4.0,,1.0,0.0,,,1.0,,,,,,,,,1.0,,,,,
5750,Nicky Shorey,Defender,West Brom,35,England,2011-12,34.0,,0.0,,20.0,,184.0,25.0,22.0,228.0,957.0,,,10.0,3.0,,2016.0,42.0,3.0,1.0,36.0,677.0,,12.0,,3.0,24.0,13.0,54.0,33.0,30.0,377.0,,6.0,0.0,76.0,,475.0,115.0,25.0,,,448.0,30.0,66.0,6.0,0.0,,939.0,337.0,16.0,10.0,,,26.0,10.0,52.0,1421.0,180.0,34.0,298.0,,1.0,44.0,66.0,12.0,2.0,2.0,1.0,1.0,6.0,27.0,,3.0,17.0,,4.0,,26.0,,4.0,6.0,37.0,13.0,1.0,5.0,4.0,30.0,79.0,,,,2.0,,,12.0,4.0,,,,,8.0,,3.0,,1.0,,,,,,
16210,Paul Scharner,Defender,West Brom,35,Austria,2011-12,86.0,,0.0,,36.0,,94.0,29.0,18.0,103.0,677.0,,,33.0,3.0,,1592.0,83.0,3.0,1.0,65.0,559.0,,39.0,,3.0,9.0,1.0,26.0,24.0,71.0,159.0,,19.0,4.0,169.0,,176.0,86.0,29.0,,,312.0,21.0,136.0,18.0,0.0,,675.0,168.0,27.0,10.0,,,209.0,30.0,15.0,933.0,5.0,5.0,264.0,,6.0,9.0,28.0,2.0,10.0,2.0,23.0,2.0,57.0,13.0,2.0,11.0,2.0,1.0,15.0,,,,9.0,11.0,13.0,27.0,13.0,8.0,6.0,32.0,133.0,6.0,,10.0,2.0,3.0,3.0,,,0.0,,1.0,,,,2.0,,1.0,1.0,,1.0,,,
3332,Steven Reid,Defender,West Brom,35,Ireland,2011-12,46.0,,0.0,,40.0,,129.0,22.0,21.0,193.0,807.0,,,30.0,4.0,,1770.0,89.0,1.0,1.0,68.0,551.0,,13.0,,5.0,15.0,17.0,62.0,27.0,37.0,53.0,,22.0,0.0,135.0,,373.0,103.0,22.0,,,335.0,26.0,105.0,21.0,0.0,,797.0,307.0,29.0,6.0,,,306.0,13.0,63.0,1291.0,139.0,51.0,290.0,,4.0,64.0,49.0,10.0,6.0,,6.0,2.0,4.0,37.0,1.0,1.0,11.0,,9.0,,48.0,1.0,11.0,2.0,37.0,9.0,3.0,8.0,12.0,18.0,75.0,3.0,,3.0,,1.0,0.0,,,1.0,,,3.0,,,,,,,1.0,1.0,1.0,,
