season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767931,1,21,West_Ham_United,Away,1227,5306,Kevin Nolan,kevin-nolan,M,True,,,,,6.0,6.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,11.0,,,,,,,,,6.9,,,,1.0,1.0,,,1.0,,1.0,6.0,7.0,0,1.0,10.0,,,1.0
2015-16,6767931,1,21,West_Ham_United,Away,9729,8380,James Collins,james-collins,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,21,West_Ham_United,Away,9741,18073,Mark Noble,mark-noble,M,False,,,4.0,15.0,21.0,36.0,,,5.0,,,,3.0,,,1.0,5.0,9.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,6.8,,,,1.0,2.0,,,5.0,,20.0,21.0,41.0,0,1.0,56.0,1.0,6.0,2.0
2015-16,6767931,1,21,West_Ham_United,Away,13060,32259,Darren Randolph,darren-randolph,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,21,West_Ham_United,Away,14120,48717,Winston Reid,winston-reid,D,False,,,2.0,6.0,13.0,19.0,1.0,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,3.0,,,90.0,,3.0,,,,,,,6.9,,,,6.0,,,,7.0,,11.0,15.0,26.0,0,,39.0,,1.0,
2015-16,6767931,1,21,West_Ham_United,Away,14216,37901,Dimitri Payet,dimitri-payet,M,False,1.0,,,16.0,18.0,33.0,1.0,1.0,7.0,1.0,,1.0,7.0,,,1.0,9.0,8.0,,,,1.0,,,,,2.0,,90.0,,,,,,,,,7.5,,,,,4.0,4.0,,1.0,,25.0,20.0,41.0,1,2.0,57.0,2.0,1.0,4.0
2015-16,6767931,1,21,West_Ham_United,Away,20095,18818,Matt Jarvis,matt-jarvis,M,True,,,,1.0,4.0,5.0,,1.0,1.0,,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,,27.0,,,,,,,,,6.5,,,,,,,,,,2.0,4.0,6.0,0,1.0,8.0,,,
2015-16,6767931,1,21,West_Ham_United,Away,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,1.0,2.0,21.0,23.0,,2.0,3.0,,,,,,,,1.0,6.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,,7.2,,,,7.0,,,,6.0,,8.0,23.0,31.0,0,4.0,45.0,1.0,,
2015-16,6767931,1,21,West_Ham_United,Away,27005,42954,Modibo Maiga,modibo-maiga,F,True,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,,1.0,1,,5.0,1.0,,1.0
2015-16,6767931,1,21,West_Ham_United,Away,32124,49413,James Tomkins,james-tomkins,D,False,,,6.0,14.0,15.0,29.0,2.0,5.0,4.0,,,,2.0,,,,6.0,8.0,,,2.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,,6.9,,,,5.0,1.0,,,11.0,,21.0,20.0,41.0,0,1.0,63.0,,1.0,1.0
2015-16,6767931,1,21,West_Ham_United,Away,32893,49696,Mauro Zárate,mauro-zarate,F,False,,,1.0,9.0,3.0,12.0,2.0,,7.0,,,,,,,2.0,9.0,7.0,,,1.0,,1.0,,,,1.0,,63.0,1.0,,,,,,,,7.4,,,1.0,,6.0,1.0,,1.0,,14.0,7.0,20.0,2,3.0,38.0,,2.0,2.0
2015-16,6767931,1,21,West_Ham_United,Away,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,,,4.0,14.0,15.0,29.0,1.0,1.0,2.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,,3.0,1.0,,90.0,,1.0,,,,,,,7.4,,,,,,,,10.0,,20.0,19.0,39.0,1,1.0,59.0,1.0,,
2015-16,6767931,1,21,West_Ham_United,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,1.0,10.0,10.0,20.0,5.0,,6.0,,,,6.0,,,1.0,12.0,3.0,,,,,1.0,,,2.0,2.0,,90.0,1.0,1.0,,,,,,,7.0,,,,,,,,3.0,1.0,16.0,14.0,30.0,1,3.0,42.0,1.0,,
2015-16,6767931,1,21,West_Ham_United,Away,50539,60706,Adrián,adrian,G,False,,2.0,13.0,9.0,10.0,19.0,,,13.0,,,,,,1.0,,,,,,,,,2.0,,,,,90.0,,,,,,,,1.0,8.3,5.0,6.0,,1.0,,,2.0,34.0,,28.0,12.0,40.0,0,,54.0,,,
2015-16,6767931,1,21,West_Ham_United,Away,74069,73889,Diafra Sakho,diafra-sakho,F,False,,,,4.0,2.0,6.0,18.0,9.0,3.0,,,,,,,,21.0,11.0,,,1.0,,,,,,,,89.0,1.0,,,,,,,,6.8,,,1.0,3.0,3.0,1.0,,,,16.0,2.0,17.0,2,1.0,33.0,3.0,,1.0
2015-16,6767931,1,21,West_Ham_United,Away,190849,103527,Diego Poyet,diego-poyet,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,21,West_Ham_United,Away,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,21,West_Ham_United,Away,788768,173792,Reece Oxford,reece-oxford,D,False,,,1.0,5.0,13.0,18.0,1.0,,3.0,,,,3.0,,,,4.0,4.0,,,,,,,,2.0,,,79.0,,2.0,,,,,,,6.8,,,,1.0,,,,2.0,,6.0,13.0,19.0,0,3.0,29.0,,1.0,
2015-16,6767947,2,21,West_Ham_United,Home,1227,5306,Kevin Nolan,kevin-nolan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
