playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,goalAssists,successfulLayoffs,goalkeeperSmother,tacklesLost,lastPlayerTackle,cornersWon,foulAttemptedTackle,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,backwardPasses,expectedGoals,successfulCrossesOpenPlay,overruns,offsides,oboxBlocked,successfulCrossesAndCorners,throwInsToOppositionPlayer,unsuccessfulDribbles,successfulDribbles,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,secondGoalAssists,redCards2ndYellow,handballsConceded,throughBalls,shotsOnTargetOutsideBox,oboxTarget,headedGoals,ownGoalScored,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,clearancesOffTheLine,penaltiesTaken,penaltyGoals
60706,Adrián,Goalkeeper,Real Betis,185,Spain,2013-14,1.0,0.3663,0.0,32.0,41.0,7.0,20.0,20.0,297.0,572.0,229.0,17.0,2.0,6.0,3.0,1800.0,5.0,4.0,1.0,1.0,3.0,37.0,5.0,3.0,33.3005,2.0,97.0,10.0,27.0,1.0,13.0,86.0,5.0,0.0,6.0,543.0,189.0,20.0,2.0,1.0,220.0,23.0,4.0,2.0,0.0,178.0,175.0,300.0,110.0,23.0,16.0,1.0,238.0,774.0,128.0,55.0,45.0,2.0,290.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Jussi Jääskeläinen,Goalkeeper,Wigan Athletic,111,Finland,2013-14,3.0,0.043,0.0,19.0,20.0,6.0,18.0,18.0,254.0,442.0,175.0,8.0,1.0,8.0,3.0,1620.0,4.0,6.0,2.0,,3.0,49.0,4.0,3.0,24.224,,49.0,11.0,24.0,3.0,19.0,65.0,1.0,0.0,7.0,395.0,169.0,18.0,1.0,,108.0,18.0,6.0,1.0,0.0,151.0,167.0,258.0,104.0,17.0,28.0,2.0,139.0,627.0,119.0,80.0,43.0,0.0,248.0,24.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48717,Winston Reid,Defender,West Ham United U23,7238,New Zealand,2013-14,69.0,0.1782,0.0,,,72.0,22.0,18.0,122.0,520.0,,,89.0,7.0,,1674.0,89.0,4.0,,11.0,38.0,348.0,,4.0,28.0329,2.0,14.0,167.0,22.0,31.0,147.0,,18.0,1.0,158.0,253.0,60.0,22.0,,,110.0,18.0,69.0,51.0,0.0,,517.0,132.0,,,85.0,23.0,50.0,823.0,51.0,288.0,,2.0,50.0,36.0,24.0,,,,5.0,2.0,,7.0,3.0,2.0,0.7389,7.0,1.0,1.0,1.0,4.0,1.0,1.0,38.0,20.0,3.0,10.0,0.0,1.0,1.0,5.0,3.0,5.0,19.0,16.0,40.0,35.0,1.2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609,George McCartney,Defender,West Ham United,21,Northern Ireland,2013-14,55.0,0.5623,0.0,,,84.0,22.0,20.0,138.0,654.0,,,54.0,6.0,,1840.0,99.0,4.0,,16.0,65.0,469.0,,1.0,29.5701,10.0,26.0,109.0,27.0,35.0,161.0,,23.0,0.0,154.0,311.0,98.0,22.0,,,279.0,23.0,100.0,34.0,0.0,,643.0,238.0,,,79.0,10.0,47.0,1181.0,58.0,243.0,,4.0,54.0,20.0,36.0,,1.0,,9.0,,4.0,2.0,1.0,,,1.0,34.0,,,2.0,,,20.0,4.0,,8.0,,,34.0,18.0,,1.0,27.0,16.0,21.0,103.0,0.0892,6.0,3.0,1.0,1.0,6.0,36.0,11.0,6.0,161.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,Crystal Palace,31,England,2013-14,84.0,0.5099,1.0,,,127.0,31.0,31.0,224.0,854.0,,,168.0,10.0,,2601.0,199.0,5.0,1.0,27.0,74.0,541.0,,6.0,44.8022,4.0,44.0,277.0,37.0,41.0,190.0,,25.0,0.0,283.0,417.0,85.0,31.0,,,189.0,32.0,115.0,125.0,0.0,,802.0,243.0,,,181.0,25.0,89.0,1338.0,99.0,441.0,,5.0,97.0,41.0,53.0,,1.0,,8.0,4.0,3.0,12.0,2.0,5.0,0.5259,9.0,2.0,,,,5.0,5.0,43.0,27.0,2.0,21.0,,,2.0,5.0,2.0,4.0,45.0,20.0,45.0,66.0,1.2007,,,1.0,,,,3.0,2.0,4.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
50369,Pablo Armero,Defender,West Ham United,21,Colombia,2013-14,19.0,0.2561,0.0,,,21.0,5.0,3.0,27.0,110.0,,,6.0,,,322.0,14.0,,1.0,7.0,11.0,81.0,,3.0,8.7957,3.0,,12.0,7.0,16.0,32.0,,3.0,0.0,33.0,49.0,19.0,5.0,,,49.0,7.0,27.0,3.0,0.0,,109.0,49.0,,,15.0,5.0,2.0,210.0,10.0,38.0,,1.0,6.0,7.0,7.0,,1.0,,2.0,,,3.0,,,,1.0,8.0,,,2.0,,,3.0,1.0,,4.0,,,8.0,6.0,,1.0,5.0,2.0,7.0,14.0,0.0274,4.0,1.0,,,4.0,5.0,5.0,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
19575,Joey O'Brien,Defender,West Ham United U23,7238,Ireland,2013-14,50.0,0.4416,0.0,,,65.0,17.0,13.0,92.0,448.0,,,34.0,3.0,,1234.0,65.0,6.0,1.0,15.0,48.0,339.0,,2.0,20.7875,3.0,6.0,60.0,19.0,33.0,78.0,,18.0,0.0,115.0,198.0,49.0,17.0,,,183.0,13.0,81.0,17.0,0.0,,448.0,153.0,,,79.0,14.0,17.0,786.0,24.0,178.0,,4.0,27.0,22.0,24.0,,1.0,,6.0,1.0,1.0,5.0,1.0,1.0,0.1356,3.0,10.0,,,4.0,1.0,1.0,17.0,8.0,1.0,6.0,,,10.0,13.0,1.0,2.0,18.0,12.0,14.0,93.0,0.3628,5.0,,,,5.0,24.0,6.0,7.0,108.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
8380,James Collins,Defender,Ipswich Town,40,Wales,2013-14,85.0,0.361,0.0,,,105.0,24.0,22.0,222.0,613.0,,,138.0,9.0,,1899.0,138.0,8.0,,18.0,53.0,310.0,,2.0,27.7578,2.0,55.0,232.0,25.0,32.0,74.0,,8.0,1.0,223.0,401.0,77.0,24.0,,,152.0,17.0,85.0,85.0,0.0,,542.0,233.0,,,119.0,16.0,81.0,1005.0,126.0,239.0,,6.0,117.0,24.0,47.0,,,,11.0,,5.0,7.0,3.0,2.0,0.2928,11.0,1.0,1.0,0.0,2.0,,,53.0,30.0,2.0,11.0,1.0,,1.0,2.0,2.0,9.0,36.0,32.0,18.0,19.0,1.1222,,,2.0,1.0,,,1.0,3.0,,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10356,Guy Demel,Defender,West Ham United,21,Cote d’Ivoire,2013-14,110.0,1.4144,0.0,,,174.0,32.0,30.0,227.0,845.0,,,64.0,11.0,,2638.0,140.0,6.0,,46.0,103.0,595.0,,4.0,43.6353,14.0,6.0,104.0,38.0,83.0,39.0,,18.0,0.0,250.0,405.0,134.0,32.0,,,359.0,32.0,186.0,37.0,0.0,,842.0,430.0,,,244.0,28.0,23.0,1636.0,44.0,279.0,,3.0,53.0,54.0,52.0,,3.0,,14.0,2.0,19.0,3.0,2.0,3.0,1.3572,11.0,45.0,1.0,0.0,2.0,2.0,2.0,27.0,39.0,2.0,21.0,1.0,1.0,45.0,52.0,2.0,8.0,38.0,15.0,35.0,157.0,2.0114,20.0,20.0,1.0,,20.0,61.0,29.0,33.0,248.0,5.0,,,,1.0,1.0,,,,1.0,3.0,,,,,,,,,,,,,
8358,Roger Johnson,Defender,Bromley,2050,England,2013-14,12.0,0.0098,0.0,,,22.0,4.0,2.0,34.0,83.0,,,26.0,1.0,,272.0,20.0,2.0,,4.0,4.0,40.0,,,3.6546,,6.0,38.0,4.0,2.0,11.0,,1.0,0.0,32.0,47.0,5.0,4.0,,,10.0,2.0,6.0,16.0,0.0,,81.0,35.0,,,14.0,2.0,9.0,135.0,15.0,39.0,,1.0,12.0,7.0,3.0,,,,,,,1.0,,,,1.0,,,,2.0,,,10.0,3.0,,1.0,,,,,,1.0,3.0,2.0,2.0,11.0,0.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
