playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,aerialDuelsLost,penaltiesConceded,groundDuelsLost,totalFoulsConceded,interceptions,foulAttemptedTackle,successfulCrossesOpenPlay,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,handballsConceded,expectedGoals,blockedShots,oboxBlocked,shotsBlockedInBox,lastPlayerTackle,iboxBlocked,shotsBlockedOutsideBox,shotsOnTargetOutsideBox,ownGoalScored,oboxTarget,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,clearancesOffTheLine,secondGoalAssists,headedGoals,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,otherGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,penaltyGoals
158534,Kyle Walker-Peters,Defender,West Ham United,21,England,2025-26,0.3849,0.0,,,61.0,23.0,,15.0,86.0,596.0,,,31.0,4.0,,1380.0,97.0,1.0,85.0,495.0,,5.0,26.3074,7.0,3.0,34.0,25.0,39.0,,25.0,1.0,161.0,,215.0,59.0,23.0,,298.0,24.0,130.0,12.0,0.0,,588.0,4.0,160.0,,,213.0,15.0,968.0,12.0,213.0,,2.0,25.0,29.0,64.0,19.0,,45.0,12.0,9.0,6.0,1.0,3.0,2.0,1.0415,44.0,5.0,1.0,1.0,19.0,1.0,1.0,0.0,8.0,1.0,2.0,2.0,35.0,19.0,10.0,18.0,1.0,1.0,14.0,8.0,19.0,25.0,2.0,30.0,16.0,4.0,129.0,102.0,3.0,2.0,1.1305,,,,,,,,,,,,,,,,,,,,,,,,,
214048,Maximilian Kilman,Defender,West Ham United,21,England,2025-26,0.3092,0.0,,,34.0,21.0,,17.0,83.0,687.0,16.0,,82.0,1.0,,1559.0,69.0,2.0,22.0,577.0,,4.0,35.6594,4.0,9.0,111.0,37.0,261.0,,2.0,0.0,132.0,,213.0,43.0,21.0,,187.0,35.0,50.0,47.0,0.0,16.0,658.0,4.0,98.0,,,181.0,27.0,916.0,18.0,418.0,,4.0,49.0,20.0,63.0,35.0,2.0,28.0,16.0,9.0,3.0,1.0,1.0,,0.0701,16.0,5.0,,,2.0,,,,4.0,1.0,1.0,1.0,8.0,13.0,,7.0,,,8.0,1.0,2.0,6.0,4.0,8.0,4.0,24.0,32.0,,,1.0,0.5682,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
220362,Axel Disasi,Defender,Chelsea U21,12943,France,2025-26,0.0513,0.0,,,35.0,14.0,,14.0,76.0,566.0,44.0,,31.0,6.0,,1255.0,38.0,2.0,20.0,460.0,,1.0,13.5883,1.0,4.0,49.0,17.0,200.0,,4.0,0.0,60.0,,187.0,32.0,14.0,,125.0,15.0,29.0,18.0,0.0,44.0,514.0,,89.0,,,136.0,30.0,711.0,16.0,365.0,,1.0,41.0,16.0,22.0,13.0,,9.0,5.0,13.0,1.0,,3.0,,0.9141,14.0,4.0,,1.0,,,1.0,,,,2.0,2.0,10.0,10.0,,8.0,,,4.0,,,3.0,1.0,10.0,2.0,12.0,43.0,1.0,1.0,,1.0198,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
613804,El Hadji Malick Diouf,Defender,West Ham United,21,Senegal,2025-26,2.4884,0.0,,,137.0,32.0,5.0,30.0,266.0,1038.0,,,82.0,6.0,,2711.0,137.0,4.0,92.0,715.0,,3.0,41.7578,24.0,21.0,116.0,47.0,321.0,,25.0,0.0,255.0,,468.0,126.0,32.0,,413.0,43.0,173.0,45.0,0.0,,1027.0,18.0,492.0,,,29.0,57.0,1821.0,78.0,388.0,,6.0,129.0,91.0,118.0,37.0,2.0,81.0,28.0,33.0,11.0,25.0,4.0,1.0,0.1083,44.0,13.0,4.0,1.0,72.0,,2.0,,2.0,29.0,4.0,4.0,61.0,30.0,45.0,18.0,,,24.0,24.0,79.0,43.0,9.0,20.0,23.0,13.0,220.0,183.0,6.0,3.0,0.5677,5.0,4.0,1.0,,1.0,4.0,,,,7.0,2.0,5.0,1.0,1.0,,,,,,,,,,,
233963,Konstantinos Mavropanos,Defender,West Ham United,21,Greece,2025-26,0.7023,0.0,,,99.0,31.0,,27.0,208.0,1171.0,1.0,,123.0,6.0,,2528.0,134.0,4.0,50.0,874.0,,4.0,35.9401,4.0,13.0,194.0,43.0,214.0,,9.0,1.0,205.0,,444.0,103.0,31.0,,357.0,39.0,82.0,84.0,0.0,1.0,1134.0,1.0,236.0,,,447.0,89.0,1600.0,50.0,607.0,,2.0,109.0,56.0,71.0,39.0,,32.0,16.0,49.0,6.0,1.0,8.0,,4.2854,40.0,20.0,,,3.0,3.0,2.0,0.0,4.0,1.0,5.0,5.0,13.0,40.0,2.0,9.0,3.0,1.0,15.0,,3.0,2.0,12.0,25.0,2.0,30.0,66.0,3.0,,,2.5519,3.0,,3.0,,3.0,,,2.0,,,,,3.0,,2.0,,,,,,,,,,
462116,Jean-Clair Todibo,Defender,West Ham United,21,France,2025-26,0.3341,1.0,,,59.0,23.0,1.0,22.0,99.0,782.0,17.0,,50.0,1.0,,1817.0,69.0,3.0,44.0,658.0,,3.0,36.4018,4.0,4.0,98.0,37.0,232.0,,3.0,0.0,115.0,,272.0,89.0,23.0,,211.0,34.0,65.0,25.0,1.0,17.0,749.0,,123.0,,,223.0,25.0,1033.0,20.0,472.0,,5.0,40.0,38.0,46.0,25.0,,21.0,8.0,17.0,5.0,,,1.0,,38.0,1.0,,,3.0,,1.0,,1.0,,,,17.0,9.0,,14.0,,,14.0,5.0,3.0,6.0,1.0,24.0,4.0,13.0,55.0,2.0,5.0,,0.2442,1.0,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
214590,Aaron Wan-Bissaka,Defender,West Ham United,21,DR Congo,2025-26,1.0003,0.0,,,125.0,25.0,2.0,23.0,172.0,738.0,,,46.0,3.0,,2084.0,83.0,4.0,61.0,542.0,,2.0,38.3231,16.0,13.0,94.0,43.0,59.0,,12.0,0.0,165.0,,319.0,75.0,25.0,,358.0,39.0,119.0,22.0,0.0,,734.0,6.0,319.0,,,237.0,24.0,1352.0,39.0,224.0,,4.0,47.0,47.0,82.0,24.0,,58.0,23.0,40.0,11.0,16.0,,2.0,,33.0,,2.0,1.0,26.0,,1.0,,2.0,16.0,,,47.0,15.0,55.0,20.0,,,10.0,17.0,26.0,32.0,,23.0,16.0,7.0,123.0,166.0,4.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
536109,Ollie Scarles,Defender,West Ham United U21,12944,England,2025-26,0.3113,0.0,,,29.0,13.0,,9.0,54.0,275.0,,,14.0,,,659.0,46.0,1.0,39.0,203.0,,2.0,14.7489,5.0,8.0,30.0,16.0,80.0,,7.0,0.0,75.0,,122.0,35.0,13.0,,110.0,15.0,61.0,7.0,0.0,,271.0,4.0,117.0,,,14.0,18.0,500.0,13.0,114.0,,2.0,25.0,16.0,29.0,7.0,,22.0,7.0,13.0,5.0,2.0,,1.0,,30.0,3.0,1.0,,10.0,,1.0,,4.0,3.0,,,14.0,7.0,9.0,8.0,,,8.0,7.0,31.0,7.0,3.0,22.0,2.0,1.0,59.0,46.0,5.0,1.0,0.177,,,,,,,,,,18.0,,18.0,,,,,1.0,,,,,,,,
643473,Airidas Golambeckis,Defender,West Ham United U21,12944,England,2025-26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602903,Ezra Mayers,Defender,West Ham United U21,12944,England,2025-26,0.4908,0.0,,,7.0,6.0,,,13.0,81.0,,,4.0,,,113.0,4.0,,1.0,64.0,,1.0,3.7573,2.0,1.0,4.0,3.0,32.0,,,0.0,6.0,,36.0,6.0,6.0,,46.0,3.0,2.0,3.0,0.0,,81.0,,17.0,,,6.0,4.0,101.0,3.0,24.0,,0.0,6.0,4.0,2.0,1.0,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,6.0,2.0,,,5.0,3.0,1.0,3.0,,,,,1.0,1.0,,,1.0,,7.0,3.0,,,0.1188,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
