playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,substituteOn,penaltiesConceded,unsuccessfulLayoffs,penaltiesTaken,headedGoals,penaltyGoals,foulWonPenalty,rightFootGoals,setPiecesGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,ownGoalScored
21091,Alexandre Song,Midfielder,West Ham,21,Cameroon,2015-16,54.0,,0.3442,0.0,,2.0,,,41.0,4.0,1.0,54.0,12.0,,6.0,8.0,66.0,3.0,448.0,,,1.0,7.0,1.0,,,,658.0,,2.0,60.0,1.0,10.0,55.0,354.0,,7.008,8.0,,6.0,6.0,1.0,52.0,106.0,7.0,114.0,4.0,162.0,73.0,12.0,,9.0,,2.0,236.0,5.0,3.0,,1.0,107.0,5.0,0.0,444.0,4.0,1.0,93.0,32.0,7.0,,,143.0,13.0,12.0,,28.0,37.0,566.0,2.0,5.0,,1.0,,146.0,10.0,,0.2027,1.0,12.0,18.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,West Ham,21,Senegal,2015-16,186.0,2.0,1.5136,1.0,,10.0,18.0,4.0439,95.0,35.0,1.0,204.0,34.0,2.0,37.0,34.0,253.0,17.0,1234.0,5.0,2.0,3.0,143.0,10.0,4.0,2.0,9.0,3009.0,9.0,55.0,248.0,5.0,58.0,160.0,940.0,,44.3128,19.0,8.0,57.0,44.0,7.0,131.0,301.0,40.0,434.0,34.0,379.0,227.0,34.0,4.0,22.0,,16.0,491.0,39.0,17.0,,7.0,291.0,88.0,1.0,1224.0,17.0,11.0,371.0,73.0,29.0,13.0,,362.0,36.0,77.0,1.0,41.0,192.0,1795.0,7.0,3.0,4.0,3.0,28.0,492.0,25.0,,5.9082,5.0,49.0,80.0,,,,,,,,,,,,,,,,,,3.0,,2.0,,1.0,3.0,,,,,
37901,Dimitri Payet,Midfielder,West Ham,21,France,2015-16,148.0,20.0,10.1437,0.0,1.1169,18.0,28.0,9.1758,24.0,51.0,19.0,203.0,30.0,12.0,124.0,29.0,252.0,83.0,1269.0,9.0,3.0,11.0,12.0,5.0,16.0,94.0,3.0,2571.0,3.0,10.0,132.0,6.0,64.0,130.0,941.0,1.0,42.1729,107.0,1.0,2.0,42.0,7.0,138.0,402.0,39.0,280.0,23.0,344.0,150.0,30.0,16.0,8.0,,51.0,807.0,36.0,196.0,17.0,7.0,268.0,2.0,0.0,1213.0,23.0,39.0,625.0,16.0,67.0,,17.0,212.0,13.0,23.0,,76.0,311.0,2018.0,13.0,6.0,2.0,11.0,5.0,304.0,8.0,2.0,5.8134,3.0,49.0,25.0,,,,,,,,,,,,,,,,1.0,,4.0,,,,,9.0,2.0,159.0,60.0,76.0,
160585,Djair Parfitt-Williams,Midfielder,West Ham,21,United States,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154040,George Dobson,Midfielder,West Ham,21,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172567,Josh Cullen,Midfielder,West Ham,21,Ireland,2015-16,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
86934,Manuel Lanzini,Midfielder,West Ham,21,Argentina,2015-16,101.0,3.0,2.8326,0.0,0.0573,16.0,11.0,3.8382,33.0,32.0,2.0,107.0,26.0,2.0,51.0,23.0,122.0,18.0,1093.0,6.0,6.0,10.0,15.0,,4.0,12.0,1.0,1920.0,1.0,11.0,124.0,5.0,34.0,120.0,945.0,,27.4286,31.0,,5.0,30.0,6.0,90.0,314.0,30.0,225.0,16.0,293.0,161.0,26.0,4.0,7.0,2.0,36.0,642.0,25.0,32.0,1.0,6.0,210.0,4.0,0.0,1066.0,21.0,19.0,256.0,26.0,57.0,3.0,1.0,304.0,9.0,24.0,2.0,26.0,182.0,1475.0,6.0,13.0,1.0,10.0,1.0,341.0,3.0,3.0,4.1041,3.0,15.0,29.0,,,,,,,,,,,,,,,,3.0,,5.0,,,,,4.0,,19.0,8.0,8.0,
195859,Marcus Browne,Midfielder,West Ham,21,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18073,Mark Noble,Midfielder,West Ham,21,England,2015-16,171.0,7.0,2.5656,1.0,,7.0,12.0,6.1609,103.0,27.0,2.0,200.0,37.0,4.0,67.0,37.0,264.0,18.0,1923.0,7.0,6.0,5.0,34.0,9.0,4.0,7.0,1.0,3204.0,1.0,17.0,202.0,8.0,54.0,185.0,1507.0,,49.0839,46.0,6.0,19.0,48.0,2.0,154.0,454.0,54.0,373.0,32.0,631.0,236.0,37.0,4.0,29.0,,9.0,934.0,40.0,22.0,,2.0,339.0,17.0,1.0,1858.0,15.0,14.0,385.0,74.0,29.0,12.0,,572.0,36.0,83.0,1.0,152.0,266.0,2468.0,15.0,9.0,1.0,5.0,20.0,732.0,25.0,1.0,3.9458,8.0,64.0,57.0,,,,,,,,,,,,,,,,,,2.0,3.0,,3.0,1.0,7.0,,6.0,,4.0,
111055,Martin Samuelsen,Midfielder,West Ham,21,Norway,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59779,Pedro Obiang,Midfielder,West Ham,21,Equatorial Guinea,2015-16,76.0,1.0,0.7912,0.0,,3.0,1.0,0.0884,42.0,5.0,1.0,78.0,24.0,1.0,7.0,11.0,102.0,3.0,476.0,,,2.0,49.0,2.0,1.0,1.0,,1079.0,,18.0,95.0,4.0,28.0,64.0,347.0,,18.2467,2.0,1.0,21.0,17.0,1.0,58.0,112.0,10.0,171.0,19.0,175.0,80.0,24.0,1.0,11.0,,2.0,184.0,13.0,3.0,,1.0,122.0,31.0,0.0,468.0,4.0,1.0,133.0,31.0,13.0,11.0,,132.0,20.0,36.0,,27.0,57.0,681.0,1.0,4.0,,2.0,10.0,191.0,12.0,,0.2541,2.0,24.0,32.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,
