playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,ownGoalScored,aerialDuelsLost,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,setPiecesGoals,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,cornersTakenInclShortCorners,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,cornersWon,blocks,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,throughBalls,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,lastPlayerTackle,otherGoals,goalAssists,headedGoals,handballsConceded,shotsOnTargetOutsideBox,oboxTarget,redCards2ndYellow,hitWoodwork,foulWonPenalty,secondGoalAssists,penaltiesTaken,penaltyGoals
101537,Felipe Anderson,Midfielder,Lazio,129,Brazil,2019-20,130.0,,2.7782,0.0,,46.0,,169.0,25.0,20.0,190.0,895.0,,,25.0,,,1505.0,139.0,2.0,,48.0,133.0,663.0,,,1.0,28.2275,1.0,10.0,27.0,111.0,331.0,,24.0,0.0,269.0,,224.0,112.0,25.0,,494.0,25.0,244.0,6.0,0.0,,883.0,331.0,32.0,63.0,,,122.0,17.0,22.0,42.0,1302.0,14.0,3.0,220.0,11.0,,1.0,21.0,35.0,5.0,,19.0,6.0,,8.0,8.0,6.0,2.0163,15.0,,23.0,24.0,1.0,2.0,0.0,4.0,5.0,9.0,6.0,6.0,3.0,60.0,,21.0,18.0,1.0,1.0,14.0,,29.0,25.0,59.0,,7.0,12.0,1.0,,1.0,,218.0,13.0,4.0,2.5383,5.0,4.0,4.0,4.0,,,4.0,,1.0,1.0,1.0,,1.0,,,,
86934,Manuel Lanzini,Midfielder,River Plate,608,Argentina,2019-20,81.0,,1.6796,0.0,,14.0,,89.0,24.0,14.0,99.0,756.0,,,21.0,2.0,,1377.0,79.0,4.0,,14.0,73.0,632.0,,,5.0,32.8234,,3.0,30.0,66.0,240.0,,26.0,0.0,160.0,,187.0,81.0,24.0,,444.0,26.0,139.0,6.0,0.0,,727.0,198.0,9.0,33.0,,,154.0,6.0,8.0,25.0,1014.0,8.0,2.0,228.0,2.0,,1.0,10.0,23.0,10.0,,15.0,3.0,0.2909,8.0,7.0,5.0,1.4922,15.0,,14.0,5.0,,4.0,,4.0,33.0,15.0,5.0,5.0,11.0,34.0,1.0,29.0,8.0,,,5.0,,15.0,28.0,31.0,3.0,8.0,6.0,1.0,3.0,19.0,,175.0,2.0,4.0,2.1629,5.0,2.0,4.0,4.0,,,2.0,,2.0,2.0,2.0,,,1.0,,,
18987,Robert Snodgrass,Midfielder,Luton Town,102,Scotland,2019-20,119.0,,3.6612,0.0,,29.0,,98.0,24.0,17.0,111.0,504.0,,,42.0,1.0,,1511.0,94.0,2.0,,28.0,79.0,376.0,,,2.0,32.4073,4.0,11.0,33.0,92.0,64.0,,32.0,0.0,213.0,,152.0,101.0,24.0,,290.0,31.0,171.0,15.0,0.0,,491.0,274.0,16.0,19.0,,,170.0,20.0,4.0,17.0,875.0,10.0,3.0,142.0,13.0,,4.0,13.0,31.0,7.0,,27.0,6.0,,5.0,10.0,3.0,2.9819,16.0,,14.0,38.0,5.0,4.0,1.0,,73.0,39.0,3.0,3.0,25.0,51.0,,28.0,11.0,4.0,,13.0,5.0,17.0,97.0,43.0,,6.0,22.0,1.0,,46.0,,118.0,1.0,,2.5243,3.0,1.0,5.0,5.0,,,5.0,,1.0,2.0,2.0,,1.0,,1.0,,
18073,Mark Noble,Midfielder,West Ham United,21,England,2019-20,121.0,,3.0249,0.0,,52.0,,194.0,33.0,32.0,258.0,1504.0,,,27.0,3.0,,2684.0,123.0,,,37.0,108.0,1135.0,,,3.0,42.4538,5.0,10.0,44.0,109.0,370.0,,31.0,1.0,244.0,,496.0,189.0,33.0,,744.0,44.0,217.0,15.0,0.0,,1412.0,384.0,30.0,25.0,,,445.0,28.0,20.0,111.0,1867.0,13.0,23.0,515.0,16.0,,5.0,64.0,71.0,1.0,,12.0,7.0,,3.0,6.0,6.0,3.4243,14.0,,16.0,13.0,4.0,1.0,2.0,2.0,13.0,13.0,,,2.0,28.0,1.0,41.0,14.0,2.0,4.0,22.0,,10.0,28.0,41.0,,8.0,7.0,6.0,,9.0,,193.0,11.0,2.0,2.9298,4.0,1.0,1.0,1.0,,,3.0,,1.0,2.0,2.0,,,1.0,,3.0,3.0
217593,Pablo Fornals,Midfielder,Real Betis,185,Spain,2019-20,153.0,,1.7681,0.0,,46.0,,152.0,36.0,24.0,179.0,843.0,,,58.0,3.0,,2177.0,87.0,2.0,,66.0,77.0,624.0,,,3.0,37.1317,4.0,8.0,35.0,105.0,253.0,,16.0,0.0,240.0,,237.0,155.0,36.0,,456.0,33.0,182.0,10.0,0.0,,825.0,319.0,28.0,15.0,,,140.0,18.0,25.0,40.0,1228.0,17.0,9.0,218.0,15.0,,3.0,27.0,38.0,12.0,,48.0,5.0,,9.0,11.0,4.0,2.4123,27.0,,31.0,39.0,2.0,7.0,1.0,5.0,19.0,10.0,8.0,8.0,5.0,47.0,,14.0,34.0,1.0,2.0,18.0,,18.0,51.0,44.0,,16.0,13.0,1.0,,10.0,,213.0,4.0,5.0,2.301,6.0,2.0,4.0,4.0,,,5.0,,2.0,1.0,1.0,,,,,,
54102,Jack Wilshere,Midfielder,Bournemouth,91,England,2019-20,18.0,,0.027,0.0,,1.0,,11.0,8.0,2.0,13.0,75.0,,,7.0,,,210.0,16.0,2.0,,4.0,10.0,61.0,,,,3.2432,,,5.0,17.0,23.0,,8.0,0.0,34.0,,17.0,11.0,8.0,,38.0,3.0,27.0,6.0,0.0,,73.0,34.0,,1.0,,,20.0,1.0,1.0,1.0,122.0,2.0,1.0,24.0,1.0,,0.0,2.0,1.0,6.0,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,3.0,,,1.0,,3.0,,12.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
215439,Tomás Soucek,Midfielder,West Ham United U21,12944,Czech Republic,2019-20,69.0,,0.2846,0.0,,29.0,,94.0,13.0,12.0,118.0,394.0,,,111.0,1.0,,1041.0,108.0,2.0,,13.0,37.0,261.0,,,1.0,13.9619,1.0,34.0,18.0,29.0,106.0,,9.0,1.0,177.0,,153.0,48.0,13.0,,143.0,16.0,66.0,71.0,0.0,,389.0,138.0,15.0,,,,94.0,11.0,22.0,15.0,566.0,2.0,12.0,133.0,9.0,,0.0,24.0,29.0,1.0,1.0,40.0,,,4.0,8.0,,2.0066,16.0,,4.0,1.0,3.0,,1.0,2.0,1.0,,5.0,5.0,,36.0,,5.0,6.0,2.0,,14.0,1.0,4.0,2.0,5.0,,8.0,4.0,1.0,,1.0,,41.0,1.0,2.0,2.8396,,,2.0,2.0,,,,2.0,,,,,,,,,
183487,Nathan Holland,Midfielder,Forest Green Rovers,302,England,2019-20,2.0,,0.0067,0.0,,3.0,,2.0,2.0,,2.0,11.0,,,1.0,,,31.0,7.0,,,1.0,7.0,9.0,,,,0.3414,,,1.0,1.0,3.0,,1.0,0.0,9.0,,3.0,1.0,2.0,,8.0,1.0,8.0,,0.0,,11.0,8.0,1.0,3.0,,,2.0,,,,27.0,,,1.0,,,0.0,,,2.0,,1.0,,,,1.0,,0.3148,1.0,,2.0,2.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,2.0,1.0,,,,,,,,3.0,1.0,,0.0234,,,,,,,,,,1.0,1.0,,,,,,
215407,Alfie Lewis,Midfielder,Plymouth Argyle,76,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2019-20,161.0,,1.3795,0.0,,116.0,,155.0,38.0,38.0,242.0,1733.0,,,86.0,7.0,,3420.0,223.0,5.0,1.0,53.0,171.0,1363.0,,,5.0,61.2241,10.0,51.0,62.0,127.0,517.0,,7.0,0.0,384.0,,512.0,312.0,38.0,,765.0,57.0,298.0,52.0,0.0,,1707.0,328.0,60.0,49.0,,,500.0,41.0,77.0,128.0,2263.0,,51.0,737.0,23.0,,6.0,87.0,100.0,,,34.0,11.0,,8.0,9.0,3.0,1.6273,23.0,,8.0,16.0,1.0,2.0,0.0,7.0,,11.0,5.0,5.0,,24.0,,18.0,32.0,1.0,1.0,56.0,,16.0,17.0,37.0,,14.0,9.0,9.0,,,,204.0,4.0,7.0,1.2745,1.0,2.0,1.0,1.0,,,3.0,,2.0,3.0,3.0,,2.0,,,,
