playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,gamesPlayed,setPiecesGoals,successfulFiftyFifty,totalPasses,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,totalShots,unsuccessfulShortPasses,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,duelsWon,penaltiesConceded,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,substituteOn,catches,savesMade,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,successfulLayoffs,unsuccessfulLayoffs,headedGoals,clearancesOffTheLine,otherGoals,hitWoodwork,rightFootGoals,secondGoalAssists,foulWonPenalty,goalKicks,ownGoalScored,penaltiesSaved,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops,penaltiesTaken,penaltyGoals,redCards2ndYellow
195728,Alex Král,Midfielder,West Ham,21,Czech Republic,2021-22,1.0,,,,,,1.0,,,2.0,,,0.0,,,,1.0,,,,,0.4282,,,,,0.0,1.0,1.0,,,,,,2.0,,2.0,,,2.0,,,,,2.0,,,,,,,,0.0,,,2.0,,,2.0,,,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56377,Andrii Yarmolenko,Midfielder,West Ham,21,Ukraine,2021-22,21.0,16.0,1.0,5.0,0.4352,4.0,19.0,,9.0,101.0,1.0,3.0,0.0,,3.0,3.0,8.0,1.0,11.0,,,4.9296,4.0,,1.0,4.0,0.0,5.0,19.0,1.0,5.0,6.0,6.0,,98.0,5.0,42.0,2.0,,28.0,1.0,,2.0,38.0,155.0,,25.0,,3.0,7.0,2.0,0.3075,0.0,,10.0,20.0,,1.0,23.0,6.0,,13.0,,1.0,2.0,304.0,16.0,,6.0,76.0,21.0,,1.0,4.0,13.0,14.0,37.0,2.0,1.0,21.0,1.0,2.0,55.0,3.0,1.0,24.0,5.0,0.0,,3.0,2.0,,1.0,,1.0,1.0,0.7658,1.0,18.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
222017,Conor Coventry,Midfielder,West Ham,21,Ireland,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440120,Dan Chesters,Midfielder,West Ham,21,England,2021-22,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,West Ham,21,England,2021-22,130.0,93.0,7.0,8.0,0.6638,80.0,36.0,,43.0,2153.0,1.0,,1.0,4.0,1.0,1.0,27.0,7.0,141.0,,2.0,45.6869,20.0,3.0,3.0,11.0,1.0,286.0,36.0,,22.0,24.0,42.0,1.0,2143.0,11.0,281.0,42.0,1.0,691.0,28.0,,128.0,238.0,2649.0,7.0,925.0,,46.0,64.0,6.0,1.5348,0.0,0.0614,19.0,134.0,4.0,35.0,180.0,20.0,,69.0,8.0,6.0,6.0,3178.0,183.0,,49.0,1845.0,54.0,,49.0,49.0,103.0,641.0,313.0,24.0,0.0,583.0,6.0,38.0,1054.0,42.0,3.0,244.0,42.0,0.0,14.0,50.0,21.0,63.0,,4.0,16.0,22.0,1.1355,8.0,1.0,,,,,,,1.0,8.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
462384,Jamal Baptiste,Midfielder,West Ham,21,England,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86934,Manuel Lanzini,Midfielder,West Ham,21,Argentina,2021-22,78.0,61.0,3.0,7.0,3.8214,28.0,30.0,,26.0,1202.0,5.0,1.0,4.0,2.0,,,17.0,1.0,71.0,3.0,2.0,26.0554,20.0,3.0,1.0,18.0,1.0,124.0,30.0,1.0,11.0,21.0,27.0,1.0,1149.0,6.0,180.0,15.0,1.0,338.0,11.0,13.0,32.0,291.0,1472.0,6.0,486.0,2.0,7.0,29.0,3.0,2.5021,0.0,0.0558,13.0,90.0,3.0,19.0,97.0,7.0,20.0,22.0,3.0,2.0,7.0,1787.0,76.0,,28.0,1073.0,38.0,,10.0,29.0,61.0,290.0,154.0,16.0,1.0,283.0,2.0,13.0,626.0,28.0,1.0,132.0,5.0,0.0,3.0,25.0,,19.0,12.0,2.0,1.0,6.0,3.6748,2.0,11.0,,,,,,,2.0,11.0,1.0,,,,,4.0,,,,,,,,,,,,,3.0,3.0,
18073,Mark Noble,Midfielder,West Ham,21,England,2021-22,15.0,9.0,,2.0,1.9838,8.0,11.0,,7.0,297.0,1.0,,1.0,,1.0,1.0,1.0,1.0,15.0,,,6.6215,1.0,,,4.0,0.0,38.0,11.0,,1.0,2.0,5.0,,285.0,,44.0,2.0,,90.0,3.0,,11.0,48.0,339.0,1.0,144.0,,13.0,11.0,,0.0645,0.0,,2.0,23.0,,3.0,36.0,1.0,1.0,2.0,,,,327.0,16.0,,5.0,250.0,2.0,,2.0,5.0,14.0,68.0,31.0,3.0,0.0,91.0,,6.0,117.0,4.0,,29.0,1.0,0.0,,3.0,1.0,4.0,2.0,,7.0,2.0,1.5768,0.0,8.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,
180151,Nikola Vlasic,Midfielder,West Ham,21,Croatia,2021-22,48.0,20.0,3.0,3.0,0.7008,11.0,19.0,,10.0,203.0,1.0,3.0,1.0,2.0,,,7.0,2.0,36.0,,,10.7193,9.0,,1.0,16.0,0.0,30.0,19.0,,9.0,14.0,18.0,,202.0,1.0,83.0,7.0,,43.0,8.0,,3.0,72.0,313.0,,58.0,,3.0,16.0,1.0,0.5658,0.0,,4.0,36.0,,6.0,39.0,14.0,,12.0,,2.0,1.0,554.0,41.0,,11.0,161.0,26.0,,1.0,10.0,41.0,50.0,89.0,4.0,0.0,38.0,2.0,4.0,107.0,8.0,1.0,77.0,5.0,0.0,5.0,9.0,,2.0,6.0,2.0,1.0,3.0,1.331,0.0,13.0,,,,,,,,7.0,,,,,,1.0,,,,,,,,,,,,,,,
217593,Pablo Fornals,Midfielder,West Ham,21,Spain,2021-22,174.0,98.0,14.0,12.0,2.7648,54.0,36.0,,49.0,1316.0,6.0,6.0,1.0,4.0,6.0,6.0,30.0,5.0,105.0,8.0,1.0,39.851,45.0,,10.0,28.0,1.0,182.0,36.0,4.0,31.0,70.0,59.0,,1286.0,17.0,472.0,28.0,,221.0,24.0,26.0,69.0,247.0,1814.0,7.0,340.0,1.0,54.0,61.0,9.0,4.5153,0.0,,29.0,234.0,3.0,32.0,288.0,44.0,41.0,53.0,6.0,,17.0,2799.0,128.0,,83.0,959.0,68.0,2.0,14.0,38.0,144.0,404.0,302.0,47.0,5.0,444.0,,26.0,705.0,33.0,10.0,249.0,23.0,0.0,17.0,23.0,2.0,27.0,13.0,4.0,11.0,16.0,4.6391,4.0,4.0,,,,,,,11.0,21.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,
