playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,cleanSheets,unsuccessfulLayoffs,throwInsToOppositionPlayer,successfulLaunches,totalFoulsWon,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,blocks,clearancesOffTheLine,throwInsToOwnPlayer,hitWoodwork,handballsConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,lastPlayerTackle,headedGoals,redCards2ndYellow,foulWonPenalty,penaltiesTaken,otherGoals,penaltyGoals,setPiecesGoals
16149,Antonio Amaya,Defender,Wigan,111,Spain,2009-10,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16045,Ben Watson,Midfielder,Wigan,111,England,2009-10,0.0,5.0,0.0,0.0,18.0,3.0,2.0,4.0,12.0,4.0,2.0,29.0,15.0,4.0,38.0,7.0,220.0,1.0,1.0,0.0,1.0,12.0,4.0,7.0,335.0,2.0,16.0,1.0,14.0,161.0,4.0,4.0,1.0,7.0,5.0,11.0,16.0,0.0,34.0,1.0,18.0,5.0,1.0,5.0,132.0,10.0,22.0,7.0,30.0,2.0,215.0,2.0,73.0,7.0,2.0,1.0,4.0,7.0,7.0,21.0,296.0,2.0,2.0,57.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18737,Charles N'Zogbia,Midfielder,Wigan,111,France,2009-10,0.0,36.0,0.0,7.0,376.0,17.0,22.0,27.0,60.0,49.0,25.0,244.0,52.0,35.0,273.0,66.0,1059.0,5.0,7.0,2.0,1.0,63.0,63.0,44.0,3037.0,44.0,238.0,6.0,219.0,754.0,19.0,107.0,7.0,71.0,32.0,73.0,332.0,2.0,614.0,3.0,157.0,36.0,,16.0,650.0,67.0,132.0,264.0,551.0,19.0,1036.0,40.0,701.0,44.0,95.0,9.0,55.0,44.0,37.0,32.0,2064.0,8.0,11.0,180.0,29.0,41.0,6.0,6.0,8.0,7.0,7.0,64.0,5.0,158.0,22.0,1.0,1.0,41.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
37105,Cho Won-Hee,Midfielder,Wigan,111,South Korea,2009-10,0.0,4.0,0.0,0.0,5.0,,1.0,,4.0,1.0,2.0,8.0,4.0,1.0,8.0,1.0,52.0,,,,3.0,,2.0,,111.0,1.0,6.0,1.0,5.0,41.0,,2.0,1.0,1.0,2.0,9.0,4.0,0.0,11.0,,9.0,4.0,,2.0,25.0,8.0,1.0,4.0,9.0,1.0,52.0,1.0,14.0,2.0,,,,2.0,,3.0,74.0,,,19.0,,4.0,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,Chris Kirkland,Goalkeeper,Wigan,111,England,2009-10,0.0,32.0,0.0,0.0,5.0,,,,,,,15.0,,32.0,429.0,,833.0,,,,,,,,2769.0,,6.0,5.0,6.0,147.0,,,4.0,,22.0,56.0,5.0,0.0,11.0,,360.0,32.0,,,210.0,51.0,,1.0,11.0,,384.0,,448.0,,,,,,,257.0,1117.0,2.0,211.0,194.0,414.0,32.0,,8.0,,,114.0,6.0,,,,,,1.0,,,30.0,30.0,270.0,23.0,4.0,12.0,1.0,88.0,2.0,5.0,263.0,136.0,26.0,57.0,,,,,,,,,
18276,Daniel de Ridder,Midfielder,Wigan,111,Netherlands,2009-10,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,Emmerson Boyce,Defender,Wigan,111,Barbados,2009-10,0.0,24.0,0.0,1.0,72.0,5.0,1.0,6.0,43.0,10.0,3.0,122.0,4.0,23.0,162.0,14.0,740.0,3.0,,2.0,1.0,,67.0,5.0,2036.0,28.0,105.0,5.0,66.0,519.0,,18.0,6.0,6.0,167.0,55.0,44.0,0.0,177.0,1.0,81.0,24.0,1.0,13.0,190.0,50.0,14.0,12.0,110.0,39.0,726.0,3.0,286.0,30.0,8.0,,19.0,41.0,,59.0,1198.0,3.0,39.0,393.0,40.0,42.0,1.0,3.0,,11.0,13.0,15.0,1.0,2.0,4.0,16.0,,83.0,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,,,,,
11911,Gary Caldwell,Defender,Wigan,111,Scotland,2009-10,2.0,16.0,2.0,3.0,56.0,3.0,,3.0,19.0,5.0,2.0,73.0,,16.0,167.0,8.0,648.0,2.0,,1.0,,,59.0,3.0,1347.0,26.0,79.0,3.0,46.0,393.0,,13.0,2.0,5.0,151.0,21.0,30.0,0.0,135.0,1.0,71.0,16.0,,7.0,168.0,18.0,8.0,8.0,76.0,33.0,582.0,2.0,241.0,12.0,5.0,,15.0,20.0,,88.0,918.0,,72.0,316.0,94.0,25.0,,4.0,,,14.0,22.0,,2.0,2.0,12.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,
66583,Hendry Thomas,Midfielder,Wigan,111,Honduras,2009-10,0.0,31.0,1.0,7.0,169.0,1.0,3.0,4.0,142.0,15.0,5.0,169.0,30.0,27.0,232.0,1.0,1184.0,,1.0,,4.0,,77.0,1.0,2338.0,47.0,203.0,6.0,173.0,824.0,,3.0,4.0,11.0,82.0,49.0,122.0,0.0,372.0,,151.0,31.0,,34.0,463.0,43.0,2.0,20.0,295.0,30.0,1160.0,2.0,293.0,108.0,1.0,6.0,62.0,81.0,,128.0,1624.0,9.0,26.0,490.0,63.0,61.0,,3.0,,1.0,3.0,30.0,,,11.0,14.0,,4.0,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
37334,Hugo Rodallega,Forward,Wigan,111,Colombia,2009-10,0.0,38.0,0.0,6.0,280.0,9.0,43.0,51.0,21.0,99.0,16.0,186.0,51.0,38.0,220.0,39.0,879.0,10.0,17.0,4.0,,33.0,133.0,17.0,3322.0,90.0,134.0,8.0,91.0,621.0,7.0,132.0,5.0,57.0,14.0,73.0,190.0,14.0,414.0,6.0,115.0,38.0,4.0,3.0,542.0,65.0,70.0,131.0,281.0,43.0,864.0,38.0,435.0,18.0,32.0,15.0,51.0,40.0,17.0,38.0,1537.0,10.0,17.0,134.0,34.0,41.0,4.0,5.0,14.0,2.0,3.0,38.0,3.0,52.0,48.0,4.0,,13.0,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,1.0,3.0,1.0,1.0,
