matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attOboxOwnGoal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360469,1.0,2011-08-13 15:00:00,39,Wolves,Away,69.0,7.0,3.0,11.0,8.0,,1.0,152.0,8.0,,1.0,15.0,8.0,27.0,210.0,,,22.0,14.0,15.0,7.0,2.0,,,,,,,,,,,11.0,,1.0,,,,1.0,11.0,6.0,,,,60.0,23.0,1.0,1.0,1.0,5.0,1.0,7.0,,6.0,14.0,7.0,,12.0,1.0,44.0,57.0,5.0,12.0,3.0,,1.0,97.0,11.0,13.0,1.0,,3.0,2.0,,134.0,1.0,,1.0,1.0,,,14.0,,,1.0,3.0,,,,,12.0,,8.0,7.0,1.0,1.0,54.0,85.0,39.0,12.0,1.0,8.0,2.0,4.0,,,,6.0,,,46.0,55.0,18.0,,,,,1.0,161.0,148.0,1.0,3.0,9.0,48.0,,,1.0,0.0,,,,50.0,1.0,,,,1.0,,10.0,,3.0,89.0,,10.0,84.0,22.0,25.0,6.0,6.0,29.0,23.0,,143.0,3.0,243.0,3.0,,40.0,9.0,63.0,1.0,298.0,,0.0,15.0,24.0,,29.0,2.0,504.0,,15.0,5.0,6.0,19.0,0.0
360488,2.0,2011-08-21 14:00:00,39,Wolves,Home,167.0,13.0,2.0,9.0,7.0,5.0,1.0,209.0,2.0,2.0,3.0,20.0,19.0,55.0,367.0,,1.0,23.0,17.0,11.0,13.0,1.0,,,,,,,,,,,17.0,,,,1.0,,,8.0,4.0,,,,90.0,49.0,2.0,2.0,1.0,3.0,3.0,3.0,,7.0,9.0,8.0,,11.0,2.0,38.0,39.0,3.0,11.0,3.0,,,96.0,7.0,10.0,1.0,,1.0,1.0,,186.0,,,,,,,5.0,,,1.0,3.0,,,,,9.0,1.0,23.0,17.0,5.0,3.0,107.0,95.0,48.0,8.0,1.0,9.0,5.0,6.0,,,,3.0,1.0,,104.0,57.0,18.0,,,,,,164.0,155.0,3.0,8.0,27.0,53.5,1.0,,2.0,0.0,,,,89.0,3.0,1.0,,,,,11.0,,3.0,115.0,,14.0,189.0,28.0,20.0,8.0,5.0,23.0,18.0,,178.0,12.0,306.0,3.0,2.0,45.0,19.0,91.0,3.0,472.0,,0.0,20.0,10.0,2.0,25.0,2.0,659.0,,16.0,8.0,7.0,8.0,0.0
360489,3.0,2011-08-27 12:05:00,39,Wolves,Away,124.0,15.0,,4.0,4.0,4.0,,194.0,7.0,2.0,2.0,9.0,16.0,30.0,314.0,,,21.0,12.0,9.0,5.0,1.0,,,,,,,,,,,,,,,,,1.0,11.0,7.0,,,,69.0,50.0,,,,4.0,3.0,4.0,,8.0,8.0,4.0,,11.0,1.0,42.0,38.0,4.0,24.0,12.0,,,82.0,11.0,10.0,,,,,,142.0,,,,,,,16.0,,,,,,,,2.0,22.0,,9.0,7.0,2.0,2.0,116.0,84.0,43.0,11.0,,2.0,4.0,2.0,,,,4.0,1.0,,82.0,79.0,15.0,,,,,,176.0,161.0,3.0,20.0,18.0,54.1,,,2.0,0.0,,,,85.0,2.0,1.0,,,,,2.0,,3.0,86.0,,6.0,145.0,36.0,39.0,12.0,8.0,23.0,15.0,,142.0,7.0,290.0,,2.0,32.0,17.0,56.0,1.0,412.0,,0.0,7.0,13.0,,24.0,3.0,617.0,,13.0,6.0,8.0,8.0,0.0
360508,4.0,2011-09-10 15:00:00,39,Wolves,Home,147.0,10.0,2.0,6.0,4.0,4.0,1.0,175.0,2.0,2.0,1.0,10.0,25.0,30.0,316.0,,1.0,22.0,12.0,9.0,3.0,3.0,,,,,,1.0,,,,,7.0,,,,,,1.0,10.0,6.0,,,,77.0,62.0,1.0,1.0,,1.0,,3.0,1.0,4.0,11.0,3.0,,20.0,2.0,47.0,52.0,1.0,17.0,4.0,,,80.0,6.0,12.0,,,2.0,1.0,,140.0,,,,,,,10.0,,,,,,,,,12.0,,22.0,20.0,2.0,1.0,96.0,87.0,42.0,10.0,,3.0,3.0,6.0,,,,5.0,5.0,,87.0,48.0,19.0,,,,,,167.0,157.0,3.0,24.0,30.0,43.4,,,,0.0,,,,81.0,1.0,2.0,,,1.0,,4.0,,3.0,66.0,,6.0,158.0,28.0,27.0,10.0,3.0,18.0,15.0,,113.0,11.0,254.0,1.0,2.0,33.0,26.0,66.0,2.0,394.0,,0.0,10.0,27.0,5.0,26.0,3.0,626.0,,22.0,4.0,4.0,20.0,0.0
360518,5.0,2011-09-17 15:00:00,39,Wolves,Home,87.0,6.0,2.0,10.0,8.0,5.0,1.0,151.0,2.0,1.0,5.0,27.0,4.0,42.0,228.0,,,25.0,15.0,21.0,9.0,1.0,,,1.0,1.0,,,,,,,10.0,,,,,1.0,1.0,9.0,11.0,,,,60.0,33.0,1.0,1.0,,,5.0,4.0,,3.0,14.0,8.0,,12.0,2.0,48.0,47.0,,10.0,6.0,,,90.0,15.0,13.0,,,2.0,1.0,1.0,156.0,,,,,,,7.0,,,,1.0,,,,,10.0,1.0,6.0,4.0,,5.0,49.0,78.0,38.0,8.0,,7.0,3.0,2.0,,,,3.0,,,69.0,45.0,25.0,,,,,,152.0,138.0,4.0,7.0,7.0,50.4,1.0,,1.0,0.0,,,,55.0,2.0,5.0,,,,,8.0,,3.0,86.0,,10.0,104.0,14.0,24.0,5.0,3.0,26.0,23.0,,144.0,16.0,242.0,1.0,1.0,44.0,4.0,69.0,1.0,320.0,,0.0,15.0,10.0,,29.0,2.0,493.0,,6.0,3.0,4.0,9.0,0.0
360521,6.0,2011-09-24 15:00:00,39,Wolves,Away,122.0,7.0,,5.0,5.0,2.0,,191.0,1.0,2.0,4.0,17.0,7.0,34.0,308.0,2.0,,26.0,17.0,17.0,8.0,1.0,,2.0,,4.0,1.0,,,,,,10.0,,,,,,3.0,12.0,5.0,,,,63.0,19.0,1.0,,1.0,3.0,8.0,7.0,,2.0,19.0,4.0,,11.0,3.0,46.0,51.0,3.0,11.0,2.0,,,113.0,9.0,16.0,1.0,,7.0,1.0,4.0,175.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,2.0,4.0,,7.0,6.0,,4.0,81.0,91.0,45.0,7.0,,5.0,5.0,2.0,,,,3.0,1.0,1.0,87.0,45.0,18.0,,,,,,151.0,144.0,,10.0,1.0,52.1,,,2.0,0.0,,,,78.0,3.0,1.0,,,,,7.0,1.0,3.0,106.0,,10.0,137.0,14.0,18.0,8.0,1.0,25.0,24.0,,169.0,5.0,285.0,,2.0,41.0,7.0,70.0,2.0,397.0,2.0,0.0,17.0,14.0,,28.0,4.0,573.0,,10.0,4.0,2.0,11.0,0.0
360538,7.0,2011-10-01 15:00:00,39,Wolves,Home,94.0,6.0,3.0,15.0,12.0,3.0,1.0,171.0,5.0,1.0,5.0,15.0,5.0,23.0,250.0,,2.0,26.0,13.0,13.0,17.0,2.0,,,1.0,1.0,,,,,1.0,,22.0,,,,,,4.0,11.0,2.0,,,,56.0,30.0,1.0,1.0,,2.0,8.0,5.0,,9.0,20.0,13.0,,9.0,1.0,37.0,42.0,2.0,7.0,4.0,,,95.0,8.0,10.0,1.0,,7.0,3.0,1.0,146.0,1.0,,1.0,1.0,,,10.0,,,1.0,2.0,,,,,8.0,1.0,9.0,7.0,1.0,5.0,73.0,75.0,39.0,5.0,,11.0,9.0,7.0,,,,3.0,,,52.0,42.0,26.0,,,,,,145.0,138.0,,10.0,14.0,54.1,,,,0.0,,,,56.0,2.0,1.0,,,,,13.0,,2.0,104.0,,20.0,111.0,11.0,14.0,8.0,9.0,45.0,36.0,,163.0,8.0,265.0,2.0,1.0,32.0,5.0,45.0,2.0,331.0,,0.0,28.0,13.0,2.0,30.0,1.0,525.0,,5.0,6.0,10.0,10.0,0.0
360547,8.0,2011-10-16 12:00:00,39,Wolves,Away,148.0,7.0,5.0,11.0,6.0,2.0,1.0,185.0,5.0,1.0,5.0,17.0,14.0,36.0,322.0,,1.0,23.0,14.0,13.0,10.0,4.0,,,,,,,,,,,12.0,,,,,,2.0,9.0,9.0,,,,66.0,45.0,1.0,2.0,,1.0,6.0,6.0,,11.0,18.0,8.0,,6.0,3.0,43.0,42.0,1.0,16.0,11.0,,,96.0,13.0,14.0,,,4.0,5.0,,159.0,,,,,,,8.0,,,,,,,,1.0,16.0,,9.0,7.0,1.0,5.0,84.0,87.0,44.0,3.0,,3.0,11.0,8.0,,,,5.0,3.0,,80.0,54.0,25.0,,,,,,156.0,140.0,2.0,16.0,14.0,58.0,,,,0.0,,,,92.0,2.0,3.0,,,,,5.0,,3.0,109.0,,14.0,154.0,19.0,32.0,6.0,11.0,42.0,31.0,,165.0,6.0,289.0,,1.0,41.0,14.0,66.0,1.0,401.0,1.0,0.0,19.0,14.0,1.0,24.0,1.0,607.0,,11.0,1.0,11.0,11.0,0.0
360558,9.0,2011-10-22 12:45:00,39,Wolves,Home,109.0,9.0,5.0,12.0,7.0,1.0,1.0,198.0,3.0,1.0,4.0,9.0,12.0,17.0,295.0,1.0,,35.0,2.0,7.0,7.0,3.0,,,1.0,2.0,,,,,,,13.0,,,,,,1.0,7.0,10.0,,,,47.0,40.0,1.0,1.0,2.0,2.0,6.0,6.0,,8.0,24.0,6.0,,12.0,4.0,42.0,31.0,2.0,21.0,8.0,1.0,,73.0,13.0,11.0,1.0,,7.0,3.0,2.0,159.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,,11.0,,12.0,9.0,2.0,4.0,88.0,79.0,37.0,13.0,1.0,4.0,7.0,9.0,,,,4.0,1.0,,74.0,60.0,22.0,,,,,,165.0,157.0,6.0,10.0,16.0,47.6,,,,0.0,,,,90.0,1.0,6.0,,,1.0,,7.0,,3.0,102.0,,11.0,117.0,22.0,29.0,13.0,8.0,41.0,33.0,,156.0,1.0,308.0,,1.0,28.0,13.0,44.0,1.0,384.0,1.0,0.0,22.0,9.0,3.0,37.0,2.0,609.0,,10.0,4.0,8.0,6.0,0.0
360561,10.0,2011-10-29 15:00:00,39,Wolves,Away,197.0,10.0,1.0,3.0,2.0,1.0,1.0,175.0,4.0,,4.0,16.0,11.0,38.0,369.0,,,21.0,14.0,4.0,9.0,1.0,,,,,,1.0,,,,,10.0,1.0,,,,,1.0,8.0,11.0,,,,76.0,32.0,,,1.0,1.0,2.0,6.0,,4.0,10.0,3.0,,9.0,3.0,39.0,37.0,1.0,11.0,3.0,1.0,,87.0,6.0,17.0,,,5.0,1.0,,169.0,,,,,,,12.0,,,,,,,,1.0,11.0,,20.0,12.0,2.0,4.0,108.0,78.0,42.0,5.0,1.0,5.0,5.0,4.0,,,,2.0,,,96.0,32.0,10.0,,,,,1.0,146.0,125.0,2.0,16.0,7.0,49.5,,,,0.0,,,,94.0,,4.0,,,,,7.0,,3.0,80.0,,10.0,210.0,22.0,32.0,8.0,1.0,15.0,14.0,,127.0,4.0,252.0,,,26.0,11.0,50.0,1.0,447.0,,0.0,13.0,13.0,,24.0,1.0,623.0,,9.0,3.0,4.0,12.0,0.0
