matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987601,1,2018-08-11 17:30:00,39,Wolves,Home,222.0,26.0,,5.0,5.0,2.0,,235.0,1.0,,2.0,1.0,8.0,35.0,452.0,,2.0,25.0,24.0,21.0,4.0,,,,1.0,,,1.0,,,1.0,10.0,,,,,2.0,7.0,1.0,3.0,8.0,87.0,55.0,2.0,1.0,1.0,1.0,27.0,2.0,2.0,,,3.0,13.0,9.0,,14.0,1.0,55.0,50.0,1.0,23.0,19.0,,1.0,70.0,8.0,7.0,1.0,,1.0,,1.0,167.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,19.0,,9.0,9.0,,2.0,153.0,71.0,45.0,6.0,1.0,1.0,4.0,4.0,533.0,,2.0,,86.0,82.0,27.0,,,,,162.0,162.0,2.0,28.0,19.0,57.4,,,1.0,,27.0,0.0,140.0,2.0,1.0,3.0,,,5.0,,3.0,104.0,441.0,11.0,5.0,255.0,54.0,23.0,18.0,3.0,25.0,22.0,,147.0,5.0,317.0,1.0,,14.0,8.0,69.0,2.0,547.0,,0.0,11.0,13.0,8.0,31.0,0.0,748.0,13.0,14.0,9.0,3.0,7.0,0.0
987608,2,2018-08-18 15:00:00,39,Wolves,Away,192.0,23.0,,4.0,4.0,,,216.0,5.0,,6.0,4.0,10.0,27.0,404.0,,1.0,25.0,18.0,19.0,8.0,,,,,,,,1.0,,,11.0,,1.0,2.0,,4.0,2.0,5.0,6.0,5.0,71.0,64.0,,1.0,,,21.0,1.0,21.0,,,9.0,13.0,5.0,,14.0,1.0,71.0,56.0,,15.0,10.0,,,61.0,8.0,10.0,,,5.0,4.0,,148.0,,,,,,,7.0,,,,10.0,3.0,11.0,11.0,1.0,6.0,140.0,71.0,49.0,1.0,,7.0,1.0,3.0,482.0,2.0,2.0,1.0,63.0,86.0,44.0,,,,,160.0,160.0,5.0,22.0,30.0,57.2,3.0,,,,21.0,0.0,141.0,1.0,,1.0,,,7.0,1.0,3.0,91.0,390.0,6.0,8.0,210.0,46.0,15.0,20.0,7.0,29.0,22.0,,144.0,6.0,319.0,,,10.0,10.0,54.0,1.0,500.0,,0.0,11.0,18.0,1.0,27.0,1.0,698.0,27.0,10.0,10.0,9.0,9.0,0.0
987621,3,2018-08-25 12:30:00,39,Wolves,Home,90.0,10.0,,5.0,5.0,2.0,,92.0,10.0,,1.0,,3.0,24.0,177.0,,,8.0,13.0,15.0,8.0,,,1.0,,,,,,,,8.0,,,,,8.0,9.0,9.0,7.0,4.0,39.0,51.0,1.0,1.0,1.0,5.0,15.0,3.0,16.0,,,5.0,8.0,1.0,1.0,3.0,2.0,51.0,48.0,5.0,35.0,22.0,,1.0,28.0,13.0,8.0,,3.0,1.0,1.0,,119.0,1.0,,1.0,,1.0,,16.0,,1.0,,22.0,,10.0,10.0,3.0,1.0,45.0,62.0,31.0,9.0,,5.0,4.0,2.0,225.0,6.0,1.0,,30.0,51.0,14.0,,,,,121.0,121.0,2.0,21.0,18.0,28.9,,2.0,,,15.0,0.0,57.0,3.0,2.0,5.0,,1.0,6.0,,2.0,39.0,157.0,6.0,9.0,129.0,25.0,35.0,12.0,4.0,14.0,10.0,1.0,58.0,5.0,145.0,1.0,,9.0,3.0,57.0,4.0,260.0,,0.0,11.0,19.0,,10.0,1.0,433.0,11.0,10.0,6.0,5.0,10.0,0.0
987631,4,2018-09-01 15:00:00,39,Wolves,Away,195.0,28.0,,2.0,2.0,3.0,1.0,221.0,5.0,,4.0,4.0,6.0,39.0,414.0,,,14.0,15.0,24.0,9.0,1.0,,,,,,,,,,13.0,,,,1.0,4.0,8.0,5.0,6.0,9.0,79.0,75.0,2.0,3.0,,3.0,23.0,2.0,9.0,,,4.0,8.0,3.0,,15.0,3.0,56.0,72.0,3.0,19.0,11.0,,1.0,62.0,11.0,10.0,,,1.0,1.0,,176.0,1.0,,1.0,1.0,,,9.0,1.0,,,11.0,,12.0,12.0,4.0,4.0,108.0,82.0,58.0,4.0,,5.0,6.0,6.0,472.0,5.0,3.0,,68.0,85.0,24.0,,,,,137.0,137.0,3.0,28.0,37.0,52.3,,,,,23.0,0.0,132.0,2.0,1.0,3.0,,,7.0,,3.0,88.0,400.0,12.0,12.0,210.0,43.0,19.0,20.0,4.0,16.0,12.0,,122.0,8.0,301.0,,,10.0,6.0,63.0,,495.0,1.0,0.0,15.0,25.0,1.0,19.0,1.0,698.0,16.0,12.0,13.0,4.0,17.0,0.0
987641,5,2018-09-16 13:30:00,39,Wolves,Home,187.0,33.0,1.0,7.0,6.0,2.0,,289.0,4.0,,,1.0,10.0,43.0,469.0,1.0,,23.0,37.0,23.0,19.0,1.0,,,,,,,,,,26.0,,,,,6.0,2.0,5.0,20.0,10.0,94.0,58.0,4.0,5.0,,1.0,20.0,10.0,4.0,,,8.0,14.0,5.0,,13.0,,68.0,51.0,1.0,18.0,15.0,,,76.0,10.0,9.0,1.0,,3.0,,,178.0,1.0,,1.0,1.0,,,6.0,1.0,,,15.0,,9.0,9.0,,,153.0,90.0,61.0,2.0,,10.0,11.0,7.0,546.0,,1.0,,81.0,132.0,39.0,,,,,146.0,146.0,4.0,25.0,26.0,58.9,,,,,20.0,0.0,142.0,1.0,1.0,2.0,1.0,,13.0,2.0,3.0,149.0,452.0,3.0,21.0,211.0,60.0,18.0,10.0,5.0,24.0,19.0,,192.0,4.0,380.0,,,12.0,11.0,78.0,1.0,567.0,1.0,0.0,30.0,13.0,3.0,27.0,2.0,748.0,42.0,8.0,6.0,8.0,7.0,0.0
987650,6,2018-09-22 15:00:00,39,Wolves,Away,147.0,23.0,2.0,3.0,1.0,1.0,,138.0,3.0,,3.0,4.0,10.0,19.0,282.0,2.0,,16.0,17.0,24.0,6.0,2.0,,2.0,,,,,,,,8.0,,,,,9.0,5.0,10.0,5.0,6.0,59.0,77.0,2.0,2.0,,3.0,15.0,,8.0,,,4.0,4.0,,,11.0,2.0,57.0,48.0,3.0,28.0,16.0,,,44.0,17.0,5.0,,,1.0,1.0,,145.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,16.0,,17.0,17.0,4.0,3.0,79.0,64.0,27.0,5.0,1.0,3.0,6.0,8.0,362.0,6.0,1.0,,35.0,77.0,17.0,,,,,136.0,136.0,1.0,44.0,23.0,35.5,,,1.0,,15.0,0.0,96.0,2.0,3.0,5.0,,2.0,3.0,,3.0,72.0,272.0,8.0,9.0,174.0,47.0,28.0,12.0,4.0,9.0,5.0,2.0,113.0,4.0,214.0,,,16.0,10.0,51.0,2.0,379.0,2.0,0.0,11.0,13.0,1.0,20.0,1.0,562.0,22.0,10.0,7.0,4.0,7.0,0.0
987661,7,2018-09-29 15:00:00,39,Wolves,Home,169.0,20.0,1.0,5.0,4.0,,1.0,188.0,2.0,,6.0,5.0,5.0,30.0,352.0,2.0,,20.0,13.0,18.0,7.0,2.0,,,,,,2.0,,,,8.0,,,,1.0,8.0,7.0,10.0,10.0,4.0,71.0,65.0,2.0,,2.0,1.0,20.0,2.0,7.0,,,8.0,4.0,5.0,,20.0,2.0,63.0,54.0,1.0,24.0,11.0,,,51.0,11.0,7.0,,1.0,5.0,2.0,2.0,147.0,2.0,,2.0,2.0,,,5.0,2.0,,,11.0,,11.0,11.0,1.0,6.0,99.0,75.0,51.0,6.0,1.0,6.0,5.0,6.0,408.0,7.0,2.0,,54.0,72.0,24.0,,,,,134.0,134.0,4.0,25.0,24.0,48.8,,,,,20.0,0.0,108.0,3.0,3.0,6.0,,,6.0,,3.0,79.0,339.0,12.0,11.0,191.0,36.0,24.0,22.0,4.0,15.0,11.0,,107.0,5.0,249.0,,,14.0,5.0,53.0,,425.0,2.0,0.0,14.0,19.0,1.0,23.0,3.0,639.0,22.0,13.0,10.0,8.0,8.0,0.0
987664,8,2018-10-06 15:00:00,39,Wolves,Away,107.0,12.0,,1.0,1.0,5.0,,107.0,2.0,,2.0,5.0,3.0,27.0,213.0,,1.0,16.0,17.0,19.0,4.0,,,1.0,,,,,,,1.0,6.0,,1.0,,,7.0,5.0,6.0,4.0,3.0,44.0,68.0,1.0,1.0,,1.0,22.0,,9.0,,,3.0,3.0,2.0,,8.0,2.0,56.0,54.0,1.0,24.0,14.0,,1.0,46.0,13.0,11.0,,,,1.0,,136.0,1.0,,1.0,1.0,,,10.0,1.0,,,14.0,1.0,17.0,17.0,3.0,2.0,61.0,80.0,38.0,6.0,1.0,3.0,2.0,2.0,287.0,1.0,2.0,,33.0,81.0,13.0,,,,,154.0,154.0,2.0,35.0,25.0,32.9,1.0,,,,22.0,0.0,73.0,2.0,2.0,4.0,1.0,1.0,5.0,,3.0,47.0,196.0,11.0,5.0,131.0,35.0,24.0,13.0,2.0,8.0,6.0,1.0,89.0,8.0,191.0,1.0,,19.0,4.0,67.0,1.0,314.0,,0.0,7.0,20.0,1.0,23.0,4.0,502.0,8.0,19.0,4.0,3.0,11.0,0.0
987681,9,2018-10-20 15:00:00,39,Wolves,Home,172.0,21.0,3.0,10.0,7.0,,3.0,163.0,,,3.0,1.0,5.0,33.0,325.0,,,15.0,22.0,21.0,7.0,1.0,,1.0,,1.0,,1.0,,,,6.0,,,,1.0,12.0,5.0,4.0,4.0,6.0,63.0,58.0,,,,,22.0,3.0,9.0,,,8.0,9.0,8.0,,11.0,1.0,69.0,61.0,,13.0,7.0,,,50.0,23.0,13.0,,,5.0,5.0,1.0,133.0,,,,,,,2.0,,,1.0,7.0,,11.0,11.0,,3.0,119.0,65.0,34.0,3.0,,4.0,4.0,1.0,403.0,4.0,2.0,,46.0,77.0,30.0,,,,,138.0,138.0,2.0,24.0,27.0,44.8,,,,,22.0,0.0,105.0,1.0,,1.0,1.0,1.0,6.0,,3.0,77.0,313.0,8.0,8.0,202.0,46.0,13.0,11.0,5.0,27.0,22.0,1.0,114.0,2.0,245.0,,,14.0,5.0,64.0,2.0,420.0,,0.0,10.0,22.0,,17.0,3.0,586.0,20.0,3.0,5.0,8.0,12.0,0.0
987682,10,2018-10-27 15:00:00,39,Wolves,Away,173.0,25.0,1.0,9.0,8.0,1.0,,275.0,4.0,,3.0,5.0,9.0,37.0,439.0,1.0,,27.0,20.0,24.0,17.0,2.0,,,,,,1.0,,,,20.0,,,,,3.0,5.0,2.0,13.0,12.0,73.0,70.0,1.0,1.0,,,24.0,10.0,12.0,,1.0,10.0,21.0,7.0,,10.0,,58.0,57.0,,10.0,5.0,,,73.0,8.0,11.0,,1.0,1.0,,1.0,165.0,,,,,,,6.0,,,1.0,5.0,,19.0,19.0,1.0,3.0,154.0,71.0,47.0,1.0,,7.0,12.0,7.0,501.0,1.0,1.0,,77.0,105.0,44.0,,,,,148.0,148.0,10.0,27.0,28.0,60.1,,,,,24.0,0.0,131.0,,,,,,8.0,,3.0,141.0,421.0,11.0,19.0,187.0,46.0,10.0,21.0,8.0,36.0,28.0,,191.0,3.0,372.0,,,14.0,10.0,69.0,1.0,523.0,1.0,0.0,25.0,11.0,1.0,27.0,0.0,737.0,29.0,15.0,12.0,10.0,5.0,0.0
