matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444471,1.0,2024-08-17 15:00:00,39,Wolves,Away,160.0,16.0,,4.0,4.0,,,151.0,7.0,1.0,1.0,4.0,4.0,20.0,307.0,,,12.0,17.0,13.0,4.0,,,,,1.0,,1.0,,,,,8.0,,,,,8.0,12.0,6.0,6.0,3.0,,74.0,42.0,1.0,1.0,,1.0,7.0,1.0,9.0,,,2.0,5.0,6.0,,10.0,2.0,58.0,57.0,1.0,14.0,8.0,,,,,,,,56.0,14.0,17.0,,,2.0,1.0,1.0,139.0,,,,,,,8.0,,,,1.0,,,,,8.0,,7.0,7.0,,1.0,89.0,48.0,22.0,8.0,,2.0,2.0,3.0,347.0,,,6.0,,,53.0,62.0,16.0,,,,,116.0,116.0,7.0,15.0,14.0,47.0,,,,2.0,13.0,0.0,,,,73.0,2.0,2.0,4.0,,,,5.0,,,5.0,67.0,285.0,7.0,4.0,181.0,27.0,14.0,16.0,2.0,14.0,12.0,,,93.0,4.0,208.0,1.0,1.0,23.0,4.0,49.0,1.0,375.0,,0.0,9.0,19.0,1.0,15.0,2.0,545.0,18.0,16.0,8.0,2.0,12.0,0.0
2444489,2.0,2024-08-25 14:00:00,39,Wolves,Home,163.0,8.0,1.0,1.0,,,,91.0,4.0,2.0,2.0,4.0,6.0,17.0,253.0,,1.0,16.0,5.0,8.0,4.0,2.0,1.0,2.0,,,1.0,1.0,,1.0,,,8.0,,,1.0,2.0,12.0,10.0,4.0,8.0,4.0,,50.0,46.0,4.0,3.0,2.0,1.0,10.0,2.0,9.0,,,5.0,5.0,3.0,,6.0,2.0,41.0,48.0,1.0,19.0,9.0,,,,,,,,34.0,13.0,13.0,1.0,,4.0,,1.0,110.0,2.0,,2.0,1.0,1.0,1.0,4.0,,,1.0,,,,,,9.0,2.0,9.0,9.0,,2.0,83.0,39.0,19.0,5.0,1.0,4.0,4.0,4.0,297.0,,,3.0,1.0,,17.0,50.0,23.0,,,,,111.0,111.0,3.0,28.0,12.0,39.6,1.0,,,,21.0,0.0,,,,77.0,2.0,,2.0,,,2.0,6.0,,,5.0,45.0,232.0,10.0,8.0,184.0,18.0,19.0,16.0,5.0,13.0,8.0,,3.0,72.0,6.0,149.0,,2.0,19.0,6.0,40.0,3.0,320.0,1.0,0.0,12.0,19.0,2.0,19.0,2.0,495.0,25.0,11.0,8.0,5.0,10.0,0.0
2444498,3.0,2024-08-31 15:00:00,39,Wolves,Away,156.0,19.0,1.0,1.0,,,,124.0,7.0,,,7.0,5.0,22.0,279.0,,2.0,12.0,14.0,16.0,7.0,,2.0,,,,,,,,,1.0,9.0,,,,,10.0,13.0,3.0,4.0,7.0,,71.0,47.0,1.0,2.0,,2.0,8.0,2.0,8.0,,,3.0,1.0,1.0,,11.0,2.0,56.0,60.0,2.0,25.0,14.0,,,,,,,,48.0,18.0,13.0,,,6.0,2.0,,132.0,1.0,,,1.0,,,7.0,,,1.0,1.0,,,,,14.0,,10.0,10.0,2.0,,72.0,61.0,33.0,7.0,1.0,4.0,4.0,3.0,330.0,,,6.0,2.0,,49.0,48.0,15.0,,,,,131.0,131.0,5.0,22.0,17.0,48.3,,,1.0,,15.0,0.0,,,,84.0,3.0,1.0,4.0,,,,6.0,,,5.0,61.0,258.0,8.0,8.0,183.0,32.0,25.0,14.0,3.0,7.0,4.0,99875.26,,93.0,1.0,183.0,1.0,,26.0,6.0,50.0,,359.0,,0.0,11.0,23.0,3.0,17.0,4.0,552.0,13.0,21.0,8.0,3.0,14.0,0.0
2444509,4.0,2024-09-15 16:30:00,39,Wolves,Home,191.0,10.0,1.0,5.0,4.0,1.0,,176.0,7.0,1.0,5.0,13.0,13.0,28.0,362.0,1.0,2.0,17.0,13.0,8.0,7.0,,1.0,2.0,,,,,,,,,10.0,,,1.0,,7.0,8.0,6.0,10.0,2.0,,90.0,42.0,2.0,1.0,1.0,2.0,8.0,2.0,12.0,,,4.0,12.0,6.0,,6.0,1.0,55.0,52.0,2.0,18.0,7.0,,,,,,,,50.0,17.0,6.0,,,,,,142.0,1.0,,1.0,1.0,,1.0,8.0,,,1.0,1.0,,,,1.0,7.0,1.0,10.0,10.0,,5.0,90.0,54.0,31.0,7.0,1.0,3.0,5.0,5.0,413.0,,,4.0,1.0,,56.0,56.0,26.0,,,,,119.0,119.0,2.0,20.0,14.0,48.5,1.0,3.0,,,20.0,0.0,,,,111.0,2.0,2.0,4.0,,,2.0,5.0,,,5.0,76.0,347.0,8.0,8.0,213.0,20.0,18.0,23.0,3.0,21.0,18.0,107925.94,3.0,103.0,9.0,241.0,1.0,1.0,33.0,14.0,54.0,3.0,433.0,2.0,0.0,12.0,23.0,4.0,21.0,3.0,620.0,27.0,10.0,15.0,4.0,14.0,0.0
2444510,5.0,2024-09-21 15:00:00,39,Wolves,Away,179.0,12.0,3.0,6.0,3.0,,,168.0,6.0,,6.0,3.0,4.0,21.0,341.0,,,11.0,7.0,10.0,4.0,3.0,5.0,,,,,,,,,,5.0,,,,,8.0,6.0,3.0,8.0,2.0,,72.0,40.0,,,,2.0,9.0,5.0,9.0,1.0,,5.0,4.0,2.0,,7.0,,46.0,51.0,2.0,19.0,9.0,,,,,,,,26.0,16.0,11.0,,,2.0,1.0,,107.0,,,,,,,7.0,,,1.0,,,,,1.0,9.0,,10.0,10.0,,6.0,111.0,43.0,28.0,6.0,1.0,1.0,6.0,4.0,376.0,,,4.0,1.0,,56.0,44.0,17.0,,,,,93.0,93.0,5.0,16.0,11.0,47.0,,3.0,,,14.0,0.0,,,,108.0,1.0,,,,2.0,,1.0,,,4.0,66.0,323.0,9.0,7.0,201.0,21.0,19.0,15.0,4.0,11.0,7.0,99588.17,,84.0,3.0,208.0,,,18.0,4.0,47.0,5.0,398.0,1.0,0.0,10.0,23.0,,12.0,6.0,567.0,19.0,9.0,7.0,5.0,9.0,0.0
2444529,6.0,2024-09-28 17:30:00,39,Wolves,Home,219.0,13.0,,3.0,3.0,1.0,,141.0,6.0,1.0,8.0,4.0,5.0,21.0,357.0,1.0,,14.0,10.0,10.0,6.0,,1.0,1.0,,,,,,1.0,,,6.0,,,,,5.0,8.0,2.0,5.0,3.0,,78.0,49.0,,,1.0,,6.0,2.0,4.0,,,2.0,9.0,4.0,1.0,6.0,1.0,39.0,39.0,,23.0,13.0,,1.0,,,,,,36.0,16.0,8.0,,,1.0,1.0,,124.0,,,,,,,7.0,,,1.0,2.0,,,,1.0,13.0,,9.0,9.0,2.0,8.0,101.0,50.0,31.0,10.0,,3.0,3.0,3.0,406.0,,,1.0,1.0,,70.0,39.0,19.0,1.0,1.0,1.0,,113.0,113.0,4.0,16.0,18.0,44.6,,,,,17.0,0.0,,,,123.0,3.0,1.0,4.0,,,1.0,3.0,,,3.0,63.0,340.0,6.0,6.0,239.0,24.0,23.0,11.0,1.0,15.0,14.0,107308.21,1.0,95.0,4.0,202.0,2.0,1.0,13.0,8.0,41.0,1.0,426.0,2.0,0.0,8.0,14.0,1.0,15.0,2.0,593.0,18.0,19.0,7.0,2.0,11.0,0.0
2444532,7.0,2024-10-05 15:00:00,39,Wolves,Away,155.0,18.0,,4.0,4.0,,,225.0,9.0,,3.0,5.0,9.0,24.0,376.0,1.0,,11.0,22.0,20.0,11.0,,1.0,,,,,,,,,,14.0,,,,2.0,6.0,14.0,5.0,10.0,7.0,,80.0,48.0,1.0,1.0,,2.0,4.0,4.0,5.0,,,3.0,10.0,7.0,1.0,7.0,4.0,52.0,48.0,2.0,22.0,9.0,,1.0,,,,,,59.0,10.0,9.0,1.0,,2.0,,,162.0,3.0,,2.0,3.0,,,10.0,,,3.0,,,,,1.0,9.0,,5.0,5.0,,3.0,110.0,59.0,32.0,10.0,1.0,6.0,8.0,6.0,446.0,,,2.0,,,56.0,85.0,36.0,1.0,1.0,1.0,,147.0,147.0,5.0,21.0,16.0,56.0,,,,,12.0,0.0,,,,126.0,5.0,2.0,7.0,,,,7.0,,,3.0,100.0,351.0,4.0,14.0,186.0,39.0,22.0,11.0,3.0,20.0,17.0,105060.02,,145.0,3.0,312.0,,,28.0,10.0,64.0,1.0,478.0,1.0,0.0,17.0,17.0,,12.0,3.0,645.0,31.0,11.0,2.0,3.0,15.0,0.0
2444549,8.0,2024-10-20 14:00:00,39,Wolves,Home,93.0,4.0,1.0,2.0,1.0,,,52.0,1.0,,4.0,8.0,3.0,20.0,143.0,,1.0,9.0,13.0,14.0,2.0,,,1.0,,,,,,,,1.0,3.0,,,,,5.0,12.0,10.0,2.0,1.0,,37.0,45.0,2.0,1.0,1.0,6.0,17.0,,10.0,,,1.0,2.0,1.0,,10.0,4.0,45.0,48.0,6.0,44.0,21.0,,,,,,,,30.0,8.0,4.0,1.0,,,,,98.0,1.0,,1.0,1.0,,,9.0,,,1.0,2.0,,,,,21.0,,6.0,6.0,,4.0,40.0,57.0,21.0,18.0,,1.0,2.0,2.0,189.0,,,7.0,1.0,,42.0,22.0,4.0,,,,,101.0,101.0,1.0,27.0,3.0,22.4,,3.0,,,23.0,0.0,,,,41.0,2.0,3.0,5.0,,2.0,1.0,1.0,,,4.0,21.0,133.0,17.0,3.0,116.0,6.0,44.0,8.0,1.0,4.0,3.0,,1.0,46.0,4.0,104.0,3.0,,39.0,3.0,71.0,2.0,216.0,,0.0,3.0,26.0,1.0,11.0,4.0,399.0,4.0,7.0,4.0,1.0,13.0,0.0
2444553,9.0,2024-10-26 15:00:00,39,Wolves,Away,219.0,21.0,4.0,5.0,1.0,,,147.0,5.0,2.0,7.0,2.0,1.0,26.0,361.0,1.0,,15.0,11.0,15.0,7.0,4.0,5.0,3.0,,,,,,,,,6.0,,,,2.0,6.0,13.0,6.0,14.0,,,70.0,55.0,1.0,1.0,,,10.0,5.0,11.0,,,6.0,9.0,3.0,,8.0,1.0,49.0,63.0,,30.0,12.0,2.0,1.0,,,,,,43.0,10.0,12.0,1.0,,2.0,1.0,,130.0,1.0,,,1.0,,1.0,9.0,,,1.0,1.0,,,,,12.0,,9.0,9.0,,7.0,126.0,58.0,34.0,9.0,1.0,2.0,10.0,7.0,411.0,,,8.0,,,65.0,42.0,27.0,,,,,121.0,121.0,2.0,28.0,16.0,48.9,,,1.0,,22.0,0.0,,,,112.0,1.0,3.0,4.0,,1.0,3.0,2.0,1.0,,5.0,53.0,341.0,10.0,12.0,251.0,30.0,30.0,21.0,6.0,19.0,13.0,,4.0,80.0,1.0,206.0,1.0,2.0,17.0,2.0,59.0,1.0,438.0,2.0,0.0,14.0,24.0,,15.0,3.0,643.0,31.0,12.0,12.0,6.0,12.0,0.0
2444569,10.0,2024-11-02 17:30:00,39,Wolves,Home,237.0,15.0,,2.0,2.0,2.0,,154.0,6.0,,8.0,4.0,10.0,32.0,389.0,,,24.0,15.0,13.0,7.0,,1.0,2.0,,,,,,,,3.0,10.0,,,,,3.0,17.0,2.0,7.0,4.0,,87.0,50.0,4.0,2.0,2.0,3.0,7.0,1.0,9.0,,,3.0,5.0,4.0,,9.0,,44.0,60.0,3.0,21.0,7.0,,1.0,,,,,,48.0,7.0,8.0,1.0,,,,,152.0,2.0,,2.0,2.0,,1.0,8.0,,,2.0,1.0,,,,,7.0,,13.0,13.0,5.0,8.0,123.0,73.0,47.0,6.0,1.0,3.0,6.0,6.0,462.0,,,5.0,1.0,,51.0,63.0,27.0,,,,,146.0,146.0,,21.0,20.0,56.8,,2.0,1.0,,20.0,0.0,,,,122.0,5.0,,4.0,,1.0,2.0,4.0,,,3.0,56.0,374.0,7.0,10.0,272.0,25.0,21.0,19.0,3.0,12.0,9.0,,3.0,87.0,7.0,224.0,1.0,,23.0,11.0,64.0,4.0,484.0,1.0,0.0,11.0,25.0,2.0,26.0,1.0,694.0,20.0,20.0,14.0,3.0,10.0,0.0
