season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,98427,101982,Sam Johnstone,sam-johnstone,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,False,1.0,,2.0,14.0,24.0,38.0,,,,6.0,,,,,,,,3.0,4.0,,,0.00914719,,,3.0,0.0,,,,,1.0,,,0.47,5.42,1.32,0.08,3.25,90.0,,,,,,,,6.0,,,6.0,,,,,,1.0,,1.0,,2.0,,17.0,25.0,42.0,,,0,3.0,55.0,,1.0,,2.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,,5.0,2.0,16.0,18.0,,,,6.0,,,,,,,,,,,,0.00030557,,,,0.0,,-1.7321,1.0,,,,,0.01,0.75,0.05,0.0,3.36,90.0,,,,,,,,5.0,,,5.8,,,,,,1.0,,,,10.0,,7.0,16.0,23.0,,,0,,28.0,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,786186,184754,Hwang Hee-chan,hwang-hee-chan,F,True,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,0.0163626,,,1.0,0.0,,,,,,1.0,,0.13,0.75,0.2,0.11,0.5,8.0,,,,,,,,,,,6.6,,,,,,,,,,,,1.0,,1.0,,,0,1.0,4.0,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,844096,,Jhon Arias,jhon-arias,M,True,,,,4.0,2.0,6.0,,,,2.0,,,,1.0,,,1.0,3.0,,,,0.0167759,,,1.0,0.0,,,,,1.0,1.0,,0.13,1.15,0.38,0.12,0.78,17.0,,,,,,,,4.0,,,6.3,,,,,,,,2.0,,,,4.0,3.0,7.0,,,0,,12.0,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,845273,231057,Jean-Ricner Bellegarde,jean-ricner-bellegarde,M,False,,,1.0,14.0,8.0,22.0,1.0,,,,,,,,,,3.0,6.0,4.0,,,0.0283576,0.02,,1.0,0.0,,,,,1.0,1.0,,0.54,4.28,1.69,0.13,2.36,73.0,,,,,,,,9.0,,,6.9,,,1.0,,,,1.0,3.0,,1.0,,15.0,8.0,23.0,,,1,2.0,39.0,,2.0,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,846308,231480,Santiago Bueno,santiago-bueno,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,870038,429414,Saša Kalajdžić,sasa-kalajdzic,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,876599,247412,Jørgen Strand Larsen,jorgen-strand-larsen,F,False,,,,8.0,4.0,12.0,1.0,2.0,,1.0,,,1.0,,,,1.0,5.0,4.0,,,0.00786352,0.3826,0.5701,3.0,0.0,,,,,,,,0.44,4.43,0.99,0.24,2.62,82.0,2.0,1.0,,,,,,8.0,,,6.6,,,1.0,,,2.0,,,,,1.0,13.0,4.0,17.0,,,4,1.0,30.0,2.0,1.0,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,894733,433312,Marshall Munetsi,marshall-munetsi,M,False,1.0,,,3.0,5.0,8.0,2.0,1.0,,4.0,,,1.0,2.0,,,1.0,5.0,5.0,,,0.0238166,0.0538,,,0.0,,,,,,,,0.75,5.76,1.99,0.39,2.82,90.0,,,,,,,,8.0,,,6.7,,,,,,,2.0,2.0,,1.0,3.0,7.0,5.0,12.0,,,1,2.0,25.0,1.0,,2.0,2.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,False,2.0,,1.0,10.0,1.0,11.0,1.0,,,2.0,,,,1.0,,,2.0,5.0,2.0,,,0.136295,,,,0.0,,,,,1.0,1.0,,0.46,4.11,1.06,0.21,2.3,73.0,,,,,,,,20.0,,,6.5,,,,,,4.0,1.0,5.0,,5.0,,18.0,4.0,22.0,,,0,2.0,51.0,1.0,,,2.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,False,,,2.0,12.0,38.0,50.0,1.0,,,4.0,,,,1.0,,,1.0,3.0,4.0,,,0.00481397,,,,0.0,,,,,,1.0,,0.32,5.02,0.98,0.12,3.11,90.0,,,,,,,,9.0,,,6.1,,,,,,2.0,1.0,1.0,,5.0,,16.0,41.0,57.0,,,0,2.0,67.0,,1.0,1.0,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1006073,483081,Rodrigo Gomes,gomes-rodrigo,M,True,,,,4.0,1.0,5.0,,,,,,,,,,,1.0,2.0,1.0,,,0.00106652,,,,0.0,,,,,,,,0.29,1.17,0.34,0.13,0.81,17.0,,,,,,,,6.0,,,6.1,,,,,,,1.0,1.0,,1.0,,5.0,2.0,7.0,,,0,1.0,16.0,,,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1013842,516939,Emmanuel Agbadou,emmanuel-agbadou,D,False,,,7.0,16.0,35.0,51.0,3.0,,,2.0,,,,,,,1.0,4.0,2.0,1.0,,0.00637962,0.0185,,,0.0,,,,,,,,0.28,4.41,0.89,0.09,3.09,90.0,,1.0,,,,,,12.0,,,5.4,,,1.0,,,4.0,,,,15.0,,25.0,36.0,61.0,,,1,2.0,71.0,1.0,,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1013928,490721,Hugo Bueno,hugo-bueno,M,True,,,,5.0,3.0,8.0,,,,2.0,,,,,,,,1.0,1.0,,,0.00941957,,,,0.0,,,,,,1.0,,0.18,1.08,0.36,0.06,0.86,18.0,,,,,,,,6.0,,,6.4,,,,,,1.0,2.0,2.0,,,,6.0,4.0,10.0,,,0,,20.0,1.0,,1.0,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1014835,501837,Yerson Mosquera,yerson-mosquera,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1015267,448089,João Gomes,joao-gomes,M,False,,,3.0,27.0,25.0,52.0,,1.0,,2.0,,,,5.0,,,1.0,9.0,7.0,,,0.0378374,,,3.0,0.0,,,,,1.0,1.0,,0.64,4.93,1.79,0.21,2.9,90.0,,1.0,,,,,,7.0,,,6.6,,,,,,1.0,1.0,,,3.0,,31.0,26.0,57.0,,,0,4.0,70.0,1.0,1.0,1.0,4.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1031283,497949,David Møller Wolfe,david-moller-wolfe,D,False,,,1.0,7.0,4.0,11.0,,1.0,,2.0,,,,,,,1.0,1.0,2.0,,,0.00306099,,,,0.0,,,,,,,,0.63,3.8,1.13,0.33,2.22,72.0,,,,,,,,16.0,,,6.3,,,,,,3.0,,3.0,,3.0,,11.0,9.0,20.0,,,0,1.0,36.0,1.0,,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1035996,509291,André,andre,M,False,,,2.0,11.0,18.0,29.0,1.0,,,8.0,,,,3.0,,,1.0,6.0,5.0,,,0.00677278,,,1.0,0.0,,,,,1.0,,,0.27,4.23,0.93,0.14,2.34,72.0,,1.0,,,,,,2.0,,,6.6,,,,,,1.0,,,,2.0,,11.0,19.0,30.0,,,0,4.0,42.0,,1.0,,1.0
2025-26,14025050,1,39,Wolverhampton_Wanderers,Home,1526628,,Fer López,fer-lopez,M,True,,,,3.0,1.0,4.0,,,,,,,1.0,1.0,,,,1.0,,,,0.0169778,0.084,0.1662,,0.0,,,,,,,,0.27,1.44,0.51,0.04,0.8,18.0,1.0,,,,,,,2.0,,,6.5,,,,,,,,,,,,3.0,2.0,5.0,,,2,,10.0,1.0,,,
2025-26,14025062,2,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025062,2,39,Wolverhampton_Wanderers,Away,143047,87835,Matt Doherty,matt-doherty,D,False,,,3.0,11.0,15.0,26.0,2.0,5.0,,2.0,,,,1.0,,,1.0,7.0,9.0,,,0.0170787,,,3.0,0.0,,,,,1.0,,,,,,,,90.0,,1.0,,,,,,8.0,,,6.8,,,,,,4.0,,1.0,,4.0,,13.0,18.0,31.0,,,0,3.0,53.0,1.0,1.0,,1.0
2025-26,14025062,2,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,1.0,8.0,7.0,9.0,16.0,,1.0,,12.0,,,,,,,,,1.0,,,0.0342157,,,,0.0,,-0.0703,2.0,,,1.0,,,,,,,90.0,,,,,,,,15.0,,1.0,6.9,1.0,3.0,,,,1.0,,,1.0,22.0,,20.0,10.0,30.0,,,0,,42.0,,,,
2025-26,14025062,2,39,Wolverhampton_Wanderers,Away,786186,184754,Hwang Hee-chan,hwang-hee-chan,F,True,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,2.352e-05,,,1.0,0.0,,,,,,,,,,,,,12.0,,,,,,,,6.0,,,6.2,,,,,,,1.0,2.0,,1.0,1.0,3.0,1.0,4.0,,,0,,8.0,,,,
