season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,1.0,9.0,7.0,15.0,22.0,,,6.0,,,,,,,,,1.0,,,0.00239398,,,,0.0,,-0.2967,1.0,,,,,90.0,,,,,,,17.0,2.0,7.1,2.0,4.0,,,3.0,1.0,,1.0,26.0,,21.0,18.0,39.0,0,,50.0,,,1.0,
2024-25,12436904,2,39,Wolverhampton_Wanderers,Home,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436904,2,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,2.0,6.0,6.0,11.0,17.0,,,4.0,,,,,,,,,1.0,,,0.0069344,,,,0.0,,-2.7647,,,,1.0,,90.0,,,,,,,11.0,,5.9,2.0,2.0,,,1.0,,,2.0,17.0,,14.0,14.0,28.0,0,,37.0,,1.0,,
2024-25,12436926,3,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,False,,,6.0,4.0,12.0,16.0,,,4.0,,,,,,1.0,,,,,,0.00049009,,,,0.0,,0.7287,1.0,,,,,90.0,,,,,,,16.0,,6.9,3.0,4.0,,,,,,,21.0,,17.0,15.0,32.0,0,,37.0,,,,
2024-25,12436926,3,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436954,4,39,Wolverhampton_Wanderers,Home,98427,101982,Sam Johnstone,sam-johnstone,G,False,,1.0,15.0,9.0,19.0,28.0,,1.0,7.0,,,,,,,,,1.0,,,0.00153466,,,,0.0,,-0.2585,1.0,,,1.0,,90.0,,,,,,,14.0,,7.0,2.0,4.0,,,,,,1.0,27.0,,17.0,25.0,42.0,0,,52.0,,,,
2024-25,12436954,4,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436957,5,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,False,,,4.0,4.0,16.0,20.0,,,9.0,,,,,,,,,,,,0.00255471,,,,0.0,,-1.2391,,,,,,90.0,,,,,,,10.0,,6.0,,,,,1.0,,,,14.0,,12.0,18.0,30.0,0,,37.0,,,,
2024-25,12436957,5,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437002,6,39,Wolverhampton_Wanderers,Home,98427,101982,Sam Johnstone,sam-johnstone,G,False,,1.0,7.0,3.0,23.0,26.0,,2.0,11.0,,,,,,,,,2.0,,,0.00076067,,,,0.0,,-0.477,2.0,,,,,90.0,,,,,1.0,,8.0,,7.4,3.0,4.0,,,3.0,,,1.0,13.0,,9.0,25.0,34.0,0,,51.0,,,,
2024-25,12437002,6,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437008,7,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,False,,,10.0,5.0,19.0,24.0,,,8.0,,,,,,,,,,,,0.00123719,,,,0.0,,-0.1835,,,,,,90.0,,,,,1.0,,22.0,,7.2,5.0,7.0,,,1.0,,,,30.0,,19.0,26.0,45.0,0,,57.0,,,,
2024-25,12437008,7,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437039,8,39,Wolverhampton_Wanderers,Home,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437039,8,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,,7.0,7.0,1.0,8.0,,,14.0,,,,,,,,,1.0,,,0.00084888,,,,0.0,,-0.1871,2.0,,,,,90.0,,,,,,,28.0,,7.1,2.0,5.0,,,,,,,35.0,,35.0,1.0,36.0,0,,49.0,,1.0,,
2024-25,12437044,9,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437044,9,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,2.0,2.0,1.0,10.0,11.0,,,9.0,,,,,,,,,,1.0,,0.00014618,,,,0.0,,-0.5214,1.0,,,,,90.0,,,,,,,11.0,,6.2,1.0,4.0,,,1.0,,,2.0,13.0,,9.0,13.0,22.0,0,,35.0,,,,
2024-25,12437060,10,39,Wolverhampton_Wanderers,Home,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437060,10,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,,6.0,5.0,16.0,21.0,,,12.0,,,,,,1.0,,,1.0,,,0.00067797,,,,0.0,,0.871,1.0,,,,,90.0,,,,,,,10.0,,7.0,4.0,4.0,,,,,,,16.0,,13.0,18.0,31.0,0,,45.0,,1.0,,
2024-25,12436485,11,39,Wolverhampton_Wanderers,Home,98427,101982,Sam Johnstone,sam-johnstone,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436485,11,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,,2.0,2.0,8.0,10.0,,,6.0,,,,,,,,,,,,0.00056188,,,,0.0,,-0.4811,,,,,,90.0,,,,,,,13.0,,6.5,,,,,,,,,15.0,,14.0,9.0,23.0,0,,29.0,,,,
2024-25,12436490,12,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436490,12,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,1.0,4.0,4.0,8.0,12.0,,1.0,5.0,,,,,,,,,2.0,,,0.0039141,,,,0.0,,-0.2563,1.0,,,,,90.0,,,,,,,7.0,1.0,6.7,,2.0,,,2.0,1.0,,1.0,11.0,,10.0,9.0,19.0,0,,27.0,,,1.0,
2024-25,12436922,13,39,Wolverhampton_Wanderers,Home,98427,101982,Sam Johnstone,sam-johnstone,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436922,13,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,2.0,2.0,1.0,19.0,20.0,,,10.0,,,,,,,,2.0,,,,0.00022887,,,2.0,0.0,,-0.673,1.0,,,,,90.0,,,,2.0,3.0,,7.0,,6.3,3.0,4.0,,,,,,2.0,8.0,,6.0,20.0,26.0,0,,35.0,1.0,,,
2024-25,12436947,14,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436947,14,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436947,14,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,,2.0,2.0,10.0,12.0,,1.0,6.0,,,,,,1.0,,,2.0,,,0.0004214,,,,0.0,,-3.1747,,,,,,90.0,,,,,,,12.0,,5.4,2.0,2.0,,,,1.0,,,14.0,,12.0,12.0,24.0,0,,34.0,,1.0,1.0,
2024-25,12436454,15,39,Wolverhampton_Wanderers,Away,98427,101982,Sam Johnstone,sam-johnstone,G,False,,1.0,13.0,11.0,11.0,22.0,,,6.0,,,,,,,,,,,,0.00283671,,,,0.0,,-1.5558,1.0,,,,,90.0,,,,,,,15.0,1.0,6.7,2.0,2.0,,,2.0,,,1.0,28.0,,24.0,13.0,37.0,0,,44.0,,,,
2024-25,12436454,15,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
