playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,tacklesLost,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,secondGoalAssists,redCards2ndYellow,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,setPiecesGoals,unsuccessfulLayoffs,ownGoalScored,penaltiesTaken,penaltyGoals
38533,Rui Patrício,Goalkeeper,Roma,Portugal,2019-20,3.0,2.0,0.0186,0.0,19.0,27.0,4.0,38.0,38.0,293.0,734.0,7.0,11.0,13.0,3.0,3420.0,1.0,14.0,3.0,3.0,4.0,160.0,2.0,5.0,1.0,36.5026,63.0,10.0,40.0,2.0,100.0,91.0,6.0,17.0,2.0,2.0,572.0,305.0,38.0,1.0,117.0,37.0,6.0,10.0,0.0,297.0,321.0,297.0,113.0,25.0,62.0,2.0,281.0,1000.0,115.0,324.0,63.0,0.0,289.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19236,John Ruddy,Goalkeeper,Newcastle United,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Wolverhampton Wanderers,Ireland,2019-20,169.0,,2.062,0.0,,,319.0,36.0,32.0,371.0,1476.0,,230.0,12.0,,2840.0,97.0,234.0,2.0,71.0,101.0,1058.0,,,1.0,28.1395,6.0,46.0,31.0,72.0,83.0,,18.0,403.0,30.0,,583.0,160.0,36.0,,636.0,29.0,173.0,133.0,0.0,,1473.0,552.0,,,521.0,40.0,47.0,2268.0,25.0,476.0,,1.0,52.0,110.0,7.0,9.0,16.0,6.1921,56.0,26.0,1.0,3.0,2.0,1.0,38.0,4.0,3.0,1.0,4.0,7.0,12.0,12.0,1.0,93.0,50.0,18.0,8.0,26.0,3.0,20.0,1.0,38.0,8.0,10.0,21.0,30.0,28.0,4.0,28.0,289.0,280.0,6.0,1.0,1.0,12.0,4.0,6.9168,,,,,,,,,,,,,,,,,
41727,Ryan Bennett,Defender,Cambridge United,England,2019-20,38.0,,0.2709,0.0,,,49.0,16.0,10.0,91.0,434.0,,52.0,2.0,,936.0,24.0,38.0,1.0,12.0,10.0,320.0,,,1.0,7.7547,5.0,36.0,17.0,14.0,43.0,,1.0,76.0,8.0,,214.0,54.0,16.0,,134.0,16.0,24.0,28.0,0.0,,432.0,116.0,,,144.0,16.0,23.0,574.0,21.0,211.0,,2.0,42.0,37.0,2.0,,,,9.0,1.0,,,,,4.0,,,,6.0,2.0,,,,7.0,16.0,2.0,,3.0,,,,4.0,,1.0,1.0,6.0,,9.0,7.0,33.0,17.0,4.0,,,3.0,,0.0536,1.0,,,,,,,,,,,,,,,,
90585,Willy Boly,Defender,Nottingham Forest,Cote d’Ivoire,2019-20,75.0,,0.484,1.0,,,111.0,22.0,22.0,188.0,984.0,,116.0,12.0,,1979.0,29.0,160.0,2.0,29.0,73.0,757.0,,,1.0,18.0067,11.0,103.0,15.0,46.0,185.0,,8.0,235.0,17.0,,463.0,117.0,22.0,,242.0,13.0,119.0,87.0,0.0,,973.0,210.0,,,292.0,39.0,39.0,1298.0,30.0,554.0,,1.0,77.0,74.0,,2.0,3.0,0.375,57.0,3.0,,1.0,1.0,,2.0,,1.0,,,,3.0,3.0,,21.0,,6.0,2.0,24.0,,2.0,,2.0,2.0,,,33.0,9.0,11.0,24.0,44.0,2.0,,,,10.0,2.0,0.4326,,1.0,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Charlton Athletic,England,2019-20,56.0,,0.5985,0.0,,,104.0,38.0,38.0,277.0,1849.0,,57.0,13.0,,3420.0,24.0,80.0,3.0,16.0,47.0,1286.0,,,1.0,36.5026,20.0,117.0,40.0,32.0,592.0,,7.0,136.0,7.0,,624.0,245.0,38.0,,376.0,37.0,79.0,33.0,0.0,,1808.0,282.0,,,577.0,28.0,286.0,2103.0,40.0,1196.0,,5.0,173.0,114.0,,,,,36.0,,4.0,,,,,,,,,,,,1.0,,,5.0,,13.0,,1.0,,,,,,23.0,4.0,15.0,17.0,56.0,1.0,,,,13.0,1.0,,,,,,,,,,,,,,,,,,
114128,Jonny,Defender,Alavés,Spain,2019-20,211.0,,1.2978,0.0,,,172.0,35.0,33.0,203.0,1087.0,,86.0,9.0,,2890.0,51.0,186.0,3.0,69.0,151.0,864.0,,,1.0,31.9465,3.0,29.0,35.0,160.0,351.0,,28.0,397.0,35.0,,359.0,158.0,35.0,,564.0,32.0,311.0,35.0,0.0,,1085.0,419.0,,,72.0,53.0,20.0,1978.0,18.0,329.0,,4.0,31.0,85.0,9.0,7.0,5.0,1.8964,91.0,11.0,1.0,2.0,5.0,1.0,45.0,2.0,2.0,4.0,2.0,9.0,2.0,2.0,,62.0,23.0,21.0,3.0,36.0,,39.0,,45.0,3.0,6.0,13.0,55.0,32.0,10.0,34.0,305.0,284.0,6.0,,4.0,18.0,1.0,1.5533,2.0,,1.0,1.0,2.0,,,,,,,,,,,,
216054,Rúben Vinagre,Defender,Legia Warsaw,Portugal,2019-20,58.0,,0.5972,0.0,,,32.0,16.0,6.0,56.0,242.0,,17.0,1.0,,646.0,10.0,58.0,,23.0,51.0,180.0,,,,5.6583,4.0,15.0,6.0,48.0,62.0,,8.0,116.0,5.0,,83.0,45.0,16.0,,112.0,6.0,99.0,7.0,0.0,,241.0,141.0,,,10.0,11.0,6.0,506.0,17.0,83.0,,1.0,24.0,30.0,9.0,1.0,,,23.0,4.0,,,,,21.0,,,,10.0,9.0,,,,15.0,9.0,4.0,1.0,10.0,,23.0,,21.0,1.0,4.0,5.0,13.0,20.0,2.0,7.0,87.0,60.0,2.0,,,3.0,,0.3181,,,,,,,,,,,,,,,,,
214048,Maximilian Kilman,Defender,West Ham United,England,2019-20,11.0,,0.0074,0.0,,,14.0,3.0,2.0,23.0,101.0,,22.0,,,184.0,10.0,17.0,,,5.0,76.0,,,,2.5359,,7.0,2.0,1.0,30.0,,,28.0,,,54.0,9.0,3.0,,27.0,2.0,6.0,12.0,0.0,,100.0,25.0,,,10.0,4.0,2.0,121.0,4.0,51.0,,0.0,9.0,14.0,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,2.0,1.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
179456,Oskar Buur,Defender,FC Volendam,Denmark,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
