playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,setPiecesGoals,foulWonPenalty,leftFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,throwInsToOppositionPlayer,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,penaltiesTaken,penaltyGoals,penaltiesFaced,drops,penaltiesSaved,savesFromPenalty,overruns,awayGoals,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,secondGoalAssists,otherGoals,lastPlayerTackle,goalKicks
48844,David Ospina,Goalkeeper,Arsenal,3,Colombia,2015-16,,,0.0089,0.0,,,,,,,,4.0,,,4.0,49.0,,110.0,,,,,,,2.0,,,,360.0,,,,1.0,1.0,,1.0,26.0,,4.2576,,6.0,1.0,5.0,,,11.0,1.0,1.0,,93.0,49.0,4.0,,,,,25.0,4.0,,,1.0,,0.0,39.0,,,49.0,,,,6.0,,,,,35.0,,151.0,,,,,26.0,36.0,,,,0.0,49.0,6.0,,,,,,,,,,,33.0,1.0,3.0,17.0,2.0,9.0,1.0,2.0,12.0,8.0,8.0,,,,,,,,,,,,,,,,,,
113534,Matt Macey,Goalkeeper,Arsenal,3,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Arsenal,3,Czech Republic,2015-16,2.0,,,0.0,,,,,,,1.0,34.0,,,34.0,350.0,,853.0,,,,,,6.0,16.0,,,,3060.0,,,,12.0,10.0,,6.0,224.0,,,1.0,127.0,33.0,31.0,,2.0,111.0,5.0,14.0,,690.0,316.0,34.0,,,,,232.0,21.0,,,8.0,6.0,0.0,410.0,,,361.0,,2.0,,52.0,,1.0,,,279.0,,1230.0,,,,,186.0,271.0,,,,0.0,349.0,34.0,,,,,,,,,,,313.0,19.0,39.0,101.0,9.0,46.0,3.0,10.0,110.0,36.0,53.0,,,,1.0,3.0,,,,,,,,,,,,,
15885,Adam Federici,Goalkeeper,Bournemouth,91,Australia,2015-16,2.0,,0.002,0.0,,,,,,,,6.0,,,6.0,31.0,,108.0,,,,,,,,,,,495.0,,,,,,,,41.0,,11.5537,,11.0,5.0,15.0,,2.0,17.0,,2.0,,76.0,36.0,6.0,,,,,20.0,15.0,,,2.0,,0.0,66.0,,,32.0,,,,15.0,,,,,36.0,,152.0,,1.0,,,15.0,57.0,,,,0.0,31.0,8.0,,,,,,,,,,,42.0,4.0,3.0,13.0,,4.0,1.0,2.0,11.0,4.0,9.0,,,,1.0,,,,,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Bournemouth,91,Poland,2015-16,2.0,,0.0199,0.0,,,,1.0,,,4.0,32.0,,,32.0,342.0,,743.0,,,,,,3.0,7.0,,,,2880.0,,,,6.0,7.0,1.0,3.0,235.0,,45.5832,1.0,72.0,17.0,51.0,,2.0,69.0,1.0,8.0,,553.0,261.0,32.0,,,1.0,,103.0,44.0,,,5.0,3.0,0.0,328.0,,,354.0,,1.0,,121.0,1.0,,,,166.0,,1072.0,,,,,179.0,298.0,1.0,,,2.0,338.0,83.0,,,,,,,,,1.0,,304.0,8.0,47.0,77.0,2.0,20.0,,8.0,132.0,19.0,54.0,,,,5.0,7.0,2.0,2.0,,,,,,,,,,,
200369,Jordan Holmes,Goalkeeper,Bournemouth,91,Australia,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61302,Ryan Allsop,Goalkeeper,Bournemouth,91,England,2015-16,,,0.0001,0.0,,,,,,,,1.0,,,,1.0,,8.0,,,,1.0,,,,,,,45.0,,,,,,,,6.0,,0.0438,,,,1.0,,,1.0,,,,3.0,5.0,1.0,,,,,1.0,1.0,,,,,0.0,6.0,,,1.0,,,,4.0,,,,,1.0,,11.0,,,,,1.0,6.0,,,,0.0,1.0,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Chelsea,8,Bosnia & Herzegovina,2015-16,1.0,,0.0137,0.0,,,,,,,,17.0,,,15.0,178.0,,336.0,,,,2.0,,6.0,4.0,,,,1397.0,,,,8.0,4.0,,2.0,77.0,,22.8118,,36.0,19.0,24.0,,1.0,31.0,4.0,9.0,,273.0,127.0,17.0,,,,,51.0,20.0,,,3.0,6.0,0.0,150.0,,,187.0,,,,32.0,,,,,81.0,,509.0,,,,,89.0,107.0,,,,0.0,178.0,23.0,,,,,,,,,,,115.0,8.0,17.0,55.0,1.0,16.0,2.0,12.0,60.0,17.0,39.0,,,,2.0,,,,,,,,,,,,,,
108132,Jamal Blackman,Goalkeeper,Chelsea,8,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7445,Marco Amelia,Goalkeeper,Chelsea,8,Italy,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
