team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Burnley_90,2009-10,5666,Brian Jensen,Mansfield Town,Goalkeeper,Denmark,2.0,,2.0,38.0,,,,,,54.0,3.0,,,2.0,8.0,1.0,20.0,7.0,13.0,,,,,,,1.0,,,,38.0,235.0,261.0,,377.0,5.0,,80.0,72.0,8.0,18.0,7.0,11.0,,,,,,,3.0,3.0,,,,,,,522.0,,,,2.0,9.0,3.0,,,5.0,27.0,,,518.0,,,,3.0,149.0,48.0,88.0,61.0,41.0,,,,,,,,,38.0,0.0,1.0,,,,,1.0,,170.0,1.0,354.0,314.0,85.0,45.0,,,,,,3345.0,,56.0,4.0,5.0,932.0,1314.0,0.0,,,,915.0,1714.0,,,,,418.0,1.0,903.0,47.0,12.0,0.0,3.0
Burnley_90,2009-10,33031,Diego Penny,Burnley,Goalkeeper,Peru,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,,8.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,16.0,,,,,1.0,,,1.0,,,,,,,,,,,0.0,,1.0,,,,,,3.0,,7.0,6.0,1.0,,,,,,,75.0,,,,,19.0,26.0,0.0,,,,19.0,29.0,,,,,7.0,,19.0,,,0.0,0.0
Burnley_90,2009-10,1170,Nicky Weaver,Burnley,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Burnley_90,2009-10,18421,Daniel Fox,Wigan Athletic,Defender,Scotland,34.0,12.0,22.0,14.0,8.0,0.0,,1.0,5.0,,,,29.0,8.0,,,102.0,39.0,63.0,,,,,,,,,,,14.0,,,1.0,,,1.0,33.0,28.0,5.0,68.0,27.0,41.0,,,,1.0,,,30.0,9.0,,1.0,,,,,455.0,,,,,,,,,1.0,,,,54.0,,,,,,,,,,,1.0,,,7.0,,6.0,,13.0,0.0,3.0,1.0,6.0,10.0,2.0,4.0,,13.0,4.0,40.0,195.0,151.0,296.0,10.0,19.0,1.0,24.0,90.0,1149.0,11.0,62.0,11.0,8.0,237.0,480.0,0.0,13.0,29.0,6.0,144.0,836.0,17.0,39.0,15.0,5.0,34.0,1.0,53.0,28.0,91.0,2.0,3.0
Burnley_90,2009-10,2907,Michael Duff,Burnley,Defender,Northern Ireland,54.0,20.0,34.0,11.0,,,,,10.0,,,,,2.0,,,106.0,39.0,67.0,,,,,,,,,1.0,,11.0,,,,,,,23.0,20.0,3.0,52.0,19.0,33.0,1.0,,,,,,24.0,2.0,1.0,,,,,,276.0,,,,,,,,,1.0,,,,35.0,,,,,,,,,,,,,,3.0,,1.0,,10.0,0.0,1.0,1.0,,,,,,13.0,2.0,22.0,73.0,101.0,152.0,7.0,18.0,,1.0,,951.0,1.0,139.0,12.0,8.0,168.0,288.0,0.0,4.0,25.0,9.0,114.0,512.0,,2.0,2.0,,41.0,,47.0,23.0,67.0,0.0,5.0
Burnley_90,2009-10,3011,Clarke Carlisle,Burnley,Defender,England,149.0,43.0,106.0,27.0,,,,2.0,17.0,,3.0,2.0,,2.0,,,280.0,94.0,186.0,,,,,,,,,,,27.0,,,,,,,56.0,50.0,6.0,131.0,51.0,80.0,,,1.0,,,,71.0,5.0,3.0,,,,,2.0,738.0,,,1.0,2.0,,,,,4.0,,,,78.0,,,,,,,,,,,,,,8.0,,3.0,,27.0,0.0,1.0,,,,,3.0,,23.0,1.0,53.0,155.0,312.0,414.0,9.0,42.0,,,2.0,2374.0,6.0,363.0,26.0,26.0,440.0,756.0,0.0,11.0,51.0,25.0,289.0,1349.0,,3.0,3.0,1.0,94.0,,102.0,76.0,187.0,0.0,8.0
Burnley_90,2009-10,7545,Steven Caldwell,Wigan Athletic,Defender,Scotland,50.0,20.0,30.0,13.0,,0.0,,,10.0,,1.0,,,2.0,,,100.0,45.0,55.0,,,,,,,,,,,13.0,,,,,,1.0,24.0,22.0,2.0,50.0,25.0,25.0,1.0,1.0,,1.0,,,22.0,1.0,,,,,,,335.0,,,,,,,,,2.0,,,,24.0,,,,,,,,,,,,,,4.0,,2.0,,12.0,1.0,1.0,1.0,,,,1.0,,5.0,1.0,22.0,72.0,186.0,236.0,4.0,7.0,,,,1062.0,3.0,96.0,16.0,13.0,129.0,351.0,1.0,6.0,11.0,9.0,93.0,526.0,,,,1.0,22.0,,36.0,27.0,57.0,0.0,1.0
Burnley_90,2009-10,12780,Tyrone Mears,West Bromwich Albion U23,Defender,Jamaica,77.0,23.0,54.0,38.0,11.0,,,5.0,25.0,,3.0,1.0,1.0,24.0,,,342.0,127.0,215.0,,,,,,,,,1.0,,38.0,,,4.0,,,,82.0,73.0,9.0,265.0,104.0,161.0,2.0,,1.0,,,,85.0,15.0,2.0,,,,,3.0,1306.0,,,,,,,,,5.0,,,,112.0,,,,,,,,,,,,,,9.0,,4.0,,38.0,0.0,,,,12.0,12.0,21.0,,26.0,7.0,64.0,619.0,388.0,931.0,24.0,70.0,,94.0,427.0,3420.0,49.0,178.0,44.0,46.0,648.0,1351.0,0.0,13.0,94.0,37.0,356.0,2580.0,,86.0,83.0,23.0,68.0,1.0,95.0,74.0,261.0,0.0,7.0
Burnley_90,2009-10,40345,David Edgar,Hartlepool United,Defender,Canada,4.0,2.0,2.0,4.0,,,,,2.0,,,,,,,,26.0,11.0,15.0,,,,,,,,,,,4.0,,,,,,,7.0,6.0,1.0,22.0,9.0,13.0,,,,,,,4.0,,,,,,,,74.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,1.0,,2.0,,7.0,21.0,38.0,52.0,1.0,10.0,,1.0,3.0,239.0,,22.0,7.0,1.0,26.0,78.0,0.0,,11.0,,19.0,128.0,,,,,8.0,,8.0,4.0,11.0,0.0,0.0
Burnley_90,2009-10,43248,Richard Eckersley,Oldham Athletic,Defender,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
