season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,substitute.1,totalShots
2011-12,1768168,1,5,Blackburn_Rovers,Home,573,1274.0,David Dunn,david-dunn,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768168,1,5,Blackburn_Rovers,Home,601,4740.0,Brett Emerton,brett-emerton,M,False,0.0,0.0,46.0,0.0,,,0.0
2011-12,1768168,1,5,Blackburn_Rovers,Home,605,16058.0,Morten Gamst Pedersen,morten-gamst-pedersen,M,False,0.0,0.0,72.0,0.0,,,0.0
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,10474,7635.0,Stephen Hunt,stephen-hunt,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,10570,10561.0,Karl Henry,karl-henry,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,16814,40660.0,Adam Hammill,adam-hammill,M,True,,,,,,,
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,16849,28568.0,Jamie O'Hara,jamie-ohara,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,20095,18818.0,Matt Jarvis,matt-jarvis,M,False,1.0,0.0,75.0,0.0,,,0.0
2011-12,1768168,1,39,Wolverhampton_Wanderers,Away,31172,41208.0,Nenad Milijaš,nenad-milijas,M,True,,,,,,,
2011-12,1768168,1,5,Blackburn_Rovers,Home,51652,,Steven​ N'Zonzi,steven-n-zonzi,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768168,1,5,Blackburn_Rovers,Home,106109,58900.0,Mauro Formica,mauro-formica,M,False,0.0,1.0,84.0,0.0,,,0.0
2011-12,1768168,1,5,Blackburn_Rovers,Home,114155,86168.0,Rubén Rochina,ruben-rochina,M,True,0.0,0.0,44.0,0.0,,,0.0
2011-12,1768169,1,7,Aston_Villa,Away,727,13310.0,Stephen Warnock,stephen-warnock,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768169,1,7,Aston_Villa,Away,789,18737.0,Charles N'Zogbia,charles-nzogbia,M,False,0.0,0.0,67.0,0.0,,,0.0
2011-12,1768169,1,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768169,1,7,Aston_Villa,Away,3589,15154.0,Jean Makoun,jean-makoun,M,True,,,,,,,
2011-12,1768169,1,7,Aston_Villa,Away,9041,2160.0,Stiliyan Petrov,stiliyan-petrov,M,False,0.0,0.0,89.0,0.0,,,0.0
2011-12,1768169,1,7,Aston_Villa,Away,9682,20481.0,Stephen Ireland,stephen-ireland,M,True,,,,,,,
2011-12,1768169,1,54,Fulham,Home,9865,39104.0,Mousa Dembélé,mousa-dembele,M,True,0.0,0.0,17.0,0.0,,,0.0
2011-12,1768169,1,54,Fulham,Home,10468,11735.0,Steve Sidwell,steve-sidwell,M,True,,,,,,,
2011-12,1768169,1,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768169,1,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768169,1,7,Aston_Villa,Away,24048,41823.0,Fabian Delph,fabian-delph,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768169,1,54,Fulham,Home,24811,42425.0,Matthew Briggs,matthew-briggs,M,True,,,,,,,
2011-12,1768169,1,7,Aston_Villa,Away,45682,59013.0,Barry Bannan,barry-bannan,M,True,,,,,,,
2011-12,1768169,1,7,Aston_Villa,Away,47737,51938.0,Marc Albrighton,marc-albrighton,M,True,0.0,0.0,23.0,0.0,,,0.0
2011-12,1768169,1,54,Fulham,Home,104818,81025.0,Pajtim Kasami,pajtim-kasami,M,True,,,,,,,
2011-12,1768169,1,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,56,Sunderland,Away,524,19057.0,Sebastian Larsson,sebastian-larsson,M,False,0.0,1.0,80.0,0.0,,,0.0
2011-12,1768170,1,56,Sunderland,Away,764,15073.0,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,14,Liverpool,Home,816,12002.0,Stewart Downing,stewart-downing,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,14,Liverpool,Home,2221,4719.0,Dirk Kuyt,dirk-kuyt,M,True,0.0,0.0,30.0,0.0,,,0.0
2011-12,1768170,1,14,Liverpool,Home,6252,19921.0,Raúl Meireles,raul-meireles,M,True,0.0,0.0,15.0,0.0,,,0.0
2011-12,1768170,1,14,Liverpool,Home,9360,20208.0,Charlie Adam,charlie-adam,M,False,1.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,56,Sunderland,Away,9968,7631.0,David Vaughan,david-vaughan,M,True,0.0,0.0,10.0,0.0,,,0.0
2011-12,1768170,1,56,Sunderland,Away,14210,28448.0,Lee Cattermole,lee-cattermole,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,56,Sunderland,Away,14235,28468.0,Craig Gardner,craig-gardner,M,True,,,,,,,
2011-12,1768170,1,56,Sunderland,Away,16657,34392.0,Stéphane Sessègnon,stephane-sessegnon,M,False,0.0,0.0,90.0,0.0,,,0.0
2011-12,1768170,1,14,Liverpool,Home,26940,55548.0,Jay Spearing,jay-spearing,M,True,,,,,,,
