season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,attPenTarget,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,goalFastbreak,leftsidePass,overrun,rightsidePass,unsuccessfulTouch,attLgLeft
2009-10,284002,1,2009-08-15 15:00:00,30,Bolton,Home,56.0,11.0,2.0,5.0,3.0,6.0,,131.0,6.0,2.0,6.0,16.0,7.0,32.0,182.0,,,17.0,29.0,28.0,8.0,2.0,,,,,,,,,,,,,,,,,,1.0,12.0,8.0,,,52.0,4.0,2.0,7.0,,4.0,3.0,11.0,,14.0,3.0,70.0,66.0,3.0,31.0,18.0,,,105.0,16.0,13.0,,,,,,,,,,,15.0,,,,35.0,,11.0,10.0,1.0,6.0,84.0,35.0,7.0,,5.0,5.0,3.0,,6.0,,50.0,40.0,45.0,,,,,,187.0,162.0,3.0,15.0,22.0,54.3,,,1.0,0.0,4.0,1.0,,,3.0,,8.0,,2.0,79.0,,10.0,70.0,33.0,55.0,7.0,4.0,21.0,17.0,,155.0,24.0,236.0,,2.0,36.0,11.0,68.0,,285.0,,0.0,13.0,22.0,1.0,33.0,2.0,563.0,,3.0,4.0,17.0,0.0,,,,,,,,,,,,
2009-10,284010,2,2010-01-20 19:45:00,30,Bolton,Away,69.0,4.0,1.0,3.0,2.0,11.0,,103.0,5.0,1.0,2.0,16.0,6.0,28.0,169.0,,,15.0,18.0,22.0,6.0,,,,,2.0,,1.0,3.0,,,,1.0,,,1.0,,,,2.0,12.0,9.0,,,43.0,4.0,3.0,12.0,,3.0,6.0,5.0,1.0,6.0,6.0,59.0,69.0,4.0,13.0,6.0,,,88.0,15.0,20.0,,,,,3.0,1.0,,1.0,1.0,,12.0,,2.0,,18.0,,21.0,21.0,1.0,2.0,89.0,35.0,9.0,1.0,3.0,4.0,4.0,,1.0,,26.0,39.0,32.0,,,,,1.0,185.0,160.0,2.0,20.0,8.0,37.1,,,,0.0,5.0,4.0,,,,,5.0,,3.0,59.0,,7.0,89.0,25.0,38.0,12.0,3.0,15.0,12.0,,140.0,23.0,219.0,2.0,1.0,41.0,9.0,67.0,1.0,293.0,,0.0,12.0,23.0,1.0,17.0,2.0,535.0,,4.0,3.0,20.0,0.0,,,,,,,,,,,,
2009-10,284024,3,2009-08-22 15:00:00,30,Bolton,Away,55.0,13.0,1.0,9.0,8.0,6.0,,145.0,3.0,,2.0,10.0,5.0,26.0,191.0,,3.0,17.0,20.0,22.0,11.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,2.0,10.0,2.0,,,46.0,1.0,7.0,5.0,,10.0,13.0,11.0,,9.0,2.0,61.0,71.0,1.0,18.0,11.0,1.0,1.0,95.0,19.0,19.0,,,,,2.0,,,,,,7.0,,,1.0,27.0,,19.0,18.0,,2.0,87.0,41.0,4.0,,9.0,4.0,5.0,,1.0,,44.0,46.0,44.0,,,,,,191.0,170.0,2.0,17.0,21.0,53.4,,,,0.0,2.0,1.0,,,,,11.0,,3.0,74.0,,13.0,79.0,32.0,39.0,15.0,10.0,39.0,29.0,,140.0,17.0,258.0,,,36.0,6.0,66.0,,298.0,,0.0,23.0,24.0,3.0,28.0,2.0,570.0,,6.0,12.0,19.0,0.0,,,,,,,,,,,,
2009-10,284032,4,2009-08-29 15:00:00,30,Bolton,Home,34.0,7.0,1.0,2.0,1.0,4.0,,60.0,5.0,1.0,2.0,12.0,3.0,21.0,92.0,,,9.0,19.0,12.0,4.0,,,,,1.0,,1.0,3.0,,,,,,,,,,,2.0,20.0,10.0,,,41.0,5.0,3.0,8.0,,5.0,5.0,4.0,,9.0,4.0,57.0,47.0,5.0,25.0,14.0,,,66.0,15.0,7.0,1.0,,,,3.0,2.0,,2.0,2.0,,17.0,,,,27.0,,23.0,23.0,4.0,2.0,73.0,30.0,11.0,1.0,2.0,4.0,3.0,,8.0,,26.0,26.0,22.0,,,,,,134.0,112.0,1.0,20.0,10.0,22.2,,,,0.0,5.0,1.0,,1.0,1.0,,3.0,,3.0,45.0,,6.0,45.0,17.0,47.0,9.0,5.0,16.0,11.0,,81.0,9.0,126.0,,1.0,31.0,4.0,48.0,,155.0,,1.0,9.0,25.0,1.0,17.0,2.0,407.0,,3.0,5.0,13.0,0.0,,,,,,,,,,,,
2009-10,284045,5,2009-09-12 15:00:00,30,Bolton,Away,45.0,9.0,1.0,9.0,8.0,5.0,,88.0,7.0,,3.0,10.0,3.0,26.0,124.0,,2.0,11.0,12.0,13.0,7.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,2.0,11.0,11.0,,,33.0,5.0,4.0,7.0,,5.0,12.0,10.0,1.0,11.0,1.0,48.0,58.0,5.0,29.0,14.0,,,79.0,16.0,17.0,,,,,,2.0,,2.0,2.0,,12.0,,2.0,,33.0,,25.0,25.0,3.0,3.0,73.0,34.0,7.0,2.0,6.0,5.0,5.0,,6.0,,25.0,31.0,29.0,,,,,1.0,151.0,124.0,,11.0,13.0,37.8,,,,0.0,,1.0,,,2.0,1.0,8.0,1.0,3.0,55.0,,11.0,62.0,16.0,56.0,5.0,5.0,32.0,27.0,,102.0,19.0,167.0,2.0,,34.0,4.0,57.0,1.0,197.0,,0.0,17.0,25.0,2.0,20.0,0.0,472.0,,3.0,5.0,20.0,0.0,,,,,,,,,,,,
2009-10,284052,6,2009-09-19 15:00:00,30,Bolton,Home,78.0,15.0,,,,4.0,,149.0,,,6.0,12.0,9.0,40.0,227.0,,1.0,18.0,25.0,18.0,6.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,4.0,6.0,,,45.0,3.0,2.0,5.0,,4.0,7.0,10.0,,13.0,4.0,57.0,45.0,3.0,28.0,18.0,,,89.0,10.0,10.0,,1.0,,,1.0,,,,,,6.0,,3.0,,34.0,,12.0,12.0,1.0,6.0,84.0,39.0,7.0,1.0,3.0,3.0,4.0,,2.0,,57.0,40.0,39.0,,,,,1.0,174.0,154.0,,22.0,10.0,51.5,,,1.0,0.0,,3.0,,,1.0,1.0,6.0,,2.0,71.0,,6.0,96.0,33.0,48.0,10.0,3.0,22.0,19.0,,131.0,15.0,247.0,5.0,,33.0,11.0,75.0,1.0,321.0,1.0,0.0,12.0,12.0,2.0,30.0,2.0,571.0,,5.0,4.0,9.0,0.0,,,,,,,,,,,,
2009-10,284060,7,2009-09-26 15:00:00,30,Bolton,Away,83.0,11.0,1.0,3.0,2.0,6.0,,106.0,3.0,,3.0,11.0,8.0,33.0,186.0,,3.0,15.0,15.0,11.0,5.0,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,7.0,7.0,,,41.0,3.0,2.0,8.0,,4.0,11.0,3.0,,12.0,1.0,54.0,45.0,3.0,34.0,23.0,,,75.0,17.0,10.0,,,,,1.0,1.0,,1.0,1.0,,8.0,,2.0,,40.0,1.0,26.0,26.0,4.0,3.0,85.0,40.0,8.0,2.0,3.0,4.0,4.0,,4.0,,35.0,41.0,15.0,,,,,,168.0,140.0,1.0,19.0,14.0,37.7,1.0,,,0.0,1.0,2.0,,,3.0,2.0,6.0,,2.0,69.0,,7.0,104.0,23.0,62.0,9.0,4.0,21.0,17.0,,115.0,12.0,189.0,2.0,,28.0,10.0,63.0,3.0,272.0,,0.0,12.0,17.0,3.0,29.0,1.0,543.0,,7.0,4.0,14.0,0.0,,,,,,,,,,,,
2009-10,284072,8,2009-10-03 15:00:00,30,Bolton,Home,58.0,11.0,2.0,9.0,7.0,5.0,,109.0,8.0,,2.0,9.0,10.0,24.0,158.0,,3.0,9.0,15.0,14.0,7.0,3.0,,,,,,,2.0,,,,,1.0,,,,,,4.0,9.0,6.0,,,35.0,4.0,3.0,6.0,,4.0,9.0,6.0,,14.0,2.0,56.0,50.0,4.0,15.0,7.0,,1.0,89.0,16.0,16.0,1.0,,,,2.0,1.0,,1.0,1.0,,15.0,,1.0,1.0,21.0,,18.0,18.0,2.0,2.0,81.0,37.0,6.0,1.0,5.0,6.0,7.0,,2.0,,37.0,37.0,36.0,,,,,,173.0,150.0,1.0,11.0,8.0,39.0,,,,0.0,3.0,1.0,,,,,7.0,,3.0,61.0,,11.0,70.0,30.0,38.0,9.0,4.0,25.0,21.0,,128.0,20.0,200.0,1.0,,24.0,10.0,54.0,1.0,245.0,1.0,0.0,17.0,17.0,3.0,28.0,2.0,492.0,,3.0,5.0,11.0,0.0,,,,,,,,,,,,
2009-10,284085,9,2009-10-17 15:00:00,30,Bolton,Away,111.0,18.0,,7.0,7.0,8.0,2.0,143.0,9.0,1.0,3.0,15.0,17.0,34.0,247.0,,,14.0,11.0,19.0,9.0,1.0,,,,,,1.0,1.0,1.0,,,,,13.0,,,,,2.0,14.0,2.0,,,58.0,3.0,4.0,7.0,,1.0,6.0,7.0,,17.0,3.0,50.0,61.0,3.0,23.0,11.0,,2.0,85.0,10.0,14.0,,,4.0,5.0,1.0,1.0,,1.0,1.0,,13.0,1.0,1.0,,21.0,,17.0,17.0,1.0,3.0,107.0,52.0,13.0,1.0,6.0,5.0,6.0,,,1.0,28.0,53.0,26.0,,,,,,162.0,145.0,4.0,30.0,21.0,41.5,,,,0.0,5.0,1.0,,,1.0,,8.0,,3.0,78.0,,11.0,128.0,48.0,40.0,9.0,,18.0,18.0,,131.0,16.0,234.0,1.0,1.0,29.0,20.0,71.0,1.0,344.0,,0.0,18.0,24.0,1.0,24.0,1.0,561.0,,4.0,1.0,20.0,0.0,,,,,,,,,,,,
2009-10,284091,10,2009-10-25 13:30:00,30,Bolton,Home,57.0,7.0,2.0,11.0,9.0,4.0,,117.0,3.0,,2.0,11.0,8.0,29.0,163.0,,1.0,12.0,23.0,22.0,6.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,3.0,10.0,8.0,,,36.0,3.0,3.0,6.0,,5.0,9.0,9.0,1.0,5.0,3.0,57.0,62.0,3.0,23.0,14.0,,,91.0,15.0,16.0,1.0,,,,1.0,3.0,1.0,2.0,2.0,1.0,9.0,,2.0,,29.0,,10.0,10.0,,2.0,87.0,38.0,4.0,1.0,4.0,7.0,5.0,,6.0,,45.0,38.0,33.0,,,,,,163.0,145.0,3.0,15.0,6.0,43.5,,,,0.0,1.0,2.0,,,,,5.0,,2.0,66.0,,11.0,73.0,22.0,41.0,14.0,4.0,28.0,24.0,,132.0,9.0,217.0,2.0,,44.0,12.0,73.0,2.0,262.0,1.0,0.0,13.0,18.0,2.0,20.0,3.0,493.0,,6.0,4.0,12.0,0.0,,,,,,,,,,,,
