season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,blockedPass,penaltySave,putThrough,saves,attCorner,attFreekickPost,attOneOnOne,attemptsIbox,attemptsObox,contentiousDecision,openPlayPass,ptsGainedLosingPos,successfulOpenPlayPass,touchesInOppBox,attLgLeft,attLgRight,attemptedTackleFoul,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,ptsDroppedWinningPos,subsGoals,successfulPutThrough,attOboxOwnGoal,fiftyFifty,keeperGoals,successfulFiftyFifty,winningGoal
2010-11,321661,1.0,2010-08-14 17:30:00,35,West Brom,Away,172.0,14.0,,3.0,3.0,1.0,,170.0,3.0,,3.0,4.0,7.0,36.0,339.0,,,15.0,7.0,4.0,8.0,,,,1.0,,2.0,,,,,9.0,,,,,,,,9.0,10.0,,64.0,45.0,,,,3.0,5.0,11.0,2.0,2.0,5.0,7.0,,11.0,1.0,44.0,42.0,3.0,16.0,3.0,1.0,,54.0,10.0,11.0,,,4.0,1.0,2.0,126.0,,,,,,,7.0,,,,,,,,,8.0,,22.0,17.0,3.0,3.0,111.0,72.0,49.0,3.0,,4.0,4.0,1.0,,,3.0,2.0,,69.0,48.0,12.0,,,,,112.0,104.0,2.0,23.0,15.0,40.5,,,0.0,,,,93.0,3.0,3.0,,,,5.0,,3.0,72.0,8.0,186.0,20.0,24.0,12.0,2.0,15.0,13.0,,101.0,4.0,223.0,,,14.0,7.0,53.0,1.0,394.0,,0.0,11.0,20.0,1.0,17.0,0.0,571.0,12.0,7.0,2.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321674,2.0,2010-08-21 15:00:00,35,West Brom,Home,140.0,10.0,,3.0,3.0,2.0,,149.0,4.0,2.0,3.0,3.0,7.0,34.0,286.0,,1.0,23.0,15.0,18.0,5.0,1.0,,,1.0,1.0,2.0,,,1.0,,9.0,,,,1.0,,,,4.0,7.0,,62.0,56.0,2.0,1.0,1.0,3.0,1.0,4.0,,4.0,12.0,7.0,,11.0,2.0,51.0,47.0,3.0,20.0,12.0,,,82.0,17.0,13.0,1.0,,3.0,1.0,2.0,149.0,1.0,,1.0,1.0,,,8.0,,,1.0,3.0,,,,2.0,26.0,1.0,19.0,17.0,,3.0,78.0,99.0,48.0,6.0,,4.0,3.0,3.0,,,3.0,2.0,,47.0,69.0,13.0,,,,,176.0,154.0,3.0,20.0,23.0,54.7,1.0,,0.0,,,,86.0,1.0,1.0,,,,8.0,,3.0,72.0,7.0,155.0,21.0,42.0,13.0,4.0,24.0,20.0,,117.0,5.0,244.0,3.0,2.0,31.0,10.0,72.0,3.0,375.0,,0.0,12.0,9.0,2.0,27.0,3.0,589.0,14.0,7.0,4.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321682,3.0,2010-08-29 15:00:00,35,West Brom,Away,151.0,26.0,,2.0,2.0,,,162.0,4.0,1.0,5.0,9.0,10.0,50.0,311.0,1.0,1.0,20.0,6.0,14.0,11.0,,,,,,,,,,,15.0,,,,,,,1.0,4.0,7.0,,75.0,61.0,,,,1.0,4.0,3.0,,6.0,9.0,7.0,,21.0,2.0,42.0,54.0,1.0,20.0,11.0,,1.0,74.0,8.0,8.0,,,1.0,1.0,,153.0,,,,,,,10.0,,,,1.0,,,,1.0,17.0,,19.0,17.0,4.0,5.0,91.0,93.0,57.0,7.0,,7.0,4.0,3.0,,,3.0,2.0,,56.0,66.0,23.0,,,,,182.0,164.0,1.0,23.0,26.0,49.0,,,0.0,,,,83.0,1.0,2.0,,2.0,,9.0,,2.0,72.0,11.0,183.0,44.0,38.0,13.0,6.0,23.0,17.0,,116.0,3.0,242.0,1.0,1.0,25.0,11.0,81.0,1.0,402.0,1.0,1.0,16.0,24.0,1.0,21.0,0.0,636.0,16.0,8.0,6.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321694,4.0,2010-09-11 15:00:00,35,West Brom,Home,102.0,12.0,4.0,7.0,3.0,1.0,1.0,139.0,3.0,,1.0,9.0,2.0,29.0,234.0,,1.0,15.0,7.0,6.0,8.0,7.0,,,,,1.0,,,,,11.0,,,,,,,1.0,7.0,10.0,,48.0,43.0,2.0,2.0,,2.0,4.0,6.0,,9.0,9.0,7.0,,15.0,1.0,42.0,46.0,2.0,9.0,5.0,,1.0,58.0,12.0,9.0,,,4.0,4.0,1.0,112.0,1.0,,,1.0,,,11.0,,,1.0,1.0,,,,1.0,7.0,,22.0,13.0,1.0,1.0,75.0,66.0,37.0,4.0,1.0,7.0,9.0,7.0,,,4.0,2.0,,58.0,29.0,19.0,,,,,124.0,118.0,2.0,25.0,14.0,40.3,,,0.0,,,,56.0,1.0,4.0,,,,7.0,,3.0,57.0,16.0,116.0,23.0,15.0,10.0,8.0,28.0,20.0,,92.0,7.0,203.0,2.0,,21.0,3.0,53.0,3.0,291.0,,0.0,18.0,24.0,2.0,17.0,2.0,485.0,7.0,7.0,9.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321705,5.0,2010-09-18 15:00:00,35,West Brom,Home,168.0,20.0,2.0,7.0,5.0,2.0,,161.0,4.0,,1.0,6.0,10.0,49.0,322.0,,,19.0,12.0,18.0,12.0,2.0,1.0,,,,,,2.0,,,14.0,,,,,,,1.0,1.0,4.0,,69.0,48.0,2.0,1.0,2.0,2.0,6.0,2.0,,4.0,7.0,10.0,1.0,16.0,1.0,47.0,48.0,1.0,13.0,10.0,,,87.0,12.0,10.0,1.0,,3.0,1.0,,156.0,1.0,,1.0,,1.0,,9.0,,,1.0,1.0,,,,,16.0,,16.0,12.0,1.0,2.0,92.0,90.0,47.0,,,6.0,9.0,5.0,,,,3.0,,65.0,49.0,27.0,,,,,152.0,142.0,,23.0,19.0,51.4,,1.0,0.0,,,,87.0,,2.0,,,1.0,8.0,2.0,3.0,76.0,15.0,180.0,39.0,22.0,14.0,4.0,22.0,18.0,1.0,130.0,6.0,246.0,1.0,,26.0,10.0,89.0,3.0,404.0,,0.0,19.0,11.0,2.0,24.0,1.0,584.0,7.0,9.0,5.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321707,6.0,2010-09-25 15:00:00,35,West Brom,Away,114.0,16.0,1.0,2.0,1.0,2.0,,122.0,9.0,,1.0,5.0,13.0,27.0,234.0,1.0,2.0,12.0,5.0,15.0,1.0,1.0,,,,,1.0,,,,,4.0,,,1.0,,,,1.0,18.0,10.0,,45.0,54.0,2.0,1.0,2.0,1.0,1.0,11.0,,5.0,5.0,3.0,1.0,13.0,4.0,52.0,60.0,1.0,30.0,10.0,,,58.0,15.0,15.0,1.0,,4.0,,1.0,132.0,3.0,,2.0,3.0,,,11.0,,,3.0,,,,,,27.0,1.0,24.0,19.0,5.0,1.0,60.0,75.0,41.0,16.0,1.0,1.0,4.0,5.0,,,9.0,4.0,,49.0,57.0,12.0,,,,1.0,149.0,121.0,3.0,25.0,19.0,35.7,,3.0,0.0,,,,66.0,2.0,2.0,,2.0,,2.0,,3.0,70.0,5.0,124.0,30.0,58.0,15.0,3.0,11.0,8.0,,105.0,9.0,190.0,,,16.0,15.0,53.0,7.0,303.0,3.0,0.0,8.0,23.0,3.0,14.0,3.0,538.0,7.0,7.0,4.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321724,7.0,2010-10-02 15:00:00,35,West Brom,Home,138.0,16.0,1.0,8.0,7.0,2.0,,164.0,2.0,,2.0,4.0,20.0,41.0,294.0,1.0,,29.0,22.0,18.0,12.0,2.0,2.0,,,,1.0,,,,,15.0,,,,,,,1.0,7.0,4.0,,52.0,63.0,2.0,1.0,1.0,2.0,7.0,3.0,1.0,8.0,18.0,12.0,,30.0,2.0,70.0,51.0,2.0,24.0,13.0,,1.0,71.0,9.0,10.0,,,4.0,3.0,1.0,167.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,1.0,22.0,,30.0,22.0,1.0,2.0,92.0,96.0,48.0,4.0,1.0,6.0,9.0,5.0,,,2.0,1.0,,66.0,47.0,18.0,,,,,208.0,194.0,2.0,28.0,22.0,56.5,,,0.0,,,,88.0,3.0,1.0,,1.0,2.0,8.0,,3.0,89.0,15.0,155.0,34.0,38.0,15.0,5.0,38.0,33.0,2.0,141.0,12.0,282.0,1.0,,19.0,24.0,73.0,,399.0,1.0,0.0,20.0,15.0,3.0,36.0,3.0,667.0,10.0,8.0,8.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321734,8.0,2010-10-16 15:00:00,35,West Brom,Away,110.0,11.0,,3.0,3.0,1.0,1.0,150.0,2.0,2.0,3.0,3.0,5.0,34.0,257.0,,,18.0,10.0,8.0,6.0,1.0,2.0,,,,,,,,,7.0,,,,,,,1.0,12.0,8.0,,44.0,67.0,,,1.0,4.0,1.0,8.0,1.0,2.0,8.0,6.0,,9.0,2.0,44.0,52.0,4.0,9.0,5.0,2.0,,74.0,10.0,10.0,,,3.0,3.0,,123.0,,,,,,,13.0,,,1.0,2.0,,,,,8.0,,26.0,16.0,2.0,3.0,83.0,81.0,39.0,3.0,1.0,6.0,1.0,2.0,,,8.0,3.0,,57.0,45.0,16.0,,,,,150.0,143.0,4.0,27.0,27.0,44.0,,,0.0,,,,81.0,3.0,1.0,,1.0,2.0,6.0,,3.0,67.0,7.0,131.0,20.0,16.0,14.0,1.0,18.0,17.0,2.0,101.0,8.0,218.0,2.0,2.0,14.0,6.0,54.0,2.0,331.0,,0.0,9.0,28.0,,24.0,2.0,546.0,15.0,6.0,2.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321744,9.0,2010-10-23 15:00:00,35,West Brom,Home,176.0,14.0,3.0,7.0,4.0,1.0,,187.0,6.0,,4.0,8.0,12.0,42.0,356.0,2.0,3.0,12.0,2.0,8.0,8.0,3.0,2.0,,1.0,1.0,2.0,1.0,,,,9.0,,,,,,,,3.0,7.0,,65.0,64.0,2.0,,2.0,4.0,1.0,5.0,,6.0,13.0,4.0,,10.0,1.0,27.0,51.0,4.0,16.0,9.0,,1.0,79.0,4.0,8.0,1.0,,2.0,,2.0,146.0,2.0,,2.0,2.0,,1.0,9.0,,,2.0,,,,,,19.0,,17.0,12.0,1.0,4.0,117.0,87.0,49.0,5.0,1.0,7.0,6.0,6.0,,,3.0,1.0,1.0,68.0,63.0,16.0,,,,,154.0,134.0,2.0,30.0,25.0,49.9,,,0.0,,,,112.0,,1.0,,,2.0,9.0,,3.0,85.0,13.0,191.0,34.0,36.0,15.0,5.0,22.0,17.0,3.0,129.0,5.0,271.0,,,24.0,12.0,73.0,4.0,440.0,2.0,0.0,16.0,26.0,3.0,14.0,0.0,648.0,9.0,9.0,7.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321750,10.0,2010-11-01 20:00:00,35,West Brom,Away,148.0,11.0,,5.0,5.0,3.0,2.0,84.0,6.0,2.0,2.0,5.0,7.0,25.0,227.0,,1.0,18.0,11.0,9.0,7.0,2.0,,,1.0,,1.0,,,,,8.0,,,,,1.0,,5.0,12.0,14.0,,42.0,45.0,,1.0,,5.0,3.0,6.0,,2.0,6.0,6.0,,12.0,1.0,49.0,47.0,5.0,11.0,4.0,,1.0,48.0,13.0,16.0,,,5.0,5.0,1.0,105.0,1.0,,,1.0,,,18.0,,,1.0,,,,,,10.0,1.0,8.0,4.0,,2.0,67.0,56.0,21.0,8.0,1.0,4.0,6.0,4.0,,,7.0,,,33.0,25.0,23.0,1.0,1.0,1.0,,127.0,113.0,,23.0,16.0,34.6,1.0,,0.0,,,,66.0,3.0,,,,,7.0,,3.0,45.0,10.0,163.0,19.0,25.0,14.0,2.0,19.0,17.0,,72.0,4.0,136.0,1.0,2.0,26.0,7.0,52.0,3.0,280.0,,2.0,14.0,15.0,2.0,19.0,3.0,472.0,11.0,7.0,2.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
