team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
A_Villa_7,2024-25,2444476,1,2024-08-17 17:30:00,"London Stadium, London",62463,Away,Aston Villa,West Ham,W,329.0,14.0,13.0,,,4.0,2.0,2.0,9.0,6.0,4.0,,3.0,7.0,43.0,62.0,20.0,,,,,,,51.0,11.0,18.0,2.0,2.0,1,1.0,2,1,1,1.0,7.0,7.0,3.0,4.0,,32.0,,116.0,47.9,0.0,0,0,3.0,6.0,12.0,20.0,,1.0,394.0,15.0,24.0,23.0,3.0,15.0,0.0
A_Villa_7,2024-25,2444481,2,2024-08-24 17:30:00,"Villa Park, Birmingham",41587,Home,Aston Villa,Arsenal,L,271.0,7.0,10.0,,,1.0,2.0,,3.0,5.0,6.0,,4.0,10.0,38.0,58.0,16.0,,1.0,,,,,28.0,8.0,16.0,,,2,2.0,0,0,0,1.0,4.0,6.0,3.0,1.0,,17.0,,100.0,39.3,0.0,0,0,2.0,3.0,9.0,16.0,,3.0,329.0,11.0,22.0,17.0,4.0,10.0,0.0
A_Villa_7,2024-25,2444495,3,2024-08-31 15:00:00,"King Power Stadium, Leicester",31725,Away,Aston Villa,Leicester,W,318.0,9.0,10.0,,2.0,4.0,2.0,2.0,6.0,2.0,6.0,,4.0,15.0,58.0,53.0,25.0,,1.0,,,,,33.0,21.0,13.0,2.0,2.0,1,1.0,2,0,1,,7.0,5.0,5.0,1.0,,21.0,,119.0,42.4,0.0,0,0,2.0,3.0,7.0,25.0,102785.05,1.0,383.0,10.0,17.0,22.0,4.0,10.0,0.0
A_Villa_7,2024-25,2444501,4,2024-09-14 17:30:00,"Villa Park, Birmingham",41573,Home,Aston Villa,Everton,W,602.0,11.0,9.0,,1.0,5.0,4.0,2.0,8.0,3.0,7.0,,6.0,16.0,51.0,46.0,9.0,1.0,1.0,2.00259,2.125,2.3582,1.1424,97.0,10.0,12.0,2.0,3.0,2,2.0,3,2,1,,4.0,7.0,8.0,1.0,,39.0,,118.0,72.9,0.0,0,0,,6.0,13.0,9.0,107118.47,1.0,665.0,17.0,20.0,31.0,6.0,15.0,0.0
A_Villa_7,2024-25,2444510,5,2024-09-21 15:00:00,"Villa Park, Birmingham",39978,Home,Aston Villa,Wolves,W,393.0,10.0,7.0,,1.0,5.0,2.0,3.0,6.0,3.0,7.0,,6.0,12.0,51.0,46.0,15.0,1.0,,,,,,58.0,11.0,15.0,3.0,3.0,1,1.0,3,1,0,,5.0,6.0,4.0,5.0,,29.0,,106.0,53.0,0.0,0,0,3.0,2.0,7.0,15.0,101842.7,1.0,447.0,9.0,15.0,31.0,6.0,10.0,0.0
A_Villa_7,2024-25,2444525,6,2024-09-29 14:00:00,"Portman Road, Ipswich",29943,Away,Aston Villa,Ipswich,D,480.0,10.0,7.0,,,2.0,1.0,1.0,7.0,,10.0,,,13.0,50.0,37.0,16.0,,,,,,,83.0,14.0,10.0,2.0,2.0,2,2.0,2,1,2,,5.0,3.0,3.0,3.0,,19.0,,101.0,56.2,0.0,0,0,3.0,4.0,6.0,16.0,105392.23,1.0,542.0,7.0,15.0,18.0,,9.0,0.0
A_Villa_7,2024-25,2444531,7,2024-10-06 14:00:00,"Villa Park, Birmingham",42682,Home,Aston Villa,Man Utd,D,345.0,15.0,8.0,,1.0,,,,2.0,3.0,4.0,1.0,6.0,12.0,51.0,38.0,14.0,,,,,,,41.0,12.0,11.0,,,0,,0,0,0,,6.0,3.0,1.0,2.0,,32.0,,130.0,53.5,0.0,0,0,4.0,7.0,8.0,14.0,101094.51,,416.0,11.0,12.0,25.0,6.0,10.0,0.0
A_Villa_7,2024-25,2444541,8,2024-10-19 15:00:00,"Craven Cottage, London",26743,Away,Aston Villa,Fulham,W,361.0,14.0,5.0,,2.0,2.0,2.0,,8.0,4.0,3.0,,11.0,12.0,45.0,32.0,19.0,,,,,,,48.0,11.0,8.0,2.0,3.0,1,1.0,3,1,1,,14.0,6.0,5.0,1.0,,33.0,,104.0,47.9,0.0,1,1,3.0,5.0,11.0,19.0,,2.0,408.0,14.0,11.0,27.0,11.0,5.0,0.0
A_Villa_7,2024-25,2444551,9,2024-10-26 15:00:00,"Villa Park, Birmingham",42165,Home,Aston Villa,Bournemouth,D,362.0,16.0,13.0,,2.0,3.0,2.0,1.0,4.0,5.0,5.0,,9.0,12.0,49.0,43.0,15.0,,,,,,,54.0,12.0,13.0,1.0,1.0,1,1.0,1,0,0,,11.0,9.0,8.0,3.0,,34.0,,115.0,56.6,0.0,0,0,2.0,5.0,13.0,15.0,,,438.0,18.0,11.0,34.0,9.0,5.0,0.0
A_Villa_7,2024-25,2444568,10,2024-11-03 14:00:00,"Tottenham Hotspur Stadium, London",61253,Away,Aston Villa,Spurs,L,324.0,12.0,11.0,,3.0,3.0,3.0,1.0,7.0,3.0,5.0,,4.0,7.0,47.0,58.0,21.0,1.0,2.0,,,,,31.0,14.0,14.0,,1.0,4,4.0,1,0,1,1.0,11.0,3.0,1.0,2.0,,19.0,,109.0,48.9,0.0,0,0,2.0,8.0,11.0,21.0,,,386.0,12.0,19.0,15.0,4.0,11.0,0.0
A_Villa_7,2024-25,2444574,11,2024-11-09 20:00:00,"Anfield, Liverpool",60292,Away,Aston Villa,Liverpool,L,288.0,6.0,6.0,,,3.0,5.0,,7.0,2.0,9.0,,9.0,9.0,42.0,44.0,18.0,1.0,,,,,,23.0,15.0,11.0,,,2,2.0,0,1,0,,6.0,3.0,2.0,3.0,,26.0,,108.0,37.6,0.0,0,0,3.0,8.0,9.0,18.0,,1.0,351.0,12.0,16.0,28.0,9.0,8.0,0.0
A_Villa_7,2024-25,2444582,12,2024-11-23 15:00:00,"Villa Park, Birmingham",42175,Home,Aston Villa,Crystal Palace,D,531.0,11.0,12.0,,,2.0,3.0,1.0,10.0,6.0,3.0,,10.0,14.0,46.0,43.0,12.0,,,,,,,78.0,10.0,10.0,2.0,2.0,2,2.0,2,2,1,1.0,4.0,9.0,5.0,1.0,,30.0,1.0,147.0,69.9,0.0,0,0,4.0,6.0,12.0,12.0,,1.0,617.0,17.0,9.0,48.0,10.0,5.0,0.0
A_Villa_7,2024-25,2444592,13,2024-12-01 13:30:00,"Stamford Bridge, London",39689,Away,Aston Villa,Chelsea,L,296.0,5.0,7.0,,2.0,2.0,2.0,,7.0,3.0,8.0,,4.0,8.0,34.0,47.0,12.0,1.0,2.0,,,,,30.0,6.0,20.0,,,3,3.0,0,2,0,,10.0,6.0,4.0,3.0,,21.0,,93.0,35.9,0.0,0,0,5.0,3.0,8.0,12.0,,1.0,352.0,10.0,16.0,19.0,4.0,7.0,0.0
A_Villa_7,2024-25,2444602,14,2024-12-04 20:15:00,"Villa Park, Birmingham",37890,Home,Aston Villa,Brentford,W,333.0,17.0,12.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,5.0,,10.0,6.0,46.0,51.0,22.0,,1.0,,,,,38.0,11.0,15.0,1.0,3.0,1,1.0,3,0,3,,8.0,11.0,10.0,4.0,,32.0,1.0,106.0,49.2,0.0,0,0,,6.0,15.0,22.0,,,387.0,20.0,16.0,41.0,10.0,12.0,0.0
A_Villa_7,2024-25,2444610,15,2024-12-07 15:00:00,"Villa Park, Birmingham",42453,Home,Aston Villa,Southampton,W,363.0,8.0,9.0,,,4.0,4.0,1.0,2.0,8.0,4.0,1.0,14.0,6.0,45.0,56.0,9.0,,1.0,,,,,48.0,18.0,15.0,,1.0,0,,1,0,1,,8.0,10.0,5.0,4.0,,29.0,,107.0,47.2,0.0,0,0,,5.0,15.0,9.0,,,421.0,18.0,27.0,40.0,14.0,15.0,0.0
A_Villa_7,2024-25,2444627,16,2024-12-14 17:30:00,"The City Ground, Nottingham",30117,Away,Aston Villa,Nott'm Forest,L,414.0,10.0,8.0,,1.0,,,,4.0,2.0,10.0,,3.0,9.0,45.0,36.0,21.0,2.0,,,,,,53.0,6.0,12.0,1.0,1.0,2,2.0,1,0,0,,6.0,4.0,2.0,5.0,,31.0,,106.0,49.7,0.0,0,0,4.0,4.0,7.0,21.0,,2.0,468.0,8.0,11.0,33.0,3.0,5.0,0.0
A_Villa_7,2024-25,2444630,17,2024-12-21 12:30:00,"Villa Park, Birmingham",42345,Home,Aston Villa,Man City,W,369.0,2.0,2.0,,,2.0,3.0,1.0,6.0,2.0,8.0,,5.0,3.0,30.0,37.0,17.0,1.0,,,,,,33.0,14.0,7.0,2.0,2.0,1,1.0,2,0,1,2.0,4.0,7.0,6.0,1.0,,21.0,,82.0,43.9,0.0,0,0,5.0,3.0,9.0,17.0,,3.0,428.0,11.0,22.0,17.0,5.0,12.0,0.0
A_Villa_7,2024-25,2444646,18,2024-12-26 15:00:00,"St. James' Park, Newcastle",52168,Away,Aston Villa,Newcastle,L,254.0,14.0,8.0,,2.0,,,,2.0,1.0,6.0,,6.0,7.0,41.0,47.0,18.0,1.0,3.0,,,,,34.0,10.0,14.0,,,3,3.0,0,1,0,,5.0,,1.0,8.0,,23.0,,107.0,37.2,0.0,0,1,4.0,2.0,1.0,18.0,,3.0,316.0,4.0,15.0,9.0,6.0,7.0,0.0
A_Villa_7,2024-25,2444650,19,2024-12-30 19:45:00,"Villa Park, Birmingham",41414,Home,Aston Villa,Brighton,D,412.0,11.0,11.0,1.0,,2.0,2.0,1.0,8.0,9.0,9.0,,12.0,10.0,48.0,67.0,20.0,,1.0,,,,,47.0,9.0,14.0,1.0,2.0,2,2.0,2,1,1,,4.0,9.0,4.0,5.0,,34.0,1.0,130.0,59.7,0.0,0,0,3.0,7.0,16.0,20.0,113450.94,2.0,486.0,20.0,22.0,48.0,12.0,12.0,0.0
A_Villa_7,2024-25,2444661,20,2025-01-04 15:00:00,"Villa Park, Birmingham",42386,Home,Aston Villa,Leicester,W,551.0,6.0,12.0,,,2.0,2.0,1.0,7.0,5.0,5.0,,6.0,13.0,43.0,48.0,15.0,1.0,,,,,,48.0,10.0,11.0,1.0,2.0,1,1.0,2,0,0,1.0,10.0,6.0,5.0,,,25.0,,113.0,60.8,0.0,0,0,1.0,3.0,7.0,15.0,109781.37,1.0,616.0,13.0,19.0,25.0,7.0,11.0,0.0
A_Villa_7,2024-25,2444672,21,2025-01-15 19:30:00,"Goodison Park, Liverpool",39085,Away,Aston Villa,Everton,W,360.0,16.0,19.0,,,2.0,3.0,1.0,9.0,4.0,1.0,1.0,5.0,11.0,46.0,64.0,34.0,,1.0,,,,,48.0,10.0,17.0,1.0,1.0,0,,1,0,0,,9.0,5.0,3.0,2.0,,29.0,,131.0,50.3,0.0,0,0,2.0,4.0,7.0,34.0,104699.83,1.0,436.0,11.0,22.0,20.0,5.0,16.0,0.0
A_Villa_7,2024-25,2444680,22,2025-01-18 17:30:00,"Emirates Stadium, London",60067,Away,Aston Villa,Arsenal,D,193.0,16.0,13.0,,1.0,2.0,,2.0,2.0,1.0,7.0,,1.0,8.0,51.0,45.0,40.0,,1.0,,,,,26.0,18.0,9.0,2.0,2.0,2,2.0,2,1,0,1.0,3.0,4.0,4.0,4.0,,9.0,,108.0,34.0,0.0,0,0,4.0,3.0,5.0,40.0,,2.0,262.0,8.0,17.0,14.0,1.0,8.0,0.0
A_Villa_7,2024-25,2444691,23,2025-01-26 16:30:00,"Villa Park, Birmingham",41628,Home,Aston Villa,West Ham,D,309.0,18.0,20.0,,1.0,,,,9.0,4.0,15.0,,4.0,14.0,75.0,69.0,22.0,,1.0,,,,,35.0,13.0,14.0,1.0,1.0,1,1.0,1,0,1,,9.0,7.0,4.0,5.0,,27.0,,134.0,45.8,0.0,0,0,2.0,6.0,11.0,22.0,114295.45,2.0,378.0,14.0,27.0,26.0,4.0,15.0,0.0
A_Villa_7,2024-25,2444709,24,2025-02-01 17:30:00,"Molineux Stadium, Wolverhampton",31385,Away,Aston Villa,Wolves,L,493.0,9.0,11.0,,1.0,1.0,1.0,,4.0,5.0,7.0,,8.0,12.0,52.0,52.0,13.0,1.0,2.0,0.5742,0.4466,0.7148,1.7007,61.0,13.0,20.0,,,2,2.0,0,1,0,,3.0,8.0,3.0,,,27.0,,127.0,68.7,0.0,0,0,3.0,2.0,8.0,13.0,102399.85,3.0,554.0,10.0,13.0,18.0,8.0,8.0,0.0
A_Villa_7,2024-25,2444710,25,2025-02-15 15:00:00,"Villa Park, Birmingham",42510,Home,Aston Villa,Ipswich,D,603.0,7.0,11.0,,2.0,4.0,5.0,1.0,4.0,9.0,5.0,,16.0,10.0,41.0,51.0,9.0,,,1.93362,2.42,2.7909,1.1568,71.0,7.0,11.0,,1.0,1,1.0,1,0,0,1.0,5.0,10.0,6.0,1.0,,59.0,,123.0,75.6,0.0,1,0,3.0,10.0,17.0,9.0,104753.72,2.0,666.0,25.0,12.0,47.0,16.0,8.0,0.0
A_Villa_7,2024-25,2444722,26,2025-02-22 17:30:00,"Villa Park, Birmingham",42423,Home,Aston Villa,Chelsea,W,421.0,8.0,7.0,,1.0,3.0,2.0,1.0,4.0,3.0,7.0,,2.0,10.0,45.0,50.0,16.0,,3.0,1.71526,2.3302,2.1245,1.9703,55.0,15.0,16.0,2.0,2.0,1,1.0,2,1,0,,5.0,8.0,6.0,4.0,,25.0,,104.0,52.2,0.0,0,0,5.0,3.0,9.0,16.0,115677.46,1.0,484.0,12.0,17.0,35.0,2.0,9.0,0.0
A_Villa_7,2024-25,2444732,27,2025-02-25 19:30:00,"Selhurst Park, London",24712,Away,Aston Villa,Crystal Palace,L,404.0,9.0,14.0,,,2.0,1.0,1.0,5.0,1.0,4.0,,8.0,19.0,55.0,51.0,14.0,1.0,,0.829028,0.3771,1.0111,4.1481,46.0,10.0,19.0,1.0,1.0,4,4.0,1,1,0,1.0,9.0,3.0,2.0,5.0,,22.0,,143.0,64.1,0.0,0,0,2.0,3.0,5.0,14.0,103676.27,7.0,468.0,6.0,8.0,20.0,8.0,4.0,0.0
A_Villa_7,2024-25,2444740,28,2025-03-08 17:30:00,"Gtech Community Stadium, Brentford",17171,Away,Aston Villa,Brentford,W,239.0,23.0,16.0,,2.0,2.0,2.0,,12.0,6.0,9.0,1.0,5.0,5.0,51.0,43.0,40.0,,3.0,0.40193,1.325,0.6853,0.7022,37.0,5.0,10.0,1.0,1.0,0,,1,0,0,,5.0,6.0,4.0,6.0,,24.0,,119.0,40.1,0.0,0,0,3.0,2.0,7.0,40.0,105697.75,3.0,316.0,12.0,11.0,19.0,5.0,5.0,0.0
A_Villa_7,2024-25,2444752,29,2025-02-19 19:30:00,"Villa Park, Birmingham",41910,Home,Aston Villa,Liverpool,D,379.0,13.0,12.0,,2.0,1.0,,2.0,10.0,2.0,7.0,,6.0,7.0,44.0,53.0,20.0,1.0,1.0,0.664303,0.6665,1.584,1.398,37.0,8.0,6.0,1.0,2.0,2,2.0,2,1,2,,3.0,3.0,4.0,4.0,,30.0,,125.0,52.3,0.0,0,0,1.0,3.0,5.0,20.0,107852.92,3.0,449.0,9.0,22.0,25.0,6.0,13.0,0.0
A_Villa_7,2024-25,2444762,30,2025-04-02 19:45:00,"American Express Stadium, Falmer",31230,Away,Aston Villa,Brighton,W,321.0,16.0,7.0,,2.0,2.0,,2.0,8.0,,6.0,1.0,,10.0,49.0,53.0,33.0,,,0.69068,1.2476,1.8866,0.6648,42.0,11.0,15.0,3.0,3.0,0,,3,0,0,,7.0,5.0,5.0,2.0,,9.0,,109.0,44.3,0.0,0,0,4.0,3.0,7.0,33.0,109784.9,,383.0,8.0,26.0,18.0,,15.0,0.0
A_Villa_7,2024-25,2444770,31,2025-04-05 17:30:00,"Villa Park, Birmingham",42743,Home,Aston Villa,Nott'm Forest,W,363.0,12.0,7.0,,,4.0,2.0,2.0,3.0,3.0,5.0,,4.0,11.0,45.0,45.0,12.0,,1.0,1.29051,3.0275,2.8762,0.7509,62.0,7.0,15.0,2.0,2.0,1,1.0,2,0,2,,5.0,10.0,8.0,2.0,,26.0,,118.0,52.1,0.0,0,0,2.0,6.0,14.0,12.0,108111.75,,429.0,17.0,14.0,29.0,4.0,7.0,0.0
