team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
C_Palace_31,2013-14,694903,1,2013-08-18 13:30:00,"Selhurst Park, London",23285,Home,Crystal Palace,Spurs,L,259.0,16.0,29.0,,1.0,,,,9.0,,17.0,,3.0,14.0,62.0,62.0,26.0,,,,,,,71.0,9.0,7.0,,,1,1.0,0,0,0,,9.0,2.0,3.0,3.0,,20.0,,159.0,41.8,0.0,0,0,2.0,2.0,4.0,27.0,,4.0,362.0,5.0,21.0,,3.0,18.0,0.0
C_Palace_31,2013-14,694919,2,2013-08-24 15:00:00,"bet365 Stadium, Stoke",25270,Away,Crystal Palace,Stoke,L,347.0,28.0,24.0,,2.0,,,,24.0,2.0,13.0,,,19.0,65.0,71.0,37.0,,,,,,,56.0,6.0,13.0,1.0,1.0,2,2.0,1,0,1,,9.0,5.0,5.0,4.0,,13.0,,143.0,50.4,0.0,0,0,2.0,7.0,10.0,37.0,,,437.0,14.0,31.0,,,21.0,0.0
C_Palace_31,2013-14,694923,3,2013-08-31 17:30:00,"Selhurst Park, London",22671,Home,Crystal Palace,Sunderland,W,330.0,22.0,32.0,1.0,,,,1.0,13.0,3.0,10.0,,6.0,16.0,62.0,80.0,51.0,,,,,,,52.0,6.0,6.0,,3.0,1,1.0,3,0,1,,14.0,7.0,7.0,6.0,,20.0,1.0,152.0,50.0,0.0,1,0,1.0,8.0,13.0,51.0,,2.0,419.0,18.0,28.0,,6.0,22.0,0.0
C_Palace_31,2013-14,694935,4,2013-09-14 12:45:00,"Old Trafford, Manchester",75170,Away,Crystal Palace,Man Utd,L,269.0,15.0,19.0,,1.0,1.0,1.0,,14.0,,9.0,,1.0,9.0,45.0,53.0,33.0,1.0,,,,,,46.0,12.0,8.0,,,2,2.0,0,1,0,,24.0,,,3.0,,6.0,,148.0,39.6,0.0,0,1,6.0,4.0,4.0,33.0,,,377.0,4.0,24.0,,1.0,18.0,0.0
C_Palace_31,2013-14,694943,5,2013-09-22 13:30:00,"Selhurst Park, London",22466,Home,Crystal Palace,Swansea,L,323.0,15.0,22.0,,1.0,,,,20.0,5.0,8.0,,6.0,6.0,49.0,60.0,20.0,,,,,,,60.0,13.0,9.0,,,2,2.0,0,1,0,,11.0,4.0,1.0,4.0,,24.0,,144.0,43.4,0.0,0,0,5.0,3.0,7.0,20.0,,1.0,413.0,9.0,20.0,,6.0,19.0,0.0
C_Palace_31,2013-14,694956,6,2013-09-28 15:00:00,"St. Mary's Stadium, Southampton",30699,Away,Crystal Palace,Southampton,L,229.0,14.0,29.0,,2.0,1.0,1.0,,20.0,6.0,5.0,,2.0,8.0,45.0,69.0,27.0,,,,,,,68.0,15.0,11.0,,,2,2.0,0,0,0,,11.0,4.0,,4.0,,24.0,,170.0,39.2,0.0,0,0,1.0,2.0,5.0,27.0,,2.0,338.0,8.0,22.0,,2.0,18.0,0.0
C_Palace_31,2013-14,694964,7,2013-10-05 15:00:00,"Anfield, Liverpool",44721,Away,Crystal Palace,Liverpool,L,308.0,12.0,10.0,,1.0,1.0,2.0,,15.0,4.0,17.0,,3.0,13.0,54.0,54.0,32.0,,,,,,,60.0,6.0,9.0,1.0,1.0,3,3.0,1,3,0,,26.0,5.0,2.0,2.0,,17.0,,141.0,39.0,0.0,0,0,4.0,5.0,7.0,32.0,,1.0,394.0,11.0,29.0,,3.0,23.0,0.0
C_Palace_31,2013-14,694973,8,2013-10-21 20:00:00,"Selhurst Park, London",24881,Home,Crystal Palace,Fulham,L,283.0,15.0,27.0,,,,,,17.0,3.0,3.0,,5.0,14.0,55.0,68.0,11.0,,1.0,,,,,58.0,10.0,13.0,,1.0,4,4.0,1,2,1,,13.0,5.0,4.0,2.0,,18.0,,158.0,45.9,0.0,0,0,2.0,7.0,8.0,11.0,,2.0,374.0,14.0,22.0,,5.0,17.0,0.0
C_Palace_31,2013-14,694983,9,2013-10-26 12:45:00,"Selhurst Park, London",20050,Home,Crystal Palace,Arsenal,L,308.0,13.0,20.0,,1.0,,,,11.0,2.0,11.0,,4.0,14.0,60.0,59.0,24.0,,,,,,,62.0,12.0,8.0,,,2,2.0,0,0,0,1.0,27.0,4.0,4.0,1.0,,27.0,,138.0,37.5,0.0,1,0,2.0,7.0,9.0,24.0,,2.0,395.0,13.0,25.0,18.0,4.0,18.0,0.0
C_Palace_31,2013-14,694998,10,2013-11-02 15:00:00,"The Hawthorns, West Bromwich",26397,Away,Crystal Palace,West Brom,L,323.0,25.0,26.0,,1.0,1.0,1.0,,16.0,3.0,8.0,,3.0,10.0,58.0,69.0,37.0,,,,,,,63.0,9.0,11.0,,,2,2.0,0,1,0,,15.0,6.0,4.0,3.0,,22.0,,172.0,50.2,0.0,0,0,1.0,5.0,10.0,37.0,,,437.0,12.0,23.0,,3.0,16.0,0.0
