team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Everton_11,2009-10,284004,1,2009-08-15 17:30:00,"Goodison Park, Liverpool",39309.0,Home,Everton,Arsenal,L,285.0,16.0,15.0,,1.0,,,,,2.0,7.0,,4.0,17.0,55.0,52.0,15.0,,,,,,,95.0,12.0,13.0,,1.0,6,6.0,1,3,0,,26.0,3.0,5.0,4.0,,27.0,,174.0,45.7,0.0,0,0,,4.0,5.0,30.0,,6.0,398.0,11.0,19.0,,4.0,16.0,0.0
Everton_11,2009-10,284019,2,2010-03-24 19:45:00,"Etihad Stadium, Manchester",45708.0,Away,Everton,Man City,W,244.0,11.0,18.0,,3.0,,,,,4.0,10.0,1.0,4.0,14.0,47.0,56.0,20.0,,,,,,,74.0,13.0,11.0,2.0,2.0,0,,2,0,1,,15.0,5.0,3.0,7.0,,18.0,,160.0,40.1,0.0,0,0,,3.0,8.0,49.0,,1.0,334.0,10.0,21.0,,4.0,17.0,0.0
Everton_11,2009-10,284022,3,2009-08-23 15:00:00,"Turf Moor, Burnley",19983.0,Away,Everton,Burnley,L,317.0,13.0,7.0,,1.0,,,,,13.0,6.0,,7.0,13.0,50.0,47.0,20.0,1.0,,,,,,91.0,14.0,13.0,,,1,1.0,0,1,0,,13.0,10.0,1.0,1.0,,42.0,1.0,159.0,59.4,0.0,0,0,2.0,9.0,15.0,31.0,,1.0,413.0,23.0,18.0,17.0,7.0,12.0,0.0
Everton_11,2009-10,284034,4,2009-08-30 15:00:00,"Goodison Park, Liverpool",35122.0,Home,Everton,Wigan,W,280.0,9.0,15.0,1.0,3.0,,,,,14.0,,,12.0,25.0,46.0,65.0,19.0,,,,,,,94.0,11.0,23.0,1.0,2.0,1,1.0,2,0,0,1.0,16.0,15.0,8.0,5.0,,42.0,1.0,157.0,56.1,0.0,0,0,,11.0,24.0,39.0,,3.0,363.0,33.0,22.0,,12.0,17.0,0.0
Everton_11,2009-10,284042,5,2009-09-13 16:15:00,"Craven Cottage, London",24191.0,Away,Everton,Fulham,L,247.0,10.0,14.0,,1.0,,,,,8.0,3.0,,4.0,13.0,41.0,50.0,25.0,,,,,,,104.0,14.0,7.0,1.0,1.0,2,2.0,1,0,1,,31.0,8.0,4.0,5.0,,24.0,,181.0,48.1,0.0,0,0,,1.0,8.0,50.0,,8.0,348.0,13.0,25.0,,4.0,14.0,0.0
Everton_11,2009-10,284055,6,2009-09-20 15:00:00,"Goodison Park, Liverpool",35546.0,Home,Everton,Blackburn,W,325.0,19.0,17.0,,1.0,,,,,5.0,7.0,1.0,6.0,11.0,55.0,59.0,31.0,,,,,,,95.0,15.0,18.0,2.0,3.0,0,,3,0,1,,18.0,11.0,9.0,1.0,,27.0,,164.0,57.0,0.0,0,0,,7.0,17.0,61.0,,3.0,408.0,21.0,18.0,,6.0,14.0,0.0
Everton_11,2009-10,284065,7,2009-09-26 12:45:00,"Fratton Park, Portsmouth",18116.0,Away,Everton,Portsmouth,W,228.0,11.0,16.0,,1.0,,,,,3.0,7.0,1.0,6.0,20.0,60.0,58.0,28.0,,,,,,,75.0,17.0,15.0,1.0,1.0,0,,1,0,1,,23.0,8.0,6.0,11.0,,14.0,,172.0,48.6,0.0,0,0,,4.0,12.0,54.0,,3.0,313.0,13.0,22.0,,6.0,14.0,0.0
Everton_11,2009-10,284075,8,2009-10-04 15:00:00,"Goodison Park, Liverpool",36753.0,Home,Everton,Stoke,D,321.0,21.0,22.0,,,,,,,7.0,1.0,,11.0,12.0,45.0,57.0,18.0,,,,,,,97.0,8.0,15.0,1.0,1.0,1,1.0,1,0,0,,20.0,15.0,11.0,,,38.0,,168.0,60.7,0.0,0,0,,7.0,20.0,50.0,,,413.0,25.0,17.0,,11.0,14.0,0.0
Everton_11,2009-10,284083,9,2009-10-17 15:00:00,"Goodison Park, Liverpool",,Home,Everton,Wolves,D,304.0,27.0,24.0,,1.0,,,,,2.0,2.0,,6.0,14.0,53.0,67.0,33.0,,,,,,,109.0,8.0,16.0,1.0,1.0,1,1.0,1,0,0,,20.0,5.0,4.0,5.0,,27.0,,203.0,55.4,0.0,1,0,,8.0,10.0,70.0,,2.0,419.0,14.0,22.0,,6.0,15.0,0.0
Everton_11,2009-10,284091,10,2009-10-25 13:30:00,"Toughsheet Community Stadium, Bolton",21547.0,Away,Everton,Bolton,L,270.0,22.0,23.0,,,,,,,6.0,6.0,,4.0,16.0,62.0,57.0,36.0,,,,,,,89.0,16.0,15.0,2.0,2.0,3,3.0,2,2,1,1.0,25.0,9.0,5.0,2.0,,28.0,,164.0,56.5,0.0,0,0,,7.0,14.0,66.0,,2.0,357.0,18.0,13.0,,4.0,10.0,0.0
